 ,Area,Mean,Min,Max,Length,Length (mm),,,,,
20,904,159.032,57.503,214.855,904.011,1.328662007,,,,,
2,850,135.414,79.37,164.454,849.374,1.248359769,,,,,
19,821,172.596,77.653,211.033,823.178,1.209858435,,,,,
29,776,137.754,75.538,192.027,775.469,1.139738562,,Picture,No Tubes,Tubes,Total
22,718,138.165,77.569,181.518,718.565,1.056104422,,A,5,147,152
30,713,144.155,28.03,190.181,712.941,1.047838599,,,,,
18,703,143.588,74.767,186.226,702.587,1.032620901,,Length Conversion,680.392,,
14,702,145.845,89.415,187.487,702.243,1.03211531,,,,,
34,696,174.515,78.805,194.205,695.149,1.021688968,,Stats for 20 longest,,,
10,693,135.568,31.459,186.806,692.668,1.01804254,,,,,
17,691,164.794,98.616,201.265,690.318,1.014588649,,Mean,1.039165584,,
8,689,137.459,55.498,168.66,688.838,1.012413432,,Standard Error,0.024743029,,
38,669,120.949,61.938,173.892,668.773,0.98292308,,Median,1.016315595,,
7,667,145.27,108.852,170.032,666.311,0.979304577,,Mode,#N/A,,
37,653,136.892,47.897,176.827,652.624,0.959188233,,Standard Deviation,0.110654189,,
13,647,151.163,94.673,190.691,646.444,0.950105233,,Sample Variance,0.01224435,,
12,646,138.521,46.793,170.463,645.034,0.948032899,,Kurtosis,1.521841352,,
25,644,135.941,68.137,176.404,643.494,0.945769498,,Skewness,1.436286528,,
32,642,153.202,76.833,189.881,641.79,0.943265059,,Range,0.415970499,,
9,621,135.84,79.152,175.412,620.988,0.912691507,,Minimum,0.912691507,,
39,620,143.877,45.41,187.887,619.685,0.910776435,,Maximum,1.328662007,,
35,600,140.375,52.075,169.943,599.924,0.881732883,,Sum,20.78331168,,
6,573,127.286,35.378,162.739,572.821,0.841898494,,Count,20,,
23,568,127.131,40.413,170.526,567.254,0.833716446,,,0,,
31,533,161.91,99.742,198.842,532.638,0.782839892,,,,,
1,527,180.531,104.878,203.109,526.917,0.774431504,,,,,
27,524,170.948,55.433,199.828,523.949,0.770069313,,,,,
5,518,130.276,92.804,168.714,519.966,0.764215335,,,,,
24,473,126.265,43.484,170.431,472.428,0.694346788,,,,,
3,471,121.12,31.138,162.679,470.39,0.691351456,,,,,
11,471,150.813,110.652,170.857,470.168,0.691025174,,,,,
21,469,159.868,98.748,207.11,468.495,0.688566297,,,,,
33,446,131.205,66.153,174.245,446.309,0.655958624,,,,,
4,440,145.307,90.333,165.75,439.062,0.645307411,,,,,
16,430,133.571,63.519,169.752,429.378,0.631074439,,,,,
36,413,140.749,62.354,168.446,412.527,0.606307834,,,,,
15,410,157.58,86.876,183.123,409.355,0.601645816,,,,,
40,403,156.845,65.703,191.602,402.832,0.592058696,,,,,
26,400,120.928,45.939,157.497,399.45,0.587088032,,,,,
28,374,121.689,39,173.728,373.545,0.549014392,,,,,
