 ,Area,Mean,Min,Max,Length,Length (mm),,,,,
2,1266,174.008,150.773,196.392,1266.313,1.859040027,,,,,
27,1190,159.376,123.987,183.031,1192.182,1.750210301,,,,,
34,1160,174.938,118.731,192.768,1159.567,1.702329098,,,,,
25,1097,164.624,107.363,191.119,1096.924,1.610364596,,Picture,No Tubes,Tubes,Total
10,1036,162.733,123.911,177.241,1035.672,1.520442184,,A,12,107,119
6,1020,169.325,128.412,183.928,1019.505,1.496707846,,,,,
35,999,169.718,130,187.493,998.553,1.465948779,,Length Conversion,681.165,,
24,983,152.683,93.867,177.213,983.055,1.443196582,,,,,
23,977,154.68,96.105,178.016,978.36,1.436303979,,,,,
5,955,163.777,83.322,177.004,954.253,1.400913141,,Stats of 20 longest,,,
8,954,169.885,134.885,192.349,953.796,1.400242232,,,,,
4,949,163.865,104.821,191.058,948.193,1.392016619,,Mean,1.436461357,,
32,945,178.936,119.972,198.705,944.166,1.386104688,,Standard Error,0.04041449,,
12,933,178.562,105.374,198.348,933.354,1.370231882,,Median,1.400577687,,
30,886,171.721,113.902,194.707,885.68,1.300242966,,Mode,#N/A,,
13,874,187.18,129.333,205.628,873.306,1.28207703,,Standard Deviation,0.180739092,,
37,858,178.608,136.375,194.095,857.939,1.259517151,,Sample Variance,0.032666619,,
15,855,176.393,153.222,193.427,854.058,1.253819559,,Kurtosis,0.323030719,,
36,829,172.142,116.611,188.99,828.461,1.216241292,,Skewness,0.85069976,,
11,806,185.115,146.796,202.005,806.007,1.18327718,,Range,0.675762847,,
26,798,154.703,120.479,170.352,797.791,1.171215491,,Minimum,1.18327718,,
14,774,174.616,137.333,195.754,773.521,1.135585357,,Maximum,1.859040027,,
31,716,177.122,114.268,202.378,715.767,1.050798265,,Sum,28.72922713,,
17,697,182.636,153.973,198.56,696.494,1.022504092,,Count,20,,
20,692,192.133,134.05,210.195,691.99,1.015891891,,,0,,
38,689,167.92,116.62,190.643,688.458,1.010706657,,,,,
1,688,150.255,48.044,186.146,687.419,1.009181329,,,,,
33,675,168.562,128.546,187.535,674.777,0.990621949,,,,,
21,669,154.118,117.237,172.855,668.853,0.981925084,,,,,
39,666,183.49,146.513,202.624,665.723,0.977330015,,,,,
9,655,175.312,123.77,192.653,655.136,0.961787526,,,,,
40,643,171.832,126.019,191.409,642.321,0.942974169,,,,,
18,641,189.506,158.723,207.11,640.944,0.940952633,,,,,
3,617,169.328,117.027,186.742,616.932,0.905701262,,,,,
19,604,178.75,147.299,199,604.003,0.886720545,,,,,
16,601,177.58,160.407,189.984,600.447,0.881500077,,,,,
7,581,170.828,112.667,186.584,580.475,0.852179722,,,,,
28,502,179.986,142.068,198.769,501.47,0.736194608,,,,,
29,453,164.661,118.658,176.277,452.39,0.664141581,,,,,
22,302,146.396,111.333,169.439,301.689,0.4429015,,,,,
