 ,Area,Mean,Min,Max,Length,,Total pollen grains,,1 mm = 657.247
1,20,111.073,47.985,147.667,19.235,,98,,
2,24,138.102,99.335,169.333,22.804,,,,
3,24,146.493,117.417,185.333,23.324,,,,
4,18,128.953,93.647,169.333,17.464,,,,
