 ,Area,Mean,Min,Max,Length,mm,nm,,1 mm =,670.317,,total pollen grains,
94,146,120.11,75.666,138.722,144.916,0.216,216.190,,,,,,
95,52,110.854,71.306,129.076,50.713,0.076,75.655,,,,,,
96,29,86.141,56.07,110.13,27.696,0.041,41.318,,,,,,
97,123,124.867,66.167,163.717,122.333,0.183,182.500,,,,,,
98,18,94.864,63.442,123.333,16.621,0.025,24.796,,,,,,
99,28,88.724,57.044,123.333,26.575,0.040,39.645,,,,,,
100,49,100.98,54.906,135.35,47.664,0.071,71.107,,,,,,
101,22,86.461,54.083,120.028,20.815,0.031,31.053,,,,,,
102,160,136.322,94.01,178.596,159.051,0.237,237.277,,,,,,
103,23,94.314,76.042,109.241,22.389,0.033,33.401,,,,,,
104,66,117.971,83.285,137.384,65.467,0.098,97.666,,,,,,
105,201,119.678,22.787,172.788,200.208,0.299,298.677,,,,,,
106,126,132.894,63.495,165.565,124.719,0.186,186.060,,,,,,
107,210,154.024,27.886,254,209.006,0.312,311.802,,,,,,
108,208,171.13,80.972,254,207.082,0.309,308.931,,,,,,
109,23,124.784,61.54,194.75,21.966,0.033,32.770,,,,,,
110,23,118.832,91.226,143.202,21.506,0.032,32.083,,,,,,
111,89,122.766,87.678,150.371,87.55,0.131,130.610,,,,,,
112,23,116.856,83.877,162.083,21.593,0.032,32.213,,,,,,
113,18,82.676,46.932,115.107,16.919,0.025,25.240,,,,,,
114,121,115.882,65.666,254,120.112,0.179,179.187,,,,,,
115,20,90.462,71.1,114.868,18.742,0.028,27.960,,,,,,
116,85,117.179,50.588,254,84.155,0.126,125.545,,,,,,
117,79,90.483,31.099,118.39,78.442,0.117,117.022,,,,,,
118,342,143.069,34.615,238.479,340.889,0.509,508.549,,,,,,
119,447,139.525,50.526,254,446.327,0.666,665.845,,,,,,
120,157,137.863,57.917,171.285,156.018,0.233,232.753,,,,,,
121,500,144.469,44.807,184.719,498.901,0.744,744.276,,,,,,
122,439,156.328,95.348,184.109,437.805,0.653,653.131,,,,,,
123,187,114.521,44.283,254,185.708,0.277,277.045,,,,,,
124,26,111.945,66.667,177.5,25.224,0.038,37.630,,,,,,
125,110,108.232,48.887,146.156,109.383,0.163,163.181,,,,,,
126,157,109.07,40.503,254,156.453,0.233,233.402,,,,,,
127,109,120.444,84.657,147.476,108.352,0.162,161.643,,,,,,
128,59,131.505,81.688,151.294,57.708,0.086,86.091,,,,,,
129,96,145.387,104.927,167.952,95.163,0.142,141.967,,,,,,
130,24,84.749,35.703,126.946,22.94,0.034,34.223,,,,,,
131,19,81.274,32.232,120.583,18.125,0.027,27.039,,,,,,
132,20,116.453,90.619,138.833,19.209,0.029,28.657,,,,,,
133,20,87.428,67.3,127.083,19.007,0.028,28.355,,,,,,
134,486,128.661,55.264,162.496,485.235,0.724,723.889,,,,,,
135,456,134.38,49.333,165.044,454.554,0.678,678.118,,,,,,
136,586,127.763,68.543,254,584.562,0.872,872.068,,,,,,
137,354,112.93,85.653,254,352.905,0.527,526.475,,,,,,
138,26,81.84,61.247,107.833,25.045,0.037,37.363,,,,,,
139,26,97.977,66.806,121.116,24.577,0.037,36.665,,,,,,
140,91,117.683,58.909,165.755,89.713,0.134,133.837,,,,,,
141,39,91.522,69.5,101.999,38.48,0.057,57.406,,,,,,
142,33,90.089,53.938,111.392,31.82,0.048,47.470,,,,,,
143,207,111.98,44.88,254,205.92,0.307,307.198,,,,,,
144,178,131.667,49.888,254,177.138,0.264,264.260,,,,,,
145,87,104.287,42.372,175.415,86.117,0.129,128.472,,,,,,
