 ,Area,Mean,Min,Max,Length,mm,nm,,1 mm =,670.317,,total pollen tubes,
94,21,96.785,66.333,125.534,19.723,0.029,29.423,,,,,,
95,402,136.11,40.031,170.435,401.403,0.599,598.826,,,,,,
96,83,105.126,66.667,147.46,81.742,0.122,121.945,,,,,,
97,217,135.068,69.988,254,215.82,0.322,321.967,,,,,,
98,20,86.362,64.79,116.963,18.682,0.028,27.870,,,,,,
99,38,113.702,79.306,152.63,37.483,0.056,55.918,,,,,,
100,170,159.708,80.667,187.959,169.26,0.253,252.507,,,,,,
101,236,126.863,45.688,160.969,235.49,0.351,351.311,,,,,,
102,284,128.77,65.211,254,282.801,0.422,421.891,,,,,,
103,361,106.117,32.743,254,360.33,0.538,537.552,,,,,,
104,466,133.963,43.581,254,465.362,0.694,694.242,,,,,,
105,276,112.054,66.771,149.667,275.075,0.410,410.366,,,,,,
106,39,99.426,68.299,124.418,37.642,0.056,56.156,,,,,,
107,317,119.932,44.271,158.333,315.512,0.471,470.691,,,,,,
108,20,86.394,50.671,126,19.416,0.029,28.965,,,,,,
109,179,174.423,116.103,193.965,177.735,0.265,265.151,,,,,,
110,432,139.602,72.714,177.128,431.499,0.644,643.724,,,,,,
111,155,118.125,46.05,254,153.954,0.230,229.673,,,,,,
112,270,149.892,56.978,192.628,268.912,0.401,401.171,,,,,,
113,176,117.414,49.262,160.388,174.893,0.261,260.911,,,,,,
114,70,103.483,40.492,125.967,68.771,0.103,102.595,,,,,,
115,22,92.125,56.743,170.333,20.616,0.031,30.756,,,,,,
116,342,132.388,44.074,254,341.372,0.509,509.269,,,,,,
117,119,102.796,38,255,118.208,0.176,176.346,,,,,,
118,101,132.767,55.97,170.604,100.147,0.149,149.402,,,,,,
119,79,142.149,79,174.655,77.747,0.116,115.985,,,,,,
120,17,80.137,42,116,16,0.024,23.869,,,,,,
121,18,75.148,31,110.667,17,0.025,25.361,,,,,,
122,23,67.575,40.818,100.333,21.633,0.032,32.273,,,,,,
123,18,85.446,68.333,103.408,16.643,0.025,24.829,,,,,,
124,61,120.745,74.673,146.72,60.153,0.090,89.738,,,,,,
125,452,142.392,47.295,171.496,451.474,0.674,673.523,,,,,,
126,26,106.968,77.921,180.667,24.839,0.037,37.056,,,,,,
127,43,89.343,50,112.432,41.707,0.062,62.220,,,,,,
128,26,90.028,60,120.036,24.739,0.037,36.906,,,,,,
129,80,115.635,74.917,140.525,78.649,0.117,117.331,,,,,,
130,16,97.075,88.111,113.667,15.232,0.023,22.724,,,,,,
131,20,114.769,84.333,134.219,18.601,0.028,27.750,,,,,,
132,33,97,67.539,132.839,32.017,0.048,47.764,,,,,,
133,96,117.637,56.636,145.169,94.693,0.141,141.266,,,,,,
134,320,142.666,39.349,254,318.821,0.476,475.627,,,,,,
135,135,113.979,28.944,177.685,134.331,0.200,200.399,,,,,,
136,527,153.463,68.566,200.509,526.035,0.785,784.756,,,,,,
137,503,142.653,38.21,254,501.752,0.749,748.529,,,,,,
138,407,170.647,63.729,254,405.766,0.605,605.334,,,,,,
139,319,128.335,37.74,255,318.036,0.474,474.456,,,,,,
140,47,105.59,38.106,254.234,45.906,0.068,68.484,,,,,,
141,117,149.296,50.863,255,116.421,0.174,173.681,,,,,,
142,38,80.859,45.667,92.625,36.805,0.055,54.907,,,,,,
143,13,103.017,54.333,123.111,12.166,0.018,18.150,,,,,,
144,149,144.739,52.899,181.453,147.725,0.220,220.381,,,,,,
145,96,137.207,78.345,172.929,95.098,0.142,141.870,,,,,,
146,174,165,86.481,192.036,172.573,0.257,257.450,,,,,,
147,54,123.44,53.667,160.039,52.59,0.078,78.455,,,,,,
148,56,127.165,78.667,161.5,54.984,0.082,82.027,,,,,,
149,3145728,179.463,0,255,482.303,0.720,719.515,,,,,,
150,132,144.139,65.898,180.575,131.109,0.196,195.593,,,,,,
151,78,138.829,56.667,190.409,76.685,0.114,114.401,,,,,,
152,132,132.528,93.417,161.693,130.79,0.195,195.117,,,,,,
153,119,150.388,62.265,179,118.354,0.177,176.564,,,,,,
154,138,156.43,101.831,177.801,136.933,0.204,204.281,,,,,,
155,88,130.518,51.333,161.156,86.574,0.129,129.154,,,,,,
156,108,143.645,100.695,175.092,106.959,0.160,159.565,,,,,,
