 ,Area,Mean,Min,Max,Length,Length (mm),,,
15,854,168.496,87.256,191.792,855.469,1.270148281,,Conversion,673.519
12,774,160.19,110.167,179.309,773.309,1.148162116,,,
8,724,174.6,106.607,190.803,723.891,1.074789278,,,
9,695,174.46,110.333,201.013,694.123,1.030591565,,,
2,673,175.145,119.927,197.208,672.443,0.998402421,,Column1,
3,630,148.796,45.117,174.336,629.471,0.934600212,,,
20,609,152.516,136.041,165.757,608.297,0.903162346,,Mean,0.907924498
11,607,179.372,131.427,195.936,607.036,0.90129009,,Standard Error,0.029935025
33,603,177.375,110.297,190.469,602.213,0.894129193,,Median,0.8696065
32,591,151.798,115.115,183.369,590.233,0.876342019,,Mode,#N/A
25,582,147.768,86.73,164.875,581.16,0.862870981,,Standard Deviation,0.133873504
14,569,165.863,109.555,184.097,568.466,0.844023702,,Sample Variance,0.017922115
30,559,153.375,90.667,184.063,558.791,0.829658851,,Kurtosis,1.603863248
13,557,174.744,33.998,194.047,557.087,0.827128856,,Skewness,1.407674886
28,550,169.976,112.585,184.923,549.64,0.816072004,,Range,0.4978256
21,546,178.825,113.883,193.145,545.881,0.81049087,,Minimum,0.772322681
22,542,158.351,108.055,177.082,541.735,0.804335141,,Maximum,1.270148281
7,527,178.941,91.421,201.012,526.294,0.781409285,,Sum,18.15848996
24,525,159.282,134.548,183.671,524.375,0.77856007,,Count,20
6,520,162.83,76.867,180.762,520.174,0.772322681,,,0
1,512,176.34,108.972,191.568,511.636,0.759645979,,,
4,508,158.42,119.333,180.95,508.004,0.754253406,,,
19,505,161.685,96.237,172.527,504.65,0.749273591,,,
38,498,145.948,83.551,160,497.935,0.739303568,,,
18,498,150.838,68.696,163.544,497.125,0.73810093,,,
17,492,153.538,82.535,183.9,491.52,0.729778967,,,
10,484,172.99,152,194.128,483.544,0.717936688,,,
16,476,167.559,141.868,183.334,475.928,0.706628915,,,
27,473,158.647,112.353,175.131,472.524,0.701574863,,,
31,469,169.363,113.667,189.016,468.687,0.695877919,,,
5,468,158.216,67.107,183.68,467.994,0.694848995,,,
29,463,159.648,109.434,179.558,462.224,0.68628205,,,
23,461,157.477,67.252,178.471,460.843,0.684231625,,,
26,457,154.788,63.967,175.411,456.702,0.678083321,,,
34,457,130.983,97.821,156.771,456.434,0.677685411,,,
40,421,135.618,88.325,162.623,420.866,0.62487621,,,
37,404,150.379,122.078,162.985,404.084,0.599959318,,,
39,345,144.25,47.684,166.487,344.977,0.512200844,,,
35,335,126.631,78.667,149.581,334.503,0.496649686,,,
36,310,145.977,54.667,163.49,310.647,0.46122975,,,
