 ,Area,Mean,Min,Max,Length,Length (mm),,,,
1,297,151.884,83.044,171.525,296.425,0.442216145,,,,
2,70,121.245,77.946,152.533,69.278,0.103351101,,Picture,No Tubes,Tubes
3,85,144.98,102.667,255,84.35,0.125835985,,A,15,48
4,103,141.079,87.958,255,102.158,0.15240252,,B,,
5,96,153.747,84.333,255,95.507,0.142480349,,C,,
6,99,116.639,89.218,135.821,98.876,0.147506329,,D,,
7,455,143.849,80.576,255,454.808,0.67849689,,Total,15,246
8,291,144.66,83.972,255,290.258,0.433016021,,,,
9,136,116.501,87.637,150.371,135.912,0.2027578,,Length Conversion,670.317,
10,88,122.291,98.333,145.453,87.758,0.130920147,,,,
11,105,107.418,70.667,129.198,104.467,0.155847159,,Mean Length,0.243845317,
12,232,124.047,60.816,150.632,231.61,0.345523088,,Median Length,0.168147309,
13,144,112.855,71.459,142.308,144.386,0.21539958,,Standard Deviation,0.227053975,
14,90,125.995,79.701,144.333,89.843,0.134030615,,,,
15,46,101.026,66.546,119.973,45.251,0.067506866,,,,
16,58,93.721,44.738,128.581,57.513,0.085799704,,,,
17,266,147.063,124.559,182.91,265.288,0.395764989,,,,
18,95,112.668,87.893,139.036,95.077,0.141838861,,,,
19,122,121.779,79.118,137.67,121.8,0.181705074,,,,
20,265,148.529,100.026,166.325,264.783,0.395011614,,,,
21,35,88.345,69.467,109.399,34.884,0.052041049,,,,
22,56,123.861,91.667,134.83,55.767,0.083194966,,,,
23,36,93.479,73.333,109.061,35.901,0.053558242,,,,
24,115,108.354,64,132.211,115.148,0.171781411,,,,
25,388,144.115,52.729,180.947,387.979,0.578799285,,,,
26,143,138.897,116.715,156.938,142.422,0.212469623,,,,
27,337,147.284,82.434,255,336.41,0.501867027,,,,
28,43,115.871,83.667,133.279,42.123,0.062840417,,,,
29,84,114.916,82.696,136.636,83.52,0.124597765,,,,
30,40,104.162,62.333,133.328,39.612,0.059094428,,,,
31,45,126.806,91.631,233.257,44.335,0.066140349,,,,
32,14,70.079,60.078,82,13.601,0.0202904,,,,
33,76,69.694,41.004,99.844,76.38,0.113946088,,,,
34,129,114.112,67.235,255,129.034,0.192496983,,,,
35,66,108.404,56.116,255,65.666,0.097962606,,,,
36,36,60.328,44.692,89.466,35.503,0.052964493,,,,
37,10,79.394,62.906,92.009,9.849,0.014693048,,,,
38,12,76.353,68.333,87.436,11.045,0.016477279,,,,
39,30,116.838,75.397,255,29.198,0.043558495,,,,
40,23,106.83,91.506,137,22.023,0.032854605,,,,
41,291,145.006,81.48,170.349,290.189,0.432913084,,,,
42,14,83.87,56.667,126.047,13.416,0.020014411,,,,
43,58,83.939,51,119.857,57.088,0.085165675,,,,
44,29,112.974,61.444,133.672,28.298,0.042215847,,,,
45,101,121.915,62.486,255,100.983,0.150649618,,,,
46,327,159.677,57.67,255,326.618,0.487259013,,,,
47,25,102.446,68.333,116.198,24.198,0.036099338,,,,
48,61,88.621,54.99,127.27,61.255,0.091382137,,,,
49,148,120.872,77.038,149.259,148.045,0.220858191,,,,
50,265,120.094,91.346,148.036,264.985,0.395312964,,,,
51,225,143.333,98.683,169.175,224.919,0.335541244,,,,
52,15,85.729,64.574,122.472,14.765,0.022026892,,,,
53,147,115.906,65.824,255,147.125,0.219485706,,,,
54,304,115.416,72.873,144.195,304.929,0.45490268,,,,
55,90,118.901,74.843,138.373,89.46,0.133459244,,,,
56,62,134.324,113.964,151.694,61.753,0.092125069,,,,
57,38,117.429,68.693,139.404,37.449,0.055867597,,,,
58,58,112.843,82.845,136.9,57.233,0.085381991,,,,
59,77,90.292,44.457,117.043,76.32,0.113856578,,,,
60,63,118.836,93.788,255,62.991,0.093971957,,,,
61,118,111.439,84.282,135.243,117.49,0.17527528,,,,
62,122,117.401,63.704,255,123.209,0.183807064,,,,
63,222,134.186,69.333,255,221.546,0.330509296,,,,
64,193,131.789,85.209,255,193.013,0.287942869,,,,
65,30,122.292,101.772,137.993,29.927,0.044646041,,,,
66,57,78.954,53.947,101.977,56.62,0.084467498,,,,
67,77,109.946,68.868,148.785,77.115,0.115042584,,,,
68,115,139.33,72.506,255,114.712,0.171130972,,,,
69,172,137.212,66.753,169.506,172.126,0.256782985,,,,
70,235,166.474,116.93,255,234.281,0.34950777,,,,
