 ,Area,Mean,Min,Max,Length,Length (mm),,,,,
102,20,83.657,58.947,122.4,19.81,0.029954562,,,,,
103,17,64.394,41.175,107,16.125,0.024382499,,,,,
104,111,107.152,66.732,129.023,110.576,0.167201192,,,,,
105,85,94.666,59.333,120.077,84.93,0.128422055,,,,,
106,159,110.933,65.724,136.037,158.884,0.240247378,,,,,
107,717,135.585,84.979,255,718.083,1.085808251,,,,,
108,11,61.794,53.815,71.615,10.63,0.016073548,,,,,
109,107,111.967,71.304,134.003,106.573,0.161148283,,,,,
110,154,112.288,74.082,131.777,154.525,0.233656165,,,,,
111,12,80.599,64.603,95.816,11.705,0.017699048,,,,,
112,22,97.847,79.964,121.811,21.26,0.032147096,,,,,
113,17,78.498,58.414,99.434,16.031,0.024240362,,,,,
114,14,72.168,62.075,81.545,13.416,0.020286239,,,,,
115,15,69.483,62.281,88,14.422,0.021807405,,,,,
116,13,73.055,50.67,94.482,12.53,0.018946525,,,,,
117,129,154.009,70.438,255,128.87,0.19486342,,,,,
118,95,91.179,47.929,120.535,94.909,0.143511231,,,,,
119,65,88.636,59.886,138,65.296,0.098733622,,,,,
120,14,59.828,50.917,76.951,13.601,0.020565976,,,,,
121,11,79.16,65.655,99.333,10.77,0.016285241,,,,,
122,11,71.799,64.093,86.333,10,0.01512093,,,,,
123,58,109.818,97.299,122.018,57.552,0.087023974,,,,,
124,23,87.358,78.333,92.127,22.102,0.033420279,,,,,
125,15,78.232,68.25,89.297,14.56,0.022016074,,,,,
126,12,66.623,58.327,82.756,11.402,0.017240884,,,,,
127,15,78.464,57.153,97,14.036,0.021223737,,,,,
