DOY,Txmax,Txmin,Mnmax,Mnmin,TXflwr,MNflwr
163,92.8,74.5,75,56.9,,
164,93.6,74.7,76.3,53.8,,
165,94,75.7,76.2,57.6,,
166,94.2,76.3,79,58.8,,120
167,93.5,75.9,80.3,59.8,110,
168,93.5,76,81.1,61.3,,
169,94.4,76.2,78.5,60.9,,
170,94.9,75.9,78.3,61.7,,
171,93.8,76.2,78.5,62.7,,
172,93.9,75.7,77.3,59.3,,
173,93.1,75.6,78.1,58.7,,
174,95.6,74.8,75.3,59.4,,
175,92.3,75.9,74,56.9,110,120
176,94.1,75.5,77.3,57.7,,
177,94.9,75.6,79.8,58.9,,
178,96.3,76.8,80.1,60.5,,
179,96.8,77.8,80.7,61.2,110,120
180,96.6,78.2,81.2,61.5,,120
181,95.4,77.1,81.2,60.2,,
182,94.2,76.2,79.2,60.6,,
183,95.3,77.2,79.8,59.8,,
184,95,76.9,81.2,59.8,110,
185,96,77.1,84.1,61.5,,
186,95.7,76.2,84,63.7,110,
187,96.2,77.6,85.2,64.5,110,
188,96.9,78.4,83.5,63.3,,120
189,97.1,78.5,82,61.7,,120
190,96.3,78.9,83.2,62.3,110,120
191,96.8,77.8,81.2,62.7,110,
192,97.2,77.9,81.3,62.2,,
193,98.3,78.4,83.6,63.7,,
194,98.9,79.2,79.5,62,,120
195,97.3,79.3,79.9,61.9,,120
196,95.6,77.3,80.7,61.7,,120
197,96,76.9,80.4,62.5,,120
198,96.2,77.6,83.3,62.7,,
199,96.7,78.3,85.9,65.9,,
200,96.4,78.9,83.5,66,,
201,98.8,79.3,81.7,64.4,,120
202,100.3,80.1,80.1,62.4,,
203,100.4,80.3,82.8,64.3,110,120
204,99,79.3,80.6,61.6,,120
205,97,78.5,79.6,60.5,,
206,98.5,78.8,82.2,61.4,,
207,98.5,80.3,80.9,64.8,,120
208,98.8,80,79,61.6,,
209,98.1,80,78.5,59.5,,120
210,96.9,79.9,78.6,57.9,,
211,97.8,78.4,79.7,59.2,,
212,97.8,78.4,81.1,60.1,,120
213,97.4,78.3,81.7,59.1,,
214,98.2,78,81.9,59.9,,
215,99.1,78.6,79.3,58.1,,
216,99.7,79,79.4,57.9,,120
