population,location,number,ID,ramet,temp,no_tubes,tubes,total_grains,mean_length,median_length,sd_length,se_length,max_length,time
Prairie Island,North,2,PI2,B,10,363,20,383,0.033855303,0.031283492,0.012063376,0.002697453,0.05883065,16
Prairie Island,North,2,PI2,B,20,26,127,153,1.106432691,1.094832438,0.110933841,0.024805561,1.323230514,16
Prairie Island,North,2,PI2,B,25,16,234,250,1.231837154,1.139529104,0.224176403,0.050127368,1.707066238,16
Prairie Island,North,2,PI2,B,30,25,240,265,1.485336335,1.425557335,0.280037878,0.062618373,2.528588981,16
Prairie Island,North,2,PI2,B,40,26,117,143,0.206585029,0.186446779,0.044484388,0.009947012,0.324109307,16
Prairie Island,North,21,PI21,B,10,482,8,490,0.031857731,0.031216897,0.00315875,0.000706318,0.03886789,16
Prairie Island,North,21,PI21,B,20,164,321,485,0.897092265,0.86557099,0.108129577,0.024178508,1.248884642,16
Prairie Island,North,21,PI21,B,25,151,248,399,1.181138223,1.091972435,0.244798351,0.054738575,1.831596726,16
Prairie Island,North,21,PI21,B,30,275,416,691,1.139982235,1.050240642,0.198486467,0.044382923,1.604744645,16
Prairie Island,North,21,PI21,B,40,98,118,216,0.172957819,0.165893046,0.022600914,0.005053718,0.235512255,16
Prairie Island,North,21,PI21,C,10,627,47,674,0.066625758,0.063560733,0.013414999,0.002999685,0.112829322,16
Prairie Island,North,21,PI21,C,20,255,211,466,0.229676478,0.183948818,0.110322758,0.024668919,0.553340068,16
Prairie Island,North,21,PI21,C,25,181,417,598,0.736486519,0.7408835,0.128096651,0.028643282,1.013642616,16
Prairie Island,North,21,PI21,C,30,142,485,627,0.81820316,0.749022334,0.258357148,0.057770414,1.408742365,16
Prairie Island,North,21,PI21,C,40,369,103,472,0.07115675,0.064480823,0.036780643,0.008224402,0.220119849,16
Prairie Island,North,28,PI28,A,10,1195,111,1306,0.048384052,0.04491045,0.012377424,0.002767676,0.082974175,16
Prairie Island,North,28,PI28,A,20,67,166,233,0.538278106,0.537705642,0.057450554,0.012846334,0.691694143,16
Prairie Island,North,28,PI28,A,25,80,269,349,1.0520948,1.012443782,0.187357487,0.041894408,1.393122536,16
Prairie Island,North,28,PI28,A,30,56,236,292,1.052402378,1.060649924,0.121638431,0.02719918,1.312533597,16
Prairie Island,North,28,PI28,A,40,104,176,280,0.162192837,0.154408984,0.028110286,0.006285651,0.236219504,16
Prairie Island,North,28,PI28,C,10,834,48,882,0.04081093,0.037729134,0.009735688,0.002176966,0.076015501,16
Prairie Island,North,28,PI28,C,20,56,187,243,0.776144651,0.807786845,0.201623841,0.045084462,1.083919902,16
Prairie Island,North,28,PI28,C,25,54,232,286,0.772090312,0.733588193,0.220609067,0.049329687,1.328147023,16
Prairie Island,North,28,PI28,C,30,47,164,211,0.678311136,0.537152996,0.318605544,0.071242366,1.798355393,16
Prairie Island,North,28,PI28,C,40,323,331,654,0.08818878,0.086995335,0.007576916,0.00169425,0.101549567,16
Prairie Island,North,28,PI28,D,10,595,0,595,0.033875452,0.033045433,0.005480325,0.001225438,0.046662282,16
Prairie Island,North,28,PI28,D,20,36,123,159,1.052388187,1.018201007,0.106461211,0.02380545,1.37662996,16
Prairie Island,North,28,PI28,D,25,3,103,106,0.968703388,0.918854622,0.135420568,0.030280959,1.278667158,16
Prairie Island,North,28,PI28,D,30,24,112,136,1.387243528,1.318365255,0.211966911,0.047397242,1.938000898,16
Prairie Island,North,28,PI28,D,40,79,133,212,0.246442577,0.239536485,0.030012846,0.006711076,0.291862685,16
Prairie Island,North,3,PI3,C,10,201,14,215,0.03464496,0.029783896,0.012963359,0.002898695,0.077086218,16
Prairie Island,North,3,PI3,C,20,24,118,142,1.349759001,1.343044552,0.115189294,0.025757109,1.661206471,16
Prairie Island,North,3,PI3,C,25,30,105,135,1.596622243,1.555870622,0.153097196,0.034233574,1.911476716,16
Prairie Island,North,3,PI3,C,30,15,106,121,1.522584735,1.459972086,0.170700965,0.038169896,1.874970984,16
Prairie Island,North,3,PI3,C,40,135,245,380,0.178664716,0.176334083,0.025848322,0.005779861,0.222483786,16
Prairie Island,North,3,PI3,D,10,232,37,269,0.046280813,0.041618199,0.013494673,0.003017501,0.087289101,16
Prairie Island,North,3,PI3,D,20,27,166,193,0.7153264,0.697814496,0.060645973,0.013560852,0.900287268,16
Prairie Island,North,3,PI3,D,25,53,216,269,1.127933895,1.114603866,0.146265623,0.032705988,1.437632104,16
Prairie Island,North,3,PI3,D,30,82,240,322,1.023738082,0.983097345,0.158131471,0.035359272,1.318135503,16
Prairie Island,North,3,PI3,D,40,94,399,493,0.202974404,0.189828999,0.032893994,0.007355321,0.297446318,16
Prairie Island,North,30,PI30,B,10,330,16,346,0.029500375,0.025424459,0.012583773,0.002813817,0.067282351,16
Prairie Island,North,30,PI30,B,20,44,195,239,0.799802935,0.754451977,0.130065165,0.029083455,1.195321165,16
Prairie Island,North,30,PI30,B,25,34,237,271,1.049398414,1.018782854,0.097429459,0.021785889,1.265378546,16
Prairie Island,North,30,PI30,B,30,47,216,263,1.206145961,1.174843409,0.151568364,0.033891717,1.638796031,16
Prairie Island,North,30,PI30,B,40,98,349,447,0.196989822,0.186261757,0.027685123,0.006190582,0.277363582,16
Prairie Island,North,4,PI4,A,10,187,10,197,0.031154505,0.028490041,0.009467055,0.002625689,0.060522862,16
Prairie Island,North,4,PI4,A,20,244,441,685,0.995610434,0.936735904,0.136022226,0.030415494,1.311722963,16
Prairie Island,North,4,PI4,A,25,101,578,679,1.589644785,1.537093096,0.227309861,0.05082803,2.122113944,16
Prairie Island,North,4,PI4,A,30,91,270,361,1.751698514,1.623762311,0.327789114,0.073295874,2.609426922,16
Prairie Island,North,4,PI4,A,40,62,388,450,0.320656121,0.309996349,0.043383949,0.009700946,0.427719559,16
Prairie Island,North,4,PI4,D,10,139,18,157,0.059444415,0.057026577,0.016063509,0.00359191,0.112042894,16
Prairie Island,North,4,PI4,D,20,55,183,238,0.884010518,0.861464535,0.085540228,0.019127376,1.083887753,16
Prairie Island,North,4,PI4,D,25,51,140,191,1.160549088,1.122861747,0.129845472,0.02903433,1.542067308,16
Prairie Island,North,4,PI4,D,30,65,187,252,1.123324778,1.050328239,0.19128075,0.042771676,1.689537911,16
Prairie Island,North,4,PI4,D,40,130,127,257,0.129493825,0.116270292,0.037639146,0.008416369,0.238836254,16
Prairie Island,North,9,PI9,B,10,108,14,122,0.037672208,0.033267053,0.011131328,0.002489041,0.073226669,16
Prairie Island,North,9,PI9,B,20,105,197,302,0.724103639,0.703570465,0.094470787,0.02112431,0.931313832,16
Prairie Island,North,9,PI9,B,25,29,143,172,0.795678738,0.76484559,0.114594532,0.025624116,1.195528215,16
Prairie Island,North,9,PI9,B,30,26,96,122,0.744879467,0.709551319,0.122068392,0.027295322,1.191459586,16
Prairie Island,North,9,PI9,B,40,42,57,99,0.12201365,0.117722278,0.019693189,0.004403531,0.169077887,16
Prairie Island,North,9,PI9,C,10,244,17,261,0.041586523,0.041588037,0.00754963,0.001688149,0.057262391,16
Prairie Island,North,9,PI9,C,20,76,189,265,0.697913216,0.665869938,0.077219606,0.017266829,0.8828549,16
Prairie Island,North,9,PI9,C,25,128,547,675,1.044774714,1.001230256,0.164351973,0.036750218,1.385143331,16
Prairie Island,North,9,PI9,C,30,63,237,300,0.995506452,0.979509366,0.07166466,0.016024705,1.160187555,16
Prairie Island,North,9,PI9,C,40,71,163,234,0.201984156,0.194655832,0.024716932,0.005526874,0.256869803,16
