population,location,number,ID,ramet,temp,no_tubes,tubes,total_grains,mean_length,median_length,sd_length,se_length,max_length,time
Oil Patch,South,1,OP1,C,30,16,333,349,1.158823576,1.143821617,0.090156629,0.027183247,1.316226113,16
Oil Patch,South,1,OP1,C,40,51,170,221,0.211622455,0.198033806,0.027503265,0.008292546,0.254609571,16
Oil Patch,South,2,OP2,A,10,496,7,503,0.019889139,0.019775891,0.003513348,0.000785608,0.029841393,16
Oil Patch,South,2,OP2,A,20,72,491,563,1.039258569,0.987613632,0.152193808,0.03403157,1.339085543,16
Oil Patch,South,2,OP2,A,25,34,231,265,1.104788243,1.040304511,0.17166538,0.038385546,1.4579097,16
Oil Patch,South,2,OP2,A,30,47,328,375,1.162663568,1.097088463,0.150697685,0.033697027,1.583391504,16
Oil Patch,South,2,OP2,A,40,107,219,326,0.134263072,0.135902334,0.021262373,0.004754411,0.189468716,16
Oil Patch,South,2,OP2,B,10,631,30,661,0.039605079,0.037418283,0.008701928,0.00194581,0.056581327,16
Oil Patch,South,2,OP2,B,20,314,351,665,0.950455163,0.904815406,0.145627854,0.032563378,1.373084505,16
Oil Patch,South,2,OP2,B,25,53,116,169,1.182066706,1.125203745,0.237578328,0.053124129,2.010865887,16
Oil Patch,South,2,OP2,B,30,218,169,387,1.003954906,0.956179081,0.14200077,0.031752337,1.306628034,16
Oil Patch,South,2,OP2,B,40,987,77,1064,0.14909554,0.141345848,0.026460357,0.005916716,0.215124422,16
Oil Patch,South,2,OP2,C,10,482,34,516,0.028132708,0.027716936,0.006711988,0.001500846,0.04962524,16
Oil Patch,South,2,OP2,C,20,187,164,351,0.211240726,0.184812073,0.073857387,0.016515014,0.462609825,16
Oil Patch,South,2,OP2,C,25,119,128,247,0.495935449,0.444815488,0.18370022,0.041076618,1.019853922,16
Oil Patch,South,2,OP2,C,30,160,410,570,0.555478878,0.505159184,0.232315729,0.051947376,1.084316319,16
Oil Patch,South,2,OP2,C,40,201,47,248,0.04524074,0.040448989,0.018162689,0.004061301,0.11502493,16
Oil Patch,South,3,OP3,A,10,845,77,922,0.027261746,0.026188125,0.003717688,0.0008313,0.036129177,16
Oil Patch,South,3,OP3,A,20,149,614,763,0.763393172,0.717512208,0.110748529,0.024764124,1.018703718,16
Oil Patch,South,3,OP3,A,25,20,74,94,1.047231607,1.04754907,0.089313378,0.019971078,1.242131209,16
Oil Patch,South,3,OP3,A,30,99,265,364,0.891783916,0.868060307,0.133085884,0.029758908,1.300886084,16
Oil Patch,South,3,OP3,A,40,170,504,674,0.21679289,0.188804243,0.0532882,0.011915604,0.340631823,16
Oil Patch,South,3,OP3,B,10,998,131,1129,0.040539924,0.036982502,0.01100619,0.002461059,0.069886337,16
Oil Patch,South,3,OP3,B,20,15,246,261,1.002759895,0.97248607,0.083129165,0.018588246,1.170052288,16
Oil Patch,South,3,OP3,B,25,37,158,195,0.76927105,0.753886072,0.049744134,0.011123127,0.87750725,16
Oil Patch,South,3,OP3,B,30,35,199,234,0.784379323,0.777759268,0.08051882,0.018004556,0.998914994,16
Oil Patch,South,3,OP3,B,40,206,154,360,0.129048368,0.102788208,0.074804105,0.016726706,0.356931041,16
Oil Patch,South,3,OP3,C,10,152,19,171,0.044634255,0.042736942,0.010060865,0.002249678,0.072729831,16
Oil Patch,South,3,OP3,C,20,157,263,420,0.671871002,0.644839574,0.187462592,0.04191791,1.42196478,16
Oil Patch,South,3,OP3,C,25,65,135,200,1.076530095,1.028390076,0.178073503,0.039818446,1.561771952,16
Oil Patch,South,3,OP3,C,30,61,213,274,1.080950226,1.024624063,0.152526418,0.034105944,1.564733081,16
Oil Patch,South,3,OP3,C,40,280,667,947,0.160392013,0.155005502,0.01733737,0.003876754,0.203762731,16
Oil Patch,South,3,OP3,D,10,108,1,109,0.031614193,0.030152372,0.013934629,0.003115878,0.083556239,16
Oil Patch,South,3,OP3,D,20,50,108,158,0.913441641,0.888967408,0.074798149,0.016725375,1.123741762,16
Oil Patch,South,3,OP3,D,25,30,87,117,1.029761094,0.93979242,0.182811958,0.040877997,1.423690836,16
Oil Patch,South,3,OP3,D,30,57,134,191,1.011332718,1.008192897,0.130784675,0.029244342,1.234569521,16
Oil Patch,South,3,OP3,D,40,131,49,180,0.134650433,0.127958946,0.025786678,0.005766077,0.192089863,16
Oil Patch,South,4,OP4,A,10,81,15,96,0.035529021,0.03285462,0.010032625,0.002243363,0.057973506,16
Oil Patch,South,4,OP4,A,20,52,203,255,1.114339331,1.098793714,0.18162593,0.040612793,1.735773915,16
Oil Patch,South,4,OP4,A,25,43,279,322,1.190691703,1.155584268,0.135651973,0.030332703,1.598280807,16
Oil Patch,South,4,OP4,A,30,20,233,253,1.368579317,1.25645576,0.28281585,0.063239547,2.135588056,16
Oil Patch,South,4,OP4,A,40,45,266,311,0.40373194,0.382399908,0.080713733,0.018048139,0.667229757,16
Oil Patch,South,4,OP4,B,10,195,20,215,0.038379347,0.036352978,0.008334908,0.001863742,0.055551131,16
Oil Patch,South,4,OP4,B,20,71,281,352,0.609157312,0.560994438,0.16127134,0.036061368,0.982731022,16
