population,location,number,ID,ramet,block,CPS_i,CPS_f,HPS_i,HPS_f,notes
Prairie Island,North,4,PI4,d,17,23.8,21.2,28.7,16.4,
Prairie Island,North,4,PI4,b,9,36.2,25.3,20.2,18.5,
Prairie Island,North,9,PI9,a,1,-1.28,15.1,-1.28,24.4,Used CPS_i for HPS_i- LICOR issue
Prairie Island,North,9,PI9,b,7,26.9,28.9,35.2,27.4,
Prairie Island,North,15,PI15,b,9,18,-4.33,31.4,8.33,
Prairie Island,North,10,PI10,c,12,,,18.8,15.1,
Prairie Island,North,21,PI21,a,2,,,28.5,17,
Prairie Island,North,15,PI15,a,2,,,33.6,18.6,
Prairie Island,North,12,PI12,a,3,,,41.8,9.74,
Prairie Island,North,14,PI14,a,3,,,46.9,30.1,
Prairie Island,North,27,PI27,a,3,,,45.2,24.8,
Prairie Island,North,13,PI13,a,4,,,16.7,24.6,
Prairie Island,North,19,PI19,a,4,,,17,19.1,
Prairie Island,North,18,PI18,a,4,,,26.5,30.5,
Prairie Island,North,11,PI11,a,4,,,16.3,25.2,
Prairie Island,North,25,PI25,a,3,,,23.1,26.6,
Prairie Island,North,30,PI30,a,3,,,22.4,33.1,
Prairie Island,North,30,PI30,b,7,22.4,5.86,,,
Prairie Island,North,28,PI28,b,8,22.6,15.5,,,
Prairie Island,North,13,PI13,b,8,31.5,7.33,,,
Prairie Island,North,5,PI5,b,8,28.9,11.5,,,
Prairie Island,North,10,PI10,b,10,26.9,10.3,,,
Prairie Island,North,14,PI14,b,8,18.4,17.8,,,
Prairie Island,North,27,PI27,b,8,11.7,16.8,,,
Prairie Island,North,25,PI25,d,16,23.3,15.6,,,
Reserve,South,2,RE6,b,6,10.2,10.4,41.4,28.8,
Reserve,South,3,RE3,b,7,-1.02,14.5,23,11.6,
Reserve,South,5,RE5,b,10,4.8,-3.1,45.8,na,
Reserve,South,5,RE5,c,12,,,6.62,na,
Reserve,South,5,RE8,a,3,,,33.5,na,
Reserve,South,3,RE3,a,3,,,19.5,15.9,
Reserve,South,2,RE6,a,4,,,21.7,na,
Reserve,South,4,RE7,a,3,,,na,na,
