 ,Area,Mean,Min,Max,Length,Length (mm),,,
32,951,169.043,82.894,190.102,950.973,1.382027322,,Conversion,688.1
17,921,162.762,51.664,181.75,921.793,1.339620695,,,
14,917,160.364,92.438,181.284,917.255,1.333025723,,,
2,742,143.339,51.789,168.696,741.917,1.078211016,,Column1,
25,730,156.831,58.386,182.514,730.33,1.061371894,,,
37,705,150.517,58.619,169.304,704.488,1.023816306,,Mean,0.991160732
16,704,154.795,68.605,174.848,703.224,1.021979363,,Standard Error,0.03874022
4,669,146.313,96.166,162.89,668.701,0.971807877,,Median,0.939652667
7,666,154.818,42.19,186.398,665.753,0.967523616,,Mode,#N/A
15,650,165.64,70.44,183.944,649.819,0.944367098,,Standard Deviation,0.17325153
3,644,144.651,93.097,166.854,643.331,0.934938236,,Sample Variance,0.030016093
31,634,176.487,88.391,194.417,633.304,0.920366226,,Kurtosis,0.884499105
38,631,156.532,94.143,182.015,630.873,0.916833309,,Skewness,1.350488719
1,605,162.652,69.24,176.867,604.277,0.87818195,,Range,0.55458073
34,591,146.034,83.843,163.182,590.28,0.85784043,,Minimum,0.827446592
13,589,166.663,53.966,195.698,588.336,0.855015259,,Maximum,1.382027322
12,579,159.182,48,181.596,579.061,0.841536114,,Sum,19.82321465
18,575,155.286,105.56,174.13,574.995,0.835627089,,Count,20
39,573,158.117,100.626,175.144,572.278,0.831678535,,,0
22,570,161.276,55.029,181.492,569.366,0.827446592,,,
23,570,159.179,78.278,192.844,569.128,0.827100712,,,
11,561,161.68,83,181.138,560.323,0.814304607,,,
29,559,157.262,110.129,173.318,558.927,0.812275832,,,
40,548,161.098,57.387,183.722,547.856,0.796186601,,,
8,548,147.449,67.549,171.515,547.276,0.7953437,,,
20,539,163.461,93.322,179.173,539.053,0.783393402,,,
9,536,157.25,35.618,176.866,535.688,0.778503125,,,
33,534,136.954,98.203,166.094,533.11,0.774756576,,,
10,526,157.574,34.533,174.997,525.43,0.763595408,,,
24,515,152.456,80,177.64,514.655,0.747936346,,,
28,510,148.655,85.314,171.22,509.735,0.740786223,,,
19,507,157.638,76.987,173.699,506.53,0.73612847,,,
6,505,143.892,65.283,161.633,504.933,0.733807586,,,
5,503,137.451,85.333,160.947,502.381,0.730098823,,,
36,487,138.948,39.333,161.193,486.868,0.707554135,,,
35,480,148.493,64.667,166,479.957,0.697510536,,,
27,464,148.99,89.473,175.11,463.875,0.674138933,,,
26,437,146.331,75.521,162.025,436.717,0.634670833,,,
21,434,169.413,56.212,189.198,433.503,0.63,,,
30,429,147.98,69.774,179.357,428.844,0.623229182,,,
