 ,Area,Mean,Min,Max,Length,Length (mm),,,
7,907,167.61,108.244,184.665,906.814,1.348927777,,Conversion,672.248
18,818,164.511,82.312,192.273,817.549,1.21614196,,,
19,816,165.197,103.989,192.646,816.947,1.215246457,,,
36,795,158.125,77.574,179.308,794.59,1.181989385,,,
26,775,176.634,133.551,191.299,775.985,1.154313587,,Column1,
28,775,175.617,104.497,201.13,775.193,1.15313545,,,
12,772,160.983,75.214,190.925,771.751,1.148015316,,Mean,1.071140784
32,755,148.324,78.412,170.92,754.592,1.122490509,,Standard Error,0.027277252
8,747,180.498,136.333,197.75,746.971,1.111153919,,Median,1.08236023
4,729,156.562,94.517,174.672,728.319,1.083408206,,Mode,#N/A
16,727,144.819,107.282,159.641,726.91,1.081312254,,Standard Deviation,0.121987579
1,691,170.317,78.487,192.115,690.121,1.026586914,,Sample Variance,0.014880969
20,667,163.422,66.044,182.166,666.038,0.990762338,,Kurtosis,-0.519532398
6,646,157.246,101.127,174.757,645.666,0.960458045,,Skewness,0.460431077
27,640,157.925,76.886,182.523,639.112,0.950708667,,Range,0.425918709
29,638,160.8,92.024,195.053,637.374,0.948123312,,Minimum,0.923009068
2,634,160.842,95.197,175.405,635.02,0.944621628,,Maximum,1.348927777
13,627,163.862,60.019,185.437,626.925,0.932579941,,Sum,21.42281569
17,625,151.418,75.839,169.181,625.077,0.929830955,,Count,20
24,621,144.471,82.91,168.519,620.491,0.923009068,,,0
9,620,154.033,103.678,178.251,619.946,0.922198355,,,
5,615,155.577,41.604,184.032,614.222,0.913683641,,,
11,612,158.526,107.672,180.668,611.111,0.909055884,,,
34,607,139.204,87.667,170.904,606.561,0.902287549,,,
33,606,159.403,80.162,176.514,605.929,0.901347419,,,
3,600,155.864,77.428,180.576,599.463,0.891728945,,,
22,594,160.002,81.853,176.469,593.171,0.882369304,,,
31,591,165.945,94.972,193.756,590.531,0.878442182,,,
39,587,152.301,98.333,170.316,586.712,0.872761243,,,
37,587,165.99,85.464,190.304,586.42,0.872326879,,,
38,585,167.762,99.717,202.154,585.046,0.870282991,,,
15,578,145.198,64.699,168.905,577.239,0.858669717,,,
14,570,150.484,101.75,170.896,569.635,0.847358415,,,
10,569,161.584,111.36,181.371,568.823,0.846150528,,,
40,532,149.325,48.589,181.753,532.128,0.791565018,,,
21,532,159.426,97.759,183.016,531.977,0.791340398,,,
23,522,165.16,82.937,189.441,521.351,0.775533732,,,
35,521,147.084,100.667,165.777,520.385,0.774096762,,,
25,507,134.745,88.973,169.951,507.184,0.754459664,,,
30,428,171.185,97.938,196.03,427.964,0.636616249,,,
