Population,Latitude,Longitude,Region
Oil Patch,33.173465,-96.615402,South
Reserve,33.159962,-96.619011,South
Cemetery,33.173672,-96.615096,South
Prairie Island,44.07959,-91.684545,North
Frontenac,44.523056,-92.338611,North
