STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,Month,DATE,TAVG,TMAX,TMIN,TOBS,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/8/2018,,56,24,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/9/2018,,63,35,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/10/2018,,59,28,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/11/2018,,41,25,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/12/2018,,47,24,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/13/2018,,43,37,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/14/2018,,68,42,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/15/2018,,77,63,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/16/2018,,69,43,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/17/2018,,61,41,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/18/2018,,62,42,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/19/2018,,75,62,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/20/2018,,70,37,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/21/2018,,37,32,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/22/2018,,40,33,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/23/2018,,51,39,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/24/2018,,63,46,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/25/2018,,65,37,,,,,,,,
USW00053914,"MCKINNEY MUNICIPAL AIRPORT, TX US",33.18286,-96.58988,173.3,Feb,2/26/2018,,66,39,,,,,,,,
