 ,Area,Mean,Min,Max,Length,Length (mm),,,
35,428,179.325,132.089,196.53,427.595,0.640936474,,Conversion,667.141
15,414,162.012,129.607,180.436,413.966,0.620507509,,,
37,307,187.751,133.157,210.646,306.302,0.459126332,,,
2,264,152.047,100.816,179.967,264.57,0.396572838,,,
16,246,166.499,84.811,182.354,246.254,0.369118372,,,
40,224,170.831,137.646,193.564,223.934,0.335662176,,Column1,
36,217,143.172,100.957,171.52,217.561,0.326109473,,,
1,214,152.795,106.453,182.195,215.212,0.322588478,,Mean,0.340104715
8,212,184.781,130.099,208.7,211.557,0.317109876,,Standard Error,0.025408652
4,210,154.605,106.204,182.168,209.908,0.314638135,,Median,0.31440655
10,209,146.294,59.295,175.237,209.599,0.314174965,,Mode,#N/A
13,204,165.69,96.278,188.023,203.854,0.305563592,,Standard Deviation,0.113630947
7,188,182.847,95,213.574,187.533,0.281099498,,Sample Variance,0.012911992
3,181,129.651,47.065,168.004,182.192,0.273093694,,Kurtosis,2.987512957
27,182,150.726,107.633,192.027,181.939,0.272714464,,Skewness,1.838874987
11,182,176.226,119.015,205.21,181.668,0.272308253,,Range,0.425009106
9,176,188.707,134.333,207.313,175.776,0.263476536,,Minimum,0.215927368
38,169,147.411,66.257,176.803,170.454,0.255499212,,Maximum,0.640936474
22,165,165.707,85,184.576,164.028,0.245867066,,Sum,6.80209431
29,145,169.638,76,194.625,144.054,0.215927368,,Count,20
30,143,171.764,123.562,200.809,142.221,0.213179823,,,0
31,140,161.762,125.349,179.163,139.537,0.209156685,,,
19,136,162.765,119.333,179.193,136.077,0.203970375,,,
33,130,155.473,99.683,192.185,131.753,0.197488987,,,
34,129,144.01,98.68,172.882,129.723,0.194446152,,,
39,127,145.293,100.063,165.721,127.035,0.190417018,,,
18,127,156.88,117.385,182.172,126.152,0.18909346,,,
5,119,151.004,87.933,172.49,118.863,0.178167734,,,
6,116,138.143,109.464,162.785,115.596,0.173270718,,,
24,115,148.963,92.333,165.383,114.429,0.171521462,,,
20,111,127.885,59,186.638,110.254,0.165263415,,,
21,106,157.916,119.058,189.095,105.824,0.15862314,,,
26,105,141.06,121.667,157.333,105.363,0.157932131,,,
32,106,167.495,119.221,194.367,105.133,0.157587377,,,
28,103,201.306,127.602,225.988,102.444,0.153556744,,,
12,99,161.181,119.617,194.352,98.96,0.14833446,,,
17,98,146.095,94,169.028,97.5,0.146146017,,,
25,96,148.21,119,183.481,95.975,0.143860144,,,
23,96,156.115,55.389,186.359,95.89,0.143732734,,,
14,96,156.733,102.975,190.681,95.648,0.143369992,,,
