"","ID","AST_CMS","CMS","location","population"
"1","CE1",0.0813181017974277,0.664102783297442,"South","Cemetary"
"2","CE10",0.075482679886743,0.582558752708025,"South","Cemetary"
"3","CE11",0.078190453852085,0.614930124903144,"South","Cemetary"
"4","CE2",0.0766961342676618,0.589257664474585,"South","Cemetary"
"5","CE3",0.0807049631705765,0.649916236833507,"South","Cemetary"
"6","CE4",0.0742856305562463,0.550821162595876,"South","Cemetary"
"7","CE5",0.0858160474228471,0.736511102930093,"South","Cemetary"
"8","CE6",0.0829214730575232,0.688472720799257,"South","Cemetary"
"9","CE7a",0.0896555575773279,0.805308148920836,"South","Cemetary"
"10","CE7b",0.0824725682147161,0.678631733443491,"South","Cemetary"
"11","CE8",0.0839678544331214,0.70488769143854,"South","Cemetary"
"12","CE9",0.0787729048557328,0.619234643977575,"South","Cemetary"
"13","FR1",0.0928487208356829,0.860207436097076,"North","Frontenac"
"14","FR10",0.0808204192578814,0.653842873671665,"North","Frontenac"
"15","FR11",0.0542431261856857,0.298503179264514,"North","Frontenac"
"16","FR12",0.0820346116814241,0.671459486639537,"North","Frontenac"
"17","FR2",0.0934084437374334,0.869979085695262,"North","Frontenac"
"18","FR6",0.0817241422203908,0.66861822087317,"North","Frontenac"
"19","FR8",0.0757957050047701,0.573468844711104,"North","Frontenac"
"20","OP1",0.0929713395394713,0.861924509235954,"South","Oil Patch"
"21","OP2",0.070095688171882,0.506824628144597,"South","Oil Patch"
"22","OP3",0.0649894790841024,0.421768938244978,"South","Oil Patch"
"23","OP4",0.0719132910435781,0.529116236973682,"South","Oil Patch"
"24","OP5",0.0768653713416861,0.601092631197346,"South","Oil Patch"
"25","OP6",0.0682848221637021,0.47122300669893,"South","Oil Patch"
"26","OP7",0.0572223360124879,0.330413679815228,"South","Oil Patch"
"27","OP8",0.0804913361444277,0.674684432754111,"South","Oil Patch"
"28","OP9",0.0643562695720609,0.413601540443882,"South","Oil Patch"
"29","PI1",0.0958853993735733,0.916855300450259,"North","Prairie Island"
"30","PI10",0.0890879534934334,0.795082105508308,"North","Prairie Island"
"31","PI11",0.0633219837007206,0.400431732325958,"North","Prairie Island"
"32","PI12",0.092207695897711,0.849657238173085,"North","Prairie Island"
"33","PI13",0.0751232334327005,0.576087271976983,"North","Prairie Island"
"34","PI14",0.0837342057792578,0.721971010580254,"North","Prairie Island"
"35","PI15",0.0840022306695767,0.7085992003456,"North","Prairie Island"
"36","PI18",0.0734412155141842,0.538392208981629,"North","Prairie Island"
"37","PI19",0.0802996516845844,0.645700863503126,"North","Prairie Island"
"38","PI2",0.0739041579434098,0.550704480260465,"North","Prairie Island"
"39","PI21",0.0924665710603746,0.852749585088829,"North","Prairie Island"
"40","PI25",0.0877815828980636,0.781729142665811,"North","Prairie Island"
"41","PI27",0.0814056801531755,0.687253597506954,"North","Prairie Island"
"42","PI28",0.0822523931677304,0.699620369310697,"North","Prairie Island"
"43","PI3",0.0697548080062148,0.501472984923025,"North","Prairie Island"
"44","PI30",0.0973375999965788,0.944851669978359,"North","Prairie Island"
"45","PI4",0.092886558460858,0.861255127330707,"North","Prairie Island"
"46","PI5",0.0757900626551124,0.587614112136186,"North","Prairie Island"
"47","PI9",0.0946782220190835,0.893743046387385,"North","Prairie Island"
"48","PL2",0.0728151174979106,0.533282678836495,"South","Parking Lot"
"49","PL4",0.0944485360046322,0.889403222146585,"South","Parking Lot"
"50","PL5",0.0835791303780363,0.696922057505165,"South","Parking Lot"
"51","RE3",0.0946940250771075,0.895141678676814,"South","Reserve"
"52","RE5",0.0768456525249607,0.589819734106816,"South","Reserve"
