"","population","location","number","ID","ramet","block","pair","exp_trt","exp_max","cntr_trt","cntr_max","CMS"
"70","Frontenac","North","8","FR8","B",9,42,98.1,175.5,10.75,178.8,0.469237635319159
"71","Frontenac","North","8","FR8","D",18,93,100.6,181.5,15.73,158.8,0.494736341473794
"72","Oil Patch","South","1","OP1","A",1,2,70.3,194.2,7.88,196.7,0.66462771501605
"73","Oil Patch","South","1","OP1","B",7,33,106.9,209,9.25,186.7,0.513981834629608
"74","Oil Patch","South","1","OP1","C",12,61,54.3,107,8.02,119.9,0.527829383284494
"75","Oil Patch","South","1","OP1","D",20,100,75.8,128.3,7.75,137.5,0.433638644974973
"76","Oil Patch","South","2","OP2","A",5,24,85.6,167.7,17.23,198.7,0.536047311758846
"77","Oil Patch","South","2","OP2","B",7,32,108.6,200,8.51,204,0.47689395877027
"78","Oil Patch","South","2","OP2","C",14,69,86.6,162.1,8.01,141.4,0.493730633327227
"79","Oil Patch","South","2","OP2","D",20,103,78.7,135.8,6.4,123.2,0.443510803558819
"80","Oil Patch","South","3","OP3","A",2,7,68.2,160.1,15.47,173.1,0.630350892076706
"81","Oil Patch","South","3","OP3","B",10,51,47.5,83.5,9.46,79.3,0.489536391135255
"82","Oil Patch","South","3","OP3","C",15,78,64.7,137,7.46,140.4,0.557351486154228
"83","Oil Patch","South","3","OP3","D",16,82,90.6,150.9,9.96,130.9,0.432511594892363
"84","Oil Patch","South","4","OP4","A",1,3,130.1,296,10.69,281,0.582638102198977
"85","Oil Patch","South","4","OP4","B",8,38,93.6,182.5,9.73,195.7,0.51260970800269
"86","Oil Patch","South","4","OP4","C",11,55,40.3,101.2,9.09,105.2,0.658694356721527
"87","Oil Patch","South","4","OP4","D",18,90,82.8,147.4,8.81,134.9,0.46888499987033
"88","Oil Patch","South","5","OP5","A",1,1,83.9,203,10.2,208,0.61695398148102
"89","Oil Patch","South","5","OP5","B",10,48,46.3,99.3,10.56,91.7,0.603199472968408
"90","Oil Patch","South","5","OP5","C",12,60,46.4,95.6,6.54,99.1,0.551007511129273
"91","Oil Patch","South","5","OP5","D",18,93,76.5,140.4,12.48,142.8,0.498713226613779
"92","Oil Patch","South","6","OP6","A",5,25,92,188.5,14.23,201,0.550940751962477
"93","Oil Patch","South","6","OP6","B",6,31,93.5,172.4,11.02,164.7,0.490473998461262
"94","Oil Patch","South","6","OP6","C",13,63,99.1,169.3,10.77,162.9,0.444003479009174
"95","Oil Patch","South","6","OP6","D",20,102,80,147.3,7.93,135.4,0.485314196900342
"96","Oil Patch","South","7","OP7","A",4,19,149.9,295,9.8,279,0.509770317576246
"97","Oil Patch","South","7","OP7","B",10,47,47.1,103.4,17.24,107.2,0.648833395113065
"98","Oil Patch","South","7","OP7","C",14,68,108.5,192.7,6.42,156.6,0.455627611163438
