"","population","location","number","ID","ramet","block","pair","exp_trt","exp_max","cntr_trt","cntr_max","CMS"
"57","Prairie Island","North","2","PI2","B",6,28,64.2,160.3,15.65,156.5,0.666112150828308
"58","Reserve","South","6","RE6","B",6,28,114.5,187.1,22.2,185.3,0.440843347475637
"59","Cemetary","South","6","CE6","B",7,36,49.2,161.6,21.2,159.6,0.802087506438505
"60","Cemetary","South","8","CE8","B",7,34,47.4,154.1,16.02,139.7,0.782093560825156
"61","Oil Patch","South","1","OP1","B",7,33,45.1,179.6,25.3,176.2,0.874445236524432
"62","Oil Patch","South","2","OP2","B",7,32,54.3,151.8,16.6,154.7,0.719497814781636
"63","Prairie Island","North","1","PI1","B",7,32,39.4,177.3,21.6,177.8,0.88533219519135
"64","Prairie Island","North","21","PI21","B",7,33,41.5,154.7,17.37,149.3,0.828080119861412
"65","Prairie Island","North","25","PI25","B",7,36,35.8,123,23.5,124.8,0.873406688657212
"66","Prairie Island","North","30","PI30","B",7,35,28.2,133.9,17.61,136,0.906814170529536
"67","Prairie Island","North","9","PI9","B",7,34,37.5,148.7,25.7,165.9,0.884895916775631
"68","Reserve","South","3","RE3","B",7,35,52.9,174.7,28.7,177.7,0.831487151511892
"69","Cemetary","South","1","CE1","B",8,40,84.6,163.7,23.5,176.8,0.557272881956357
"70","Cemetary","South","11","CE11","B",8,41,85.5,156.6,16.6,160.6,0.506361749680715
"71","Cemetary","South","2","CE2","B",8,37,86.9,164.6,17.13,195.1,0.517489636566186
"72","Oil Patch","South","4","OP4","B",8,38,106.9,174.7,18.18,167.7,0.43528185442414
"73","Oil Patch","South","8","OP8","B",8,39,103.8,162.5,16.07,152.4,0.403811114433868
"74","Prairie Island","North","13","PI13","B",8,40,103,153.7,19.35,167.7,0.372889027184521
"75","Prairie Island","North","14","PI14","B",8,39,103.3,180.8,15.91,179.3,0.470390013686781
"76","Prairie Island","North","27","PI27","B",8,38,112,179.9,18.53,168.6,0.424035579764463
"77","Prairie Island","North","28","PI28","B",8,37,121.1,203,16.08,188.6,0.441052311775946
"78","Prairie Island","North","5","PI5","B",8,41,106,166.6,17.49,168,0.40601450865377
"79","Cemetary","South","4","CE4","B",9,43,49.7,155.8,15.36,157.4,0.754643776780592
"80","Cemetary","South","5","CE5","B",9,42,41.1,163.1,16.83,146.5,0.845091986321737
"81","Cemetary","South","7b","CE7b","B",9,45,40.9,207,16,209,0.868936947761007
"82","Cemetary","South","9","CE9","B",9,44,40.4,166.8,16.87,164.9,0.844154508184306
"83","Frontenac","North","8","FR8","B",9,42,82.1,128.5,17.34,127.9,0.417722017940503
"84","Prairie Island","North","15","PI15","B",9,45,56.4,117.5,13.04,104.4,0.594220665499124
"85","Prairie Island","North","3","PI3","B",9,43,41.1,95.2,9.85,106.7,0.626073196444298
"86","Prairie Island","North","4","PI4","B",9,44,85.1,252,32.7,245,0.76431412571309
"87","Cemetary","South","3","CE3","B",10,52,22,150.8,9.52,154.5,0.910195973248665
"88","Frontenac","North","1","FR1","B",10,49,40.2,127.7,19.41,122,0.814839280489664
"89","Frontenac","North","10","FR10","B",10,50,79,165,31.3,164.8,0.64341391442515
"90","Frontenac","North","11","FR11","B",10,52,50.2,159.3,17.75,173.3,0.763022811750944
"91","Frontenac","North","2","FR2","B",10,48,38.4,165.5,18.49,157.7,0.869979085695262
"92","Frontenac","North","6","FR6","B",10,47,38.5,124.3,13.48,118,0.779289393739268
"93","Oil Patch","South","3","OP3","B",10,51,64.1,96.9,19.31,97.8,0.421768938244978
"94","Oil Patch","South","5","OP5","B",10,48,57.4,91.4,13.97,94.6,0.436442663912282
"95","Oil Patch","South","7","OP7","B",10,47,66.6,102.1,13.29,107.9,0.396540009965132
"96","Oil Patch","South","9","OP9","B",10,50,59.3,92.5,11.87,90.3,0.413239556016555
"97","Prairie Island","North","10","PI10","B",10,51,48.6,115.6,18.48,116.2,0.689191064930944
"98","Reserve","South","5","RE5","B",10,49,53.1,101.4,22,100.4,0.609995773457312
"99","Cemetary","South","10","CE10","C",11,56,49.5,150.5,17.12,149.9,0.757624206903834
"100","Cemetary","South","6","CE6","C",11,54,50.4,134,14.14,137,0.695683231247312
"101","Cemetary","South","7a","CE7a","C",11,57,54,145.3,13.59,138.5,0.696719118839205
"102","Cemetary","South","8","CE8","C",11,53,56.3,148,17.49,139.1,0.708704942916768
"103","Oil Patch","South","4","OP4","C",11,55,85.8,128.3,15.64,117.4,0.382167078437428
"104","Prairie Island","North","13","PI13","C",11,57,44.4,149,22.6,204,0.789474852563581
"105","Prairie Island","North","15","PI15","C",11,56,75,152.9,21.7,152.3,0.594137136344106
"106","Prairie Island","North","25","PI25","C",11,55,82.7,152.5,15.95,149,0.512574466643256
"107","Prairie Island","North","3","PI3","C",11,54,64.7,155.4,19.28,140.5,0.676485227301924
"108","Prairie Island","North","4","PI4","C",11,53,44.4,147,18.21,138,0.804060166515893
"109","Cemetary","South","2","CE2","C",12,59,39.6,122.8,14.55,144.1,0.753618451241267
"110","Cemetary","South","9","CE9","C",12,58,37.9,148.6,12.23,121.8,0.828103152774746
"111","Oil Patch","South","1","OP1","C",12,61,54.6,137.2,11.84,122.6,0.666397653319182
"112","Oil Patch","South","5","OP5","C",12,60,45,111.3,14.13,114.1,0.679883210246093
"113","Prairie Island","North","1","PI1","C",12,61,61.3,155.2,14.68,143.8,0.673812780247576
"114","Prairie Island","North","10","PI10","C",12,62,44.6,152.4,15.9,143.8,0.795283799063819
"115","Prairie Island","North","11","PI11","C",12,60,55.3,175.6,19.17,170.4,0.771920818762232
"116","Prairie Island","North","12","PI12","C",12,58,37.7,133.3,13.83,118.7,0.811759152241574
"117","Prairie Island","North","14","PI14","C",12,59,38.3,128.8,13.41,130.2,0.783317883827159
"118","Reserve","South","5","RE5","C",12,62,46.2,141.6,13.97,130.3,0.754636503109943
"119","Cemetary","South","3","CE3","C",13,67,34.8,150.7,13.56,148.3,0.846476277790872
"120","Cemetary","South","7b","CE7b","C",13,65,37.8,140,13.38,124,0.818296872175014
"121","Frontenac","North","10","FR10","C",13,63,42,185.5,16.74,154,0.86793002674995
"122","Frontenac","North","12","FR12","C",13,64,55.2,162.8,13.58,144.8,0.729333898058178
"123","Oil Patch","South","6","OP6","C",13,63,113.4,177.2,18.54,178,0.401906660713542
"124","Oil Patch","South","9","OP9","C",13,64,77.3,156,11.94,135.6,0.553197974595354
"125","Prairie Island","North","21","PI21","C",13,66,49.8,179.3,15.62,176.4,0.792421107724494
"126","Prairie Island","North","27","PI27","C",13,67,47.2,214,15.75,197,0.847169835642926
"127","Prairie Island","North","30","PI30","C",13,65,44.8,186.2,22,188.5,0.859739438686807
"128","Reserve","South","7","RE7","C",13,66,33,150.4,13.13,150.3,0.855303211266033
"129","Cemetary","South","11","CE11","C",14,71,28.6,110.1,16.87,103.8,0.88388947729875
"130","Frontenac","North","11","FR11","C",14,68,56.6,120.7,18.64,108.9,0.640742173351366
"131","Frontenac","North","2","FR2","C",14,70,26.2,93.5,15.23,99.4,0.850026588664779
"132","Oil Patch","South","2","OP2","C",14,69,42.6,122.2,19.33,106.2,0.796336380885561
"133","Oil Patch","South","7","OP7","C",14,68,47.3,119.4,16.36,101.6,0.719749223200313
"134","Oil Patch","South","8","OP8","C",14,70,29.8,101.4,16.37,101.3,0.84221580784361
"135","Prairie Island","North","18","PI18","C",14,71,31.6,141.3,17.83,117.4,0.915385556335271
"136","Prairie Island","North","28","PI28","C",14,69,23.4,102.6,16.52,108,0.911329482429291
"137","Cemetary","South","1","CE1","C",15,74,79.2,140.4,14.62,134.8,0.488924732559281
"138","Cemetary","South","4","CE4","C",15,75,43.6,144.7,18.62,165.3,0.787380358146746
"139","Frontenac","North","1","FR1","C",15,75,62.5,128.1,14.74,127.2,0.579220256715789
"140","Frontenac","North","6","FR6","C",15,78,31.2,168.7,16.08,184.4,0.892920532995553
"141","Oil Patch","South","3","OP3","C",15,78,53.8,141.2,15.34,150.2,0.689387672621571
"142","Prairie Island","North","2","PI2","C",15,77,37.3,194.5,18.38,180.8,0.899687851072579
"143","Prairie Island","North","5","PI5","C",15,76,48,161.9,22,176.1,0.803958428444826
"144","Prairie Island","North","9","PI9","C",15,73,35.3,164.2,14.87,181.3,0.855157197764065
"145","Prairie Island","North","9","PI9","C",15,74,67.8,150.6,17.25,133.6,0.631314021952585
"146","Reserve","South","3","RE3","C",15,73,28.9,145.3,11.54,148.7,0.868502070413944
"147","Reserve","South","6","RE6","C",15,77,48.5,155.6,13.53,141.6,0.761019389500801
"148","Reserve","South","8","RE8","C",15,76,58.9,179,12.22,168.2,0.723514187823822
"149","Cemetary","South","2","CE2","D",16,79,53.2,170,16.03,142.7,0.774005637622539
"150","Cemetary","South","6","CE6","D",16,80,34.3,133.8,12.61,148.4,0.812705277460107
"151","Cemetary","South","8","CE8","D",16,83,44.9,190.6,14.42,182.4,0.830049347552618
"152","Frontenac","North","2","FR2","D",16,83,31.5,151.5,14.91,168.2,0.869122074318463
"153","Oil Patch","South","3","OP3","D",16,82,34.1,132.7,13.59,128.6,0.830828445375511
"154","Prairie Island","North","25","PI25","D",16,80,34.8,143.7,16.44,143,0.856269910184777
"155","Prairie Island","North","28","PI28","D",16,82,33.4,151.7,16.26,154.4,0.871619641266553
"156","Prairie Island","North","30","PI30","D",16,79,32.5,138.7,15.75,141.6,0.861505568908638
"157","Cemetary","South","11","CE11","D",17,87,49.9,171.5,13.88,167.9,0.772935096460533
"158","Oil Patch","South","8","OP8","D",17,84,54.8,117.2,15.04,120.9,0.60806693623944
"159","Oil Patch","South","9","OP9","D",17,85,50.2,127.5,10.82,109.7,0.672616441398566
"160","Prairie Island","North","11","PI11","D",17,84,57.2,172.5,19.37,163.8,0.758047978710915
"161","Prairie Island","North","15","PI15","D",17,86,38.4,152,13,148,0.819337231968811
"162","Prairie Island","North","19","PI19","D",17,85,52.4,189.6,18.23,182.5,0.803933988475801
"163","Prairie Island","North","21","PI21","D",17,87,38.3,180.2,17.06,190.2,0.865048999629101
"164","Prairie Island","North","4","PI4","D",17,88,44.1,190.6,16.28,186.8,0.842008113445472
"165","Reserve","South","3","RE3","D",17,88,42.6,138.3,12.32,130.5,0.764110704322866
"166","Reserve","South","8","RE8","D",17,86,35.3,148.1,14,124,0.858584494506169
"167","Cemetary","South","10","CE10","D",18,91,27.6,107.8,9.84,115.9,0.812994150054035
"168","Cemetary","South","7b","CE7b","D",18,92,33.2,112,10.55,116,0.773961931856669
"169","Frontenac","North","8","FR8","D",18,93,68.5,125.3,14.06,131.1,0.507768368901649
"170","Oil Patch","South","4","OP4","D",18,90,69.9,120.3,14.99,112.4,0.483423409446817
"171","Oil Patch","South","5","OP5","D",18,93,55.2,114.2,14.55,123.6,0.585569851391294
"172","Prairie Island","North","1","PI1","D",18,90,78.7,146.1,15.95,144.3,0.51865687461054
"173","Prairie Island","North","12","PI12","D",18,92,47.6,147.1,13.85,141.9,0.749571767698875
"174","Prairie Island","North","3","PI3","D",18,89,83.8,168.3,19.46,168.4,0.567679655982091
"175","Prairie Island","North","9","PI9","D",18,91,69.2,161.1,16.24,161.5,0.634229528114275
"176","Reserve","South","5","RE5","D",18,89,49.7,127.9,14.48,128.1,0.689335354986974
"177","Cemetary","South","3","CE3","D",19,97,44,137.6,12.13,128,0.751443578509195
"178","Cemetary","South","5","CE5","D",19,95,62.6,111,18.09,105.1,0.526691039965376
"179","Cemetary","South","7a","CE7a","D",19,96,38,132.8,12.09,122.7,0.791881929671493
"180","Cemetary","South","9","CE9","D",19,98,43.9,131.6,12.26,144.4,0.728243462883384
"181","Frontenac","North","11","FR11","D",19,96,74.4,150.9,14.65,156.6,0.559279056201712
"182","Frontenac","North","12","FR12","D",19,98,63.2,151.7,16.55,151.6,0.654880867629533
"183","Prairie Island","North","14","PI14","D",19,97,55.7,166.4,16.11,153.1,0.743499402679589
"184","Prairie Island","North","27","PI27","D",19,95,62.9,147.1,22.4,163.3,0.663398691233736
"185","Prairie Island","North","5","PI5","D",19,94,54.6,130.5,18.94,134.8,0.67668668686544
"186","Reserve","South","7","RE7","D",19,94,35.2,109.4,14.06,135.5,0.756770370423895
"187","Cemetary","South","1","CE1","D",20,101,31.6,123.1,12.64,111.8,0.838046905132274
"188","Frontenac","North","10","FR10","D",20,103,39.9,153.2,12.36,114.2,0.829313734337793
"189","Oil Patch","South","1","OP1","D",20,100,37.8,128.6,18.46,116.7,0.838740051975421
"190","Oil Patch","South","2","OP2","D",20,103,38.2,105.9,14.14,117.7,0.726569444125305
"191","Oil Patch","South","6","OP6","D",20,102,33.4,97.6,15.21,124.5,0.749331752338867
"192","Oil Patch","South","7","OP7","D",20,99,23.7,95.3,14.4,97.5,0.881502835431338
"193","Prairie Island","North","10","PI10","D",20,101,41.9,138.5,14.71,118.2,0.796611263300697
"194","Prairie Island","North","13","PI13","D",20,100,22.2,120.4,17.49,133.5,0.938579014697152
"195","Prairie Island","North","18","PI18","D",20,99,23.6,126,17.56,124.5,0.94614692707081
"196","Prairie Island","North","2","PI2","D",20,102,26,123.7,17.4,141.7,0.900375327378997
