"","ID","location","population","number","ramet","Cgerm","Hgerm","CPTGR","HPTGR","HCMS","CCMS","HCHPL","CCHPL","HPS","CPS"
"45","CE9","South","Cemetary","9","B",NA,NA,NA,NA,0.844154508,0.470860441575183,0.381687388,0.540566579,0.815094339622642,0.699530516431925
"46","CE9","South","Cemetary","9","C",NA,NA,NA,NA,0.828103153,0.53480109399819,0.44875732,0.576331022,NA,0.875912408759124
"47","CE9","South","Cemetary","9","D",NA,NA,NA,NA,0.728243463,0.570827199738685,0.506003208,0.416485835,NA,NA
"48","FR1","North","Frontenac","1","A",NA,NA,NA,NA,0.905575592,0.504587235654139,0.375,0.723274413,0.422382671480144,0.545454545454545
"49","FR1","North","Frontenac","1","B",NA,NA,NA,NA,0.81483928,0.546717757803206,0.282760753,0.743994287,NA,NA
"50","FR1","North","Frontenac","1","C",NA,NA,NA,NA,0.579220257,0.421900208635116,0.342787256,0.600970982,0.825301204819277,0.132567849686848
"51","FR10","North","Frontenac","10","A",9.454,50.866,9.988,41.56,0.568794917,0.524511833948247,0.286419597,0.54678308,NA,NA
"52","FR10","North","Frontenac","10","B",NA,NA,NA,NA,0.643413914,0.513999635296653,0.187217834,0.645937777,0.686725663716814,0.631278538812785
"53","FR10","North","Frontenac","10","C",8.705,54.239,9.939,41.428,0.867930027,0.460391375512929,0.393907563,0.606620163,0.959276018099547,0.784313725490196
"54","FR10","North","Frontenac","10","D",NA,NA,NA,NA,0.829313734,0.446630978067899,0.581480812,0.579882678,NA,NA
"55","FR11","North","Frontenac","11","A",NA,NA,NA,NA,0.225174528,0.467638091446293,0.579278142,0.61212713,0.808888888888889,0.697857142857143
"56","FR11","North","Frontenac","11","B",NA,NA,NA,NA,0.763022812,0.543857579057276,0.52416878,0.703934513,0.928571428571428,0.523529411764706
"57","FR11","North","Frontenac","11","C",10.008,41.629,10.47,42.325,0.640742173,0.456766830529207,0.298102036,0.782849571,0.482183908045977,0.723214285714286
"58","FR11","North","Frontenac","11","D",NA,NA,NA,NA,0.559279056,0.778091669551816,0.429118774,0.788519867,0.368421052631579,0.413385826771654
"59","FR12","North","Frontenac","12","A",8.442,48.521,9.896,42.639,0.671459487,0.494859171803864,0.315730337,0.700138819,0.491646778042959,0.892601431980907
"60","FR12","North","Frontenac","12","C",NA,NA,NA,NA,0.729333898,0.445212777389716,0.528795504,0.722904508,NA,NA
"61","FR12","North","Frontenac","12","D",NA,NA,NA,NA,0.654880868,0.754033945594048,0.536214741,0.754168062,0.641379310344828,0.494535519125683
"62","FR2","North","Frontenac","2","A",1.182,51.242,9.372,41.503,0.790364557,0.545622538675275,0.326666667,0.727596049,NA,0.685106382978724
"63","FR2","North","Frontenac","2","B",NA,NA,NA,NA,0.869979086,0.523871268970457,0.463389702,0.957761232,NA,0.772455089820359
"64","FR2","North","Frontenac","2","C",NA,NA,NA,NA,0.850026589,0.469259557569848,0.83124255,0.71508478,0.788135593220339,0.657657657657658
"65","FR2","North","Frontenac","2","D",NA,NA,NA,NA,0.869122074,0.490877912281409,0.637691571,0.766631806,0.609523809523809,0.242857142857143
"66","FR6","North","Frontenac","6","A",NA,NA,NA,NA,0.62335598,0.544635751908918,0.46241829,0.710144928,NA,0.662222222222222
"67","FR6","North","Frontenac","6","B",NA,NA,NA,NA,0.779289394,0.620542565403903,0.354379109,0.771341089,0.405405405405405,0.708571428571429
"68","FR6","North","Frontenac","6","C",NA,NA,NA,NA,0.892920533,0.485240847423812,0.519655525,0.906586271,NA,0.658415841584158
"69","FR8","North","Frontenac","8","A",6.788,46.134,9.614,41.653,0.560827146,0.479571406196189,0.498659589,0.552776376,NA,0.713333333333333
"70","FR8","North","Frontenac","8","B",NA,NA,NA,NA,0.417722018,0.469237635319159,0.328644162,0.728932297,0.831501831501831,0.340506329113924
"71","FR8","North","Frontenac","8","D",NA,NA,NA,NA,0.507768369,0.494736341473794,0.310766601,0.759413528,NA,0.780701754385965
"72","OP1","South","Oil Patch","1","A",8.926,43.376,10.13,41.867,0.849403782,0.66462771501605,0.345257339,0.800001816,NA,0.670588235294118
"73","OP1","South","Oil Patch","1","B",9.482,41.502,9.669,42.314,0.874445237,0.513981834629608,0.458317746,0.663468893,NA,NA
"74","OP1","South","Oil Patch","1","C",9.465,51.266,9.836,41.508,0.666397653,0.527829383284494,0.378844238,0.75483871,NA,0.506493506493506
"75","OP1","South","Oil Patch","1","D",NA,NA,NA,NA,0.838740052,0.433638644974973,0.421654226,0.662221428,0.815868263473054,0.566820276497696
"76","OP2","South","Oil Patch","2","A",9.493,48.339,9.921,41.034,0.287429049,0.536047311758846,0.337844818,0.571534693,NA,0.641975308641975
"77","OP2","South","Oil Patch","2","B",9.259,40.698,9.765,41.066,0.719497815,0.47689395877027,0.471335825,0.78119349,NA,NA
"78","OP2","South","Oil Patch","2","C",9.434,43.569,10.427,41.693,0.796336381,0.493730633327227,0.358047016,0.545548857,NA,NA
"79","OP2","South","Oil Patch","2","D",NA,NA,NA,NA,0.726569444,0.443510803558819,0.53063401,0.768949896,0.762331838565022,0.509604519774011
"80","OP3","South","Oil Patch","3","A",8.242,52.964,9.896,41.949,0.297615351,0.630350892076706,0.435984848,0.71523321,0.292569659442724,0.603715170278638
"81","OP3","South","Oil Patch","3","B",8.438,44.563,9.227,40.904,0.421768938,0.489536391135255,0.578853586,0.628884826,NA,0.628205128205128
"82","OP3","South","Oil Patch","3","C",8.068,56.242,10.115,41.745,0.689387673,0.557351486154228,0.39090253,0.660377844,NA,NA
"83","OP3","South","Oil Patch","3","D",9.775,43.187,9.823,41.12,0.830828445,0.432511594892363,0.555982322,0.726213592,NA,NA
"84","OP4","South","Oil Patch","4","A",7.739,55.372,9.856,42.993,0.769899778,0.582638102198977,0.430021158,0.519188393,NA,0.525679758308157
"85","OP4","South","Oil Patch","4","B",8.723,54.044,10.284,43.666,0.435281854,0.51260970800269,0.359277511,0.613812468,NA,0.370833333333333
"86","OP4","South","Oil Patch","4","C",6.942,50.835,9.92,41.583,0.382167078,0.658694356721527,0.37825337,0.661037696,0.0223484848484849,0.463878326996198
"87","OP4","South","Oil Patch","4","D",8.394,53.22,10.21,41.983,0.483423409,0.46888499987033,0.390087806,0.656008656,NA,0.265079365079365
"88","OP5","South","Oil Patch","5","A",9.161,45.53,9.755,41.183,0.765742598,0.61695398148102,0.160056231,0.68495068,0.478632478632479,0.602510460251046
"89","OP5","South","Oil Patch","5","B",NA,NA,NA,NA,0.436442664,0.603199472968408,0.446366475,0.595015468,0.472573839662447,0.916083916083916
"90","OP5","South","Oil Patch","5","C",8.391,42.514,9.649,41.568,0.67988321,0.551007511129273,0.364949817,0.628209777,NA,0.162138728323699
"91","OP5","South","Oil Patch","5","D",9.147,46.499,10.074,41.244,0.585569851,0.498713226613779,0.370748171,0.716787378,0.353676470588235,0.531707317073171
"92","OP6","South","Oil Patch","6","A",9.261,41.687,10.271,41.664,0.377602683,0.550940751962477,0.300971251,0.626967293,NA,0.409302325581395
"93","OP6","South","Oil Patch","6","B",8.751,45.591,9.982,40.934,0.620238991,0.490473998461262,0.332006526,0.641137124,NA,NA
"94","OP6","South","Oil Patch","6","C",8.199,49.074,10.025,41.358,0.401906661,0.444003479009174,0.377692209,0.725755559,0.769662921348314,0.895104895104895
"95","OP6","South","Oil Patch","6","D",NA,NA,NA,NA,0.749331752,0.485314196900342,0.45505618,0.804202501,0.344502617801047,0.514093959731544
"96","OP7","South","Oil Patch","7","A",9.791,42.783,9.871,41.88,0.26428735,0.509770317576246,0.495424412,0.623688284,NA,0.269505494505495
"97","OP7","South","Oil Patch","7","B",9.231,44.735,9.695,41.061,0.39654001,0.648833395113065,0.477951008,0.777185637,NA,0.493710691823899
"98","OP7","South","Oil Patch","7","C",8.88,46.864,9.79,41.453,0.719749223,0.455627611163438,0.428755474,0.744144721,NA,NA
"99","OP7","South","Oil Patch","7","D",NA,NA,NA,NA,0.881502835,0.421404126526911,0.459641256,0.708812261,0.962903225806451,0.633628318584071
"100","OP8","South","Oil Patch","8","A",9.214,43.431,9.886,40.41,0.945557751,0.543389799030514,0.777157659,0.699563554,NA,NA
"101","OP8","South","Oil Patch","8","B",NA,NA,NA,NA,0.403811114,0.489147626579263,0.325026873,0.58309198,0.542016806722689,0.448717948717949
"102","OP8","South","Oil Patch","8","C",NA,NA,NA,NA,0.842215808,0.477916528828897,0.418896546,0.698354662,0.266489361702128,0.387931034482759
"103","OP8","South","Oil Patch","8","D",8.981,44.068,9.972,41.131,0.608066936,0.392081938152452,0.359869034,0.704229708,0.699421965317919,0.283035714285714
"104","OP9","South","Oil Patch","9","A",8.792,48.37,9.583,41.59,0.413963525,0.520332091743856,0.5967905,0.565587716,NA,0.587912087912088
"105","OP9","South","Oil Patch","9","B",NA,NA,NA,NA,0.413239556,0.549722921456135,0.452432549,0.677825068,0.436150234741784,0.608695652173913
"106","OP9","South","Oil Patch","9","C",9.115,46.351,10.281,42.164,0.553197975,0.447999327865099,0.459799609,0.503880929,0.834394904458599,0.609090909090909
"107","OP9","South","Oil Patch","9","D",9.831,43.175,9.897,40.917,0.672616441,0.452529010830771,0.41882773,0.691855191,NA,0.356194690265487
"108","PI1","North","Prairie Island","1","A",NA,NA,NA,NA,0.948378406,0.570151136722047,0.07,0.920007419,NA,0.956953642384106
"109","PI1","North","Prairie Island","1","B",NA,NA,NA,NA,0.885332195,0.481916989798507,0.52890806,0.732622908,NA,NA
"110","PI1","North","Prairie Island","1","C",NA,NA,NA,NA,0.67381278,0.556896118934063,0.41969423,0.829334953,0.740365111561866,0.291203703703704
"111","PI1","North","Prairie Island","1","D",NA,NA,NA,NA,0.518656875,0.462427766258381,0.293484672,0.663060834,NA,0.377934272300469
"112","PI10","North","Prairie Island","10","A",NA,NA,NA,NA,0.900973146,0.601237604367248,0.330360115,0.790197725,0.488372093023256,0.980694980694981
