"","population","location","number","ID","ramet","block","HPS"
"108","Prairie Island","North","25","PI25","d",16,0.271578947368421
"109","Prairie Island","North","27","PI27","a",3,0.548672566371681
"110","Prairie Island","North","27","PI27","b",8,0.229411764705882
"111","Prairie Island","North","27","PI27","c",13,0.760330578512397
"112","Prairie Island","North","27","PI27","d",19,0.996389891696751
"113","Prairie Island","North","28","PI28","a",1,0.585889570552147
"114","Prairie Island","North","28","PI28","b",8,0.4375
"115","Prairie Island","North","28","PI28","d",16,0.721212121212121
"116","Prairie Island","North","3","PI3","a",4,0.552
"117","Prairie Island","North","3","PI3","b",9,0.295338983050847
"118","Prairie Island","North","3","PI3","c",11,0.436792452830189
"119","Prairie Island","North","3","PI3","d",18,0.66
"120","Prairie Island","North","30","PI30","b",7,0.301363636363636
"121","Prairie Island","North","30","PI30","c",13,0.362704918032787
"122","Prairie Island","North","4","PI4","b",9,0.915841584158416
"123","Prairie Island","North","4","PI4","c",11,0.205357142857143
"124","Prairie Island","North","4","PI4","d",17,0.571428571428571
"125","Prairie Island","North","5","PI5","b",8,0.624338624338624
"126","Prairie Island","North","5","PI5","c",15,0.894321766561514
"127","Prairie Island","North","5","PI5","d",19,0.692230070635722
"128","Prairie Island","North","9","PI9","b",7,0.778409090909091
"129","Prairie Island","North","9","PI9","c",15,0.616891891891892
"130","Reserve","South","3","RE3","a",3,0.815384615384615
"131","Reserve","South","3","RE3","b",7,0.504347826086956
"132","Reserve","South","5","RE5","d",18,0.385390428211587
"133","Reserve","South","62","RE6","b",6,0.695652173913044
"134","Reserve","South","7","RE7","d",19,0.654708520179372
