"","population","location","number","ID","ramet","block","pair","treatment_initial","treatment_final","control_initial","control_final","CHPL"
"70","Prairie Island","North","28","PI28","B",8,37,522,363,541,496,0.778581596447617
"71","Oil Patch","South","4","OP4","B",8,38,560,319,566,541,0.613812468450278
"72","Prairie Island","North","27","PI27","B",8,38,579,363,553,560,0.614284777333246
"73","Oil Patch","South","8","OP8","B",8,39,579,300,585,547,0.583091979983172
"74","Prairie Island","North","14","PI14","B",8,39,534,313,541,477,0.704441767568728
"75","Cemetary","South","1","CE1","B",8,40,553,224,560,534,0.451491862567812
"76","Prairie Island","North","13","PI13","B",8,40,630,357,611,592,0.597763229678123
"77","Cemetary","South","11","CE11","B",8,41,496,268,515,515,0.540322580645161
"78","Prairie Island","North","5","PI5","B",8,41,611,408,623,604,0.698255366436098
"79","Cemetary","South","5","CE5","B",9,42,623,294,598,496,0.64247867423246
"80","Frontenac","North","8","FR8","B",9,42,611,382,617,553,0.728932297400176
"81","Prairie Island","North","3","PI3","B",9,43,693,452,655,604,0.7300992476565
"82","Cemetary","South","4","CE4","B",9,43,547,332,541,509,0.666096706282293
"83","Prairie Island","North","4","PI4","B",9,44,617,262,566,547,0.458204236846476
"84","Cemetary","South","9","CE9","B",9,44,566,275,585,553,0.54056657908248
"85","Cemetary","South","7b","CE7b","B",9,45,553,262,572,598,0.428324839717245
"86","Prairie Island","North","15","PI15","B",9,45,623,401,617,541,0.766836372339623
"87","Frontenac","North","6","FR6","B",10,47,471,338,484,458,0.771341088943868
"88","Oil Patch","South","7","OP7","B",10,47,566,363,611,528,0.777185636707477
"89","Frontenac","North","2","FR2","B",10,48,566,439,560,458,0.957761231701161
"90","Oil Patch","South","5","OP5","B",10,48,439,243,458,439,0.595015467865634
"91","Frontenac","North","1","FR1","B",10,49,503,300,515,439,0.743994286706943
"92","Oil Patch","South","9","OP9","B",10,49,579,287,560,458,0.677825067850975
"93","Reserve","South","5","RE5","B",10,50,534,268,528,484,0.585205992509363
"94","Frontenac","North","10","FR10","B",10,50,604,313,642,560,0.645937777227621
"95","Oil Patch","South","3","OP3","B",10,51,547,262,547,465,0.628884826325411
"96","Prairie Island","North","10","PI10","B",10,51,598,351,636,579,0.676579163248564
"97","Cemetary","South","3","CE3","B",10,52,446,224,484,477,0.516704962383723
"98","Frontenac","North","11","FR11","B",10,52,541,319,560,496,0.703934512806971
"99","Cemetary","South","8","CE8","C",11,53,465,217,477,471,0.479245283018868
"100","Prairie Island","North","4","PI4","C",11,53,528,363,522,471,0.785201149425287
"101","Cemetary","South","6","CE6","C",11,54,496,268,465,484,0.499462365591398
"102","Prairie Island","North","3","PI3","C",11,54,611,389,668,579,0.769894744063428
"103","Oil Patch","South","4","OP4","C",11,55,553,306,585,522,0.661037696480734
"104","Prairie Island","North","25","PI25","C",11,55,560,382,579,541,0.747773254379472
"105","Cemetary","South","10","CE10","C",11,56,534,243,541,496,0.538235477372323
"106","Prairie Island","North","15","PI15","C",11,56,592,408,598,572,0.732667450058754
"107","Cemetary","South","7a","CE7a","C",11,57,503,236,509,439,0.606709448612842
"108","Prairie Island","North","13","PI13","C",11,57,528,351,522,496,0.714581156391501
"109","Prairie Island","North","12","PI12","C",12,58,528,395,553,465,0.907238067839334
"110","Cemetary","South","9","CE9","C",12,58,509,268,522,496,0.57633102243901
"111","Prairie Island","North","14","PI14","C",12,59,490,294,503,446,0.713320079522863
"112","Cemetary","South","2","CE2","C",12,59,471,224,509,452,0.587568147026558
"113","Prairie Island","North","11","PI11","C",12,60,592,401,579,579,0.677364864864865
"114","Oil Patch","South","5","OP5","C",12,60,477,275,503,477,0.628209776977548
"115","Oil Patch","South","1","OP1","C",12,61,465,351,452,452,0.754838709677419
"116","Prairie Island","North","1","PI1","C",12,61,534,414,592,560,0.829334952930459
"117","Prairie Island","North","10","PI10","C",12,62,579,414,547,547,0.715025906735751
"118","Reserve","South","5","RE5","C",12,62,496,230,484,420,0.595941082378032
"119","Frontenac","North","10","FR10","C",13,63,509,243,534,465,0.606620162910311
"120","Oil Patch","South","6","OP6","C",13,63,496,281,515,433,0.72575555903539
"121","Oil Patch","South","9","OP9","C",13,64,503,186,522,452,0.503880928985474
"122","Frontenac","North","12","FR12","C",13,64,503,319,496,452,0.722904508433271
"123","Prairie Island","North","30","PI30","C",13,65,566,357,553,528,0.675950006070326
"124","Cemetary","South","7b","CE7b","C",13,65,490,236,509,446,0.605404755222325
"125","Prairie Island","North","21","PI21","C",13,66,452,286,477,458,0.672575647947162
"126","Reserve","South","7","RE7","C",13,66,509,262,547,465,0.664643366388553
"127","Prairie Island","North","27","PI27","C",13,67,528,351,541,509,0.723922450008402
"128","Cemetary","South","3","CE3","C",13,67,509,255,541,471,0.630372336755408
"129","Frontenac","North","11","FR11","C",14,68,560,382,566,509,0.782849570923776
"130","Oil Patch","South","7","OP7","C",14,68,509,313,534,465,0.744144720867089
"131","Prairie Island","North","28","PI28","C",14,69,541,332,547,541,0.624647294772022
"132","Oil Patch","South","2","OP2","C",14,69,515,255,496,471,0.545548856874413
"133","Oil Patch","South","8","OP8","C",14,70,547,306,547,471,0.698354661791591
"134","Frontenac","North","2","FR2","C",14,70,357,262,319,325,0.715084779993502
"135","Prairie Island","North","18","PI18","C",14,71,534,395,572,566,0.750189885021346
"136","Cemetary","South","11","CE11","C",14,71,465,205,433,471,0.353100399811269
"137","Prairie Island","North","19","PI19","C",15,73,496,351,515,471,0.793098183526464
"138","Reserve","South","3","RE3","C",15,73,363,230,408,395,0.665471560525036
"139","Prairie Island","North","9","PI9","C",15,74,572,427,553,509,0.826069500120133
"140","Cemetary","South","1","CE1","C",15,74,420,192,452,458,0.443868520859671
"141","Cemetary","South","4","CE4","C",15,75,496,243,509,522,0.464379079789594
"142","Frontenac","North","1","FR1","C",15,75,446,198,484,408,0.600970981729237
"143","Prairie Island","North","5","PI5","C",15,76,509,357,503,471,0.764993535838017
"144","Reserve","South","8","RE8","C",15,76,484,198,458,433,0.463676061929337
"145","Prairie Island","North","2","PI2","C",15,77,534,325,553,458,0.780404467291112
"146","Reserve","South","6","RE6","C",15,77,534,268,528,452,0.645812053115424
"147","Frontenac","North","6","FR6","C",15,78,490,344,528,420,0.906586270871985
"148","Oil Patch","South","3","OP3","C",15,78,503,255,541,458,0.660377843842674
"149","Prairie Island","North","30","PI30","D",16,79,534,357,547,528,0.703274243575786
"150","Cemetary","South","2","CE2","D",16,79,503,230,496,484,0.481450009619701
"151","Cemetary","South","6","CE6","D",16,80,452,198,484,439,0.531028303956703
"152","Prairie Island","North","25","PI25","D",16,80,541,382,566,522,0.783838331058177
"153","Prairie Island","North","28","PI28","D",16,82,560,382,547,458,0.844848524418908
"154","Oil Patch","South","3","OP3","D",16,82,490,294,515,450,0.72621359223301
"155","Cemetary","South","8","CE8","D",16,83,509,173,503,382,0.580438781847227
"156","Frontenac","North","2","FR2","D",16,83,477,332,439,408,0.766631805657035
"157","Prairie Island","North","4","PI4","D",17,88,547,313,541,433,0.77184238004643
"158","Reserve","South","3","RE3","D",17,88,439,186,452,357,0.633867196161832
"159","Prairie Island","North","21","PI21","D",17,87,503,325,528,452,0.79006265437677
"160","Cemetary","South","11","CE11","D",17,87,490,135,515,414,0.471626708936002
"161","Reserve","South","8","RE8","D",17,86,484,167,477,382,0.54420274789057
