"","ID","AST_tolerance","chlp_tolerance","location","population"
"1","CE1",1.01680259737852,0.723231622746186,"South","Cemetary"
"2","CE10",0.993863889095224,0.702477402736536,"South","Cemetary"
"3","CE11",0.822798255707445,0.537365226057806,"South","Cemetary"
"4","CE2",1.02994752904794,0.73491523907501,"South","Cemetary"
"5","CE3",1.08987389973575,0.786003861003861,"South","Cemetary"
"6","CE4",0.847714902627088,0.562155531600699,"South","Cemetary"
"7","CE7a",0.947132443977559,0.658928571428572,"South","Cemetary"
"8","CE7b",1.08463452805337,0.781690652231318,"South","Cemetary"
"9","CE8",0.942144777269921,0.654191743233973,"South","Cemetary"
"10","CE9",0.994085930910739,0.702681340790151,"South","Cemetary"
"11","FR1 ",1.01685041929207,0.723274412867673,"North","Frontenac"
"12","FR12",0.99130806015195,0.700138818778395,"North","Frontenac"
"13","FR2",1.02169213740364,0.727596049293222,"North","Frontenac"
"14","OP1",1.10715098785619,0.800001816046588,"South","Oil Patch"
"15","OP3",1.00790289373996,0.715233209798427,"South","Oil Patch"
"16","OP4",0.80459126971078,0.51918839314934,"South","Oil Patch"
"17","OP5",0.974849587143772,0.684950679818715,"South","Oil Patch"
"18","OP6",0.92848013251895,0.641137123745819,"South","Oil Patch"
"19","OP7",0.910384028695511,0.62368828428955,"South","Oil Patch"
"20","OP8",0.990680483947371,0.699563554262383,"South","Oil Patch"
"21","OP9",0.851175445861055,0.565587716350193,"South","Oil Patch"
"22","PI1 ",1.28405344779495,0.920007418741596,"North","Prairie Island"
"23","PI10",1.09500527196164,0.790197724735429,"North","Prairie Island"
"24","PI11",0.978272907673658,0.688126828008082,"North","Prairie Island"
"25","PI12",1.00334442351517,0.710999669221286,"North","Prairie Island"
"26","PI13",0.916611920670832,0.629712858926342,"North","Prairie Island"
"27","PI14",1.09528458531935,0.790425134023189,"North","Prairie Island"
"28","PI15",1.2033698857328,0.870964700365942,"North","Prairie Island"
"29","PI18",1.11782611544583,0.808472867418678,"North","Prairie Island"
"30","PI19",1.06150822022934,0.761356993661898,"North","Prairie Island"
"31","PI2",1.04309778110215,0.746441130722932,"North","Prairie Island"
"32","PI21",1.1291332876887,0.817292043399638,"North","Prairie Island"
"33","PI25",1.15602533585683,0.837606837606838,"North","Prairie Island"
"34","PI27",1.15795469630604,0.839027459718182,"North","Prairie Island"
"35","PI28",1.06921614195988,0.76882012633308,"North","Prairie Island"
"36","PI3",1.12777313990615,0.816239675296977,"North","Prairie Island"
"37","PI30",1.17585570579112,0.851964835408636,"North","Prairie Island"
"38","PI4",1.04562726446885,0.748638861138861,"North","Prairie Island"
"39","PI5",1.04161326731102,0.745148376882025,"North","Prairie Island"
"40","PI9",1.23084686507421,0.888818135506877,"North","Prairie Island"
"41","PL2",0.831084276769645,0.545411268434433,"South","Parking Lot"
"42","PL4",0.810909109631813,0.525499879183279,"South","Parking Lot"
"43","PL5",0.844907713430835,0.559369151964523,"South","Parking Lot"
"44","RE3",0.989543402902062,0.698520454495116,"South","Reserve"
