"","population","location","number","ID","ramet","block","CPS"
"108","Prairie Island","North","18","PI18","e",21,0.795876288659794
"109","Prairie Island","North","19","PI19","a",4,0.343010752688172
"110","Prairie Island","North","19","PI19","b",6,0.0664150943396226
"111","Prairie Island","North","19","PI19","d",17,0.276646706586826
"112","Prairie Island","North","2","PI2","a",5,0.411046511627907
"113","Prairie Island","North","2","PI2","c",15,0.471875
"114","Prairie Island","North","2","PI2","d",20,0.461904761904762
"115","Prairie Island","North","21","PI21","a",2,0.237345679012346
"116","Prairie Island","North","21","PI21","c",13,0.514084507042254
"117","Prairie Island","North","21","PI21","d",17,0.282971014492754
"118","Prairie Island","North","25","PI25","a",3,0.55956678700361
"119","Prairie Island","North","25","PI25","c",11,0.2375
"120","Prairie Island","North","25","PI25","d",16,0.669527896995708
"121","Prairie Island","North","27","PI27","c",13,0.225848563968668
"122","Prairie Island","North","27","PI27","d",19,0.824104234527687
"123","Prairie Island","North","28","PI28","a",1,0.883544303797468
"124","Prairie Island","North","28","PI28","b",8,0.685840707964602
"125","Prairie Island","North","28","PI28","c",14,0.231292517006803
"126","Prairie Island","North","28","PI28","d",16,0.331451612903226
"127","Prairie Island","North","3","PI3","a",4,0.352941176470588
"128","Prairie Island","North","3","PI3","b",9,0.0406703910614525
"129","Prairie Island","North","3","PI3","c",11,0.394117647058824
"130","Prairie Island","North","3","PI3","d",18,0.0406703910614525
"131","Prairie Island","North","30","PI30","a",3,0.578680203045685
"132","Prairie Island","North","30","PI30","b",7,0.261607142857143
"133","Prairie Island","North","30","PI30","d",16,0.379603399433428
"134","Prairie Island","North","4","PI4","a",1,0.698895027624309
"135","Prairie Island","North","4","PI4","c",11,0.890756302521008
"136","Prairie Island","North","4","PI4","d",17,0.137694704049844
"137","Prairie Island","North","5","PI5","a",4,0.236330935251799
"138","Prairie Island","North","5","PI5","b",8,0.397923875432526
"139","Prairie Island","North","5","PI5","c",15,0.448863636363636
"140","Prairie Island","North","5","PI5","d",19,0.66
"141","Prairie Island","North","9","PI9","c",15,0.797297297297297
"142","Reserve","South","3","RE3","a",3,0.891213389121339
"143","Reserve","South","3","RE3","c",15,0.825471698113208
"144","Reserve","South","5","RE5","a",5,0.734104046242774
"145","Reserve","South","5","RE5","c",12,0.682808716707022
"146","Reserve","South","5","RE5","d",18,0.466312056737589
"147","Reserve","South","7","RE7","d",19,0.973837209302326
