,ID,location,population,number,block,HCMS,CCMS,HCHPL,CCHPL,CPS_dif,HPS_dif
80,FR11,North,Frontenac,11,10,NA,0.543857579,0.52416878,0.703934513,-16.2,NA
81,FR11,North,Frontenac,11,14,0.640742173,0.456766831,0.298102036,0.782849571,-6.2,-9.01
82,FR11,North,Frontenac,11,19,0.559279056,0.77809167,0.429118774,0.788519867,NA,NA
83,FR11,North,Frontenac,11,5,0.225174528,0.467638091,0.579278142,0.61212713,NA,NA
85,FR12,North,Frontenac,12,13,0.729333898,0.445212777,0.528795504,0.722904508,NA,NA
86,FR12,North,Frontenac,12,19,0.654880868,0.754033946,0.536214741,0.754168062,NA,NA
87,FR12,North,Frontenac,12,2,0.671459487,0.494859172,0.315730337,0.700138819,-4.5,-21.3
89,FR2,North,Frontenac,2,10,0.869979086,0.523871269,0.463389702,0.957761232,-3.8,NA
90,FR2,North,Frontenac,2,14,0.850026589,0.469259558,0.83124255,0.71508478,NA,NA
91,FR2,North,Frontenac,2,16,0.869122074,0.490877912,0.637691571,0.766631806,-11.66,NA
92,FR2,North,Frontenac,2,2,0.790364557,0.545622539,0.326666667,0.727596049,-7.4,-13.73
96,FR6,North,Frontenac,6,10,0.779289394,0.620542565,0.354379109,0.771341089,-5.1,-15.4
97,FR6,North,Frontenac,6,15,0.892920533,0.485240847,0.519655525,0.906586271,NA,NA
98,FR6,North,Frontenac,6,5,0.62335598,0.544635752,0.46241829,0.710144928,NA,NA
100,FR8,North,Frontenac,8,18,0.507768369,0.494736341,0.310766601,0.759413528,NA,NA
101,FR8,North,Frontenac,8,5,0.560827146,0.479571406,0.498659589,0.552776376,NA,NA
102,FR8,North,Frontenac,8,9,0.417722018,0.469237635,0.328644162,0.728932297,-10.42,-4.6
104,OP1,South,Oil Patch,1,1,0.849403782,0.664627715,0.345257339,0.800001816,3.27,4.77
105,OP1,South,Oil Patch,1,12,0.666397653,0.527829383,0.378844238,0.75483871,NA,NA
106,OP1,South,Oil Patch,1,20,0.838740052,0.433638645,0.421654226,0.662221428,NA,NA
107,OP1,South,Oil Patch,1,7,0.874445237,0.513981835,0.458317746,0.663468893,-11.2,-3.2
110,OP2,South,Oil Patch,2,14,0.796336381,0.493730633,0.358047016,0.545548857,25.34,-17.9
111,OP2,South,Oil Patch,2,20,0.726569444,0.443510804,0.53063401,0.768949896,NA,NA
112,OP2,South,Oil Patch,2,5,0.287429049,0.536047312,0.337844818,0.571534693,NA,NA
113,OP2,South,Oil Patch,2,7,0.719497815,0.476893959,0.471335825,0.78119349,7.6,-15.9
115,OP3,South,Oil Patch,3,10,0.421768938,0.489536391,0.578853586,0.628884826,-8.7,NA
116,OP3,South,Oil Patch,3,15,0.689387673,0.557351486,0.39090253,0.660377844,-19.13,-7.98
117,OP3,South,Oil Patch,3,16,0.830828445,0.432511595,0.555982322,0.726213592,-12.8,5.5
118,OP3,South,Oil Patch,3,2,0.297615351,0.630350892,0.435984848,0.71523321,5.7,-4.05
