Plant,median10C,medianRT,mean10C,meanRT,pollen10C,pollenRT
Oil Patch 3,0.031791,0.217446,0.039453,0.251764,0.107768,0.168683
Parking Lot 5,0.036958,0.335324,0.039929,0.414936,0.034364,0.62931
Prairie Island 4,0.033244,0.116876,0.036356,0.168907,0.104121,0.236422
Prairie Island 11,0.027775,0.141007,0.033938,0.196897,0.119658,0.27907
