 ,Area,Mean,Min,Max,Length,Length (mm),,,
17,937,158.489,81.452,181.01,937.176,1.373181828,,Conversion,682.485
7,828,180.719,76.398,207.478,827.88,1.213037649,,,
21,755,162.874,57.244,190.002,754.813,1.105977421,,,
20,745,136.588,85.829,162.609,744.262,1.09051774,,,
6,739,140.504,63.257,173.484,738.947,1.082730023,,Column1,
8,738,148.576,57.806,190.569,737.711,1.080918995,,,
36,737,140.701,68.263,172.65,736.191,1.078691839,,Mean,1.047881052
13,719,152.164,54,173.561,718.82,1.053239265,,Standard Error,0.022199655
16,701,159.9,102.241,187.728,700.66,1.026630622,,Median,1.008346704
4,689,134.697,82.09,161.184,688.792,1.009241229,,Mode,#N/A
9,688,153.155,72.922,187.382,687.571,1.007452178,,Standard Deviation,0.099279877
24,684,142.839,45.416,186.515,683.98,1.002190524,,Sample Variance,0.009856494
12,681,152.196,100.333,172.474,680.961,0.997766984,,Kurtosis,5.550327741
39,679,170.426,52.9,201.08,678.552,0.994237236,,Skewness,2.150186878
23,676,148.418,75.229,178.224,675.177,0.989292072,,Range,0.422629069
40,672,163.367,93.9,190.731,672.571,0.985473673,,Minimum,0.950552759
11,671,158.959,99.333,179.19,670.771,0.982836253,,Maximum,1.373181828
5,671,138.024,37.724,172.735,670.335,0.982197411,,Sum,20.95762105
25,650,154.751,73.705,178.48,649.354,0.951455343,,Count,20
27,649,141.722,83.3,180.362,648.738,0.950552759,,,0
26,640,160.444,61.851,192.572,639.911,0.937619142,,,
10,631,154.212,61.813,183.246,631.056,0.924644498,,,
15,627,161.42,59.719,202.83,628.27,0.920562357,,,
19,627,146.646,106.056,166.998,627.062,0.918792354,,,
33,627,161.637,81.276,192.015,626.896,0.918549126,,,
30,621,160.227,76.94,196.593,620.648,0.909394346,,,
28,611,135.623,77.333,168.042,610.481,0.894497315,,,
32,605,158.436,76.573,187.661,605.253,0.886837073,,,
37,605,151.862,88.649,171.111,604.256,0.885376235,,,
31,604,151.63,90,179.28,603.231,0.883874371,,,
29,594,176.348,84,203.294,593.132,0.869076976,,,
22,588,138.845,61.653,173.218,587.642,0.861032843,,,
2,575,147.136,47.494,166.779,574.716,0.842093233,,,
1,562,150.266,117.385,170.295,561.316,0.822459102,,,
3,558,144.345,82.56,166.932,557.093,0.81627142,,,
18,551,153.907,78,200.02,550.762,0.806995026,,,
34,548,148.079,77.245,176.232,547.428,0.802109936,,,
14,547,151.108,81.341,182.543,546.832,0.801236657,,,
38,544,137.584,71.338,175.198,543.274,0.796023356,,,
35,537,148.604,68.187,169.748,536.809,0.78655062,,,
