Plate,Window,tube,Area,Mean,Min,Max,Length,Length (micrometers),,
PrairieIsland25RT,16,9,236,169.465,98.409,199.556,235.854,368.521875,,
PrairieIsland25RT,16,10,263,179.449,114.333,190.028,262.101,409.5328125,,
PrairieIsland25RT,16,11,52,138.481,89.667,187,51,79.6875,,
PrairieIsland25RT,16,12,0,0,0,0,0,0,,
PrairieIsland25RT,16,13,0,0,0,0,0,0,,
PrairieIsland25RT,16,14,0,0,0,0,0,0,,
PrairieIsland25RT,16,15,0,0,0,0,0,0,,
PrairieIsland25RT,16,16,0,0,0,0,0,0,,
PrairieIsland25RT,16,1,248,176.823,127.377,197.168,247.401,386.5640625,,
PrairieIsland25RT,16,2,57,149.222,113.579,190.713,56.045,87.5703125,,
PrairieIsland25RT,16,3,342,155.075,99.924,174.791,341.212,533.14375,,
PrairieIsland25RT,16,4,43,121.458,93.336,141.261,42.107,65.7921875,,
PrairieIsland25RT,16,5,92,143.225,112.448,159.515,91.603,143.1296875,,
PrairieIsland25RT,16,6,252,157.072,117.191,170.982,251.434,392.865625,,
PrairieIsland25RT,16,7,0,0,0,0,0,0,,
PrairieIsland25RT,16,8,0,0,0,0,0,0,,
PrairieIsland25RT,16,9,0,0,0,0,0,0,,
PrairieIsland25RT,16,10,0,0,0,0,0,0,,
PrairieIsland25RT,16,11,0,0,0,0,0,0,,
PrairieIsland25RT,16,12,0,0,0,0,0,0,,
PrairieIsland25RT,16,13,0,0,0,0,0,0,,
PrairieIsland25RT,16,14,0,0,0,0,0,0,,
PrairieIsland25RT,16,15,0,0,0,0,0,0,,
PrairieIsland25RT,16,16,0,0,0,0,0,0,,
PrairieIsland25RT,16,17,0,0,0,0,0,0,,
PrairieIsland25RT,16,18,0,0,0,0,0,0,,
PrairieIsland25RT,16,19,0,0,0,0,0,0,,
PrairieIsland25RT,16,20,0,0,0,0,0,0,,
PrairieIsland25RT,16,21,0,0,0,0,0,0,,
PrairieIsland25RT,16,22,0,0,0,0,0,0,,
PrairieIsland25RT,16,23,0,0,0,0,0,0,,
PrairieIsland25RT,16,24,0,0,0,0,0,0,,
PrairieIsland25RT,16,25,0,0,0,0,0,0,,
PrairieIsland25RT,16,26,0,0,0,0,0,0,,
PrairieIsland25RT,16,27,0,0,0,0,0,0,,
PrairieIsland25RT,16,28,0,0,0,0,0,0,,
