 ,Area,Mean,Min,Max,Length,Length (mm),,,
5,253,142.209,72.817,169.163,253.016,0.374214274,,Conversion,676.126
26,245,155.827,64.094,173.855,244.724,0.361950287,,,
25,223,160.223,46.779,187.723,222.321,0.328815931,,,
35,217,156.357,70.011,176.901,216.788,0.320632545,,,
28,217,135.498,94.62,183.684,216.179,0.319731825,,Column1,
1,208,147.622,28.062,187.176,208.022,0.307667506,,,
31,206,169.784,78.756,199.033,205.457,0.303873834,,Mean,0.283204684
23,203,158.399,89.598,187.217,202.615,0.299670476,,Standard Error,0.009663622
29,197,179.518,122.655,209.672,196.255,0.290263945,,Median,0.274694362
34,190,151.662,55.667,171.179,189.363,0.280070579,,Mode,#N/A
2,182,138.734,39.168,180.471,182.093,0.269318145,,Standard Deviation,0.043217032
27,181,162.849,78.667,204.557,180.35,0.266740223,,Sample Variance,0.001867712
32,177,148.732,78.667,193.871,176.402,0.260901075,,Kurtosis,-0.442178934
6,175,143.475,36.235,162.046,174.137,0.257551107,,Skewness,0.564845278
33,169,146.424,36.657,185.279,168.258,0.248855982,,Range,0.148015311
21,166,133.773,45.949,176.493,165.685,0.245050479,,Minimum,0.226198963
7,165,136.72,63.302,165.023,164.407,0.243160299,,Maximum,0.374214274
30,156,129.386,50.103,161.365,155.444,0.229903894,,Sum,5.664093675
22,156,154.526,75.925,192.331,155.186,0.229522308,,Count,20
39,153,162.445,65.667,181.859,152.939,0.226198963,,,0
36,153,116.952,74.912,137.658,152.538,0.225605878,,,
8,150,166.87,70.578,194.801,149.484,0.221088969,,,
40,150,155.663,65.667,187.813,149.192,0.220657096,,,
17,149,149.911,57.213,169.035,148.489,0.219617349,,,
24,148,144.86,76.159,182.489,147.919,0.218774311,,,
20,146,159.014,70.446,196.19,145.328,0.214942185,,,
37,145,130.726,48.509,168.752,144.712,0.214031113,,,
38,131,156.297,110.069,169.634,130.198,0.192564699,,,
9,131,187.903,83.333,205.88,130.095,0.192412361,,,
3,122,144.461,41.608,170.831,121.025,0.178997702,,,
12,120,103.607,54.098,183,120.148,0.177700606,,,
4,118,150.422,73.537,165.187,117.097,0.173188134,,,
10,113,139.12,47.979,170.091,112.488,0.166371357,,,
11,111,132.878,68.125,182.838,110.138,0.162895673,,,
19,101,128.49,78.049,167.14,100.319,0.148373232,,,
16,100,107.851,50.523,154.93,100.228,0.148238642,,,
13,95,137.645,54.038,157.536,94.175,0.139286169,,,
18,91,137.111,88.808,159.33,90.203,0.133411524,,,
14,86,123.655,40.762,153.655,85.478,0.126423181,,,
15,83,124.765,63.613,148.181,82.684,0.122290816,,,
