,area,mean,min,max,length,mm,,,,,,,,
33,1106,191.951,128.333,209.619,1105.481,1.637490057,,,,,,,,
11,823,174.174,118.929,195.816,822.551,1.218400935,,,,,,,,
15,822,165.778,64.582,189.267,822.177,1.217846949,,,,,,,,
7,817,154.881,101.389,173.234,816.485,1.209415693,,,,,,,,
23,806,172.921,50.694,207.217,805.993,1.193874452,,,,,,,Column1,
3,792,162.955,41.141,201.32,792.194,1.17343473,,,,,,,,
4,783,158.358,100.078,172.966,782.61,1.159238461,,,,,,,Mean,1.148310194
1,780,155.688,113.333,173.459,779.494,1.154622897,,,,,,,Standard Error,0.029393342
24,777,159.756,76.437,255,776.599,1.150334688,,Picture,No Tubes,Tubes,,,Median,1.136833124
35,772,157.129,83.014,181.558,771.371,1.14259073,,A,131,144,,,Mode,#N/A
22,764,167.411,114.961,196.013,763.597,1.131075518,,,,,,,Standard Deviation,0.131451021
27,749,150.385,44.918,255,748.776,1.109121961,,,,,,,Sample Variance,0.017279371
16,749,176.838,133.997,255,748.289,1.108400594,,,,,,,Kurtosis,10.53362406
37,729,159.325,120.143,176.165,728.504,1.079094129,,,,,,,Skewness,2.845700334
2,725,146.367,116.299,165.464,725.006,1.073912728,,,,,,,Range,0.624465455
12,721,179.741,118.869,255,720.431,1.067136024,,Length Conversion,675.107,,,,Minimum,1.013024602
9,714,158.105,64,182.36,713.368,1.056673979,,,,,,,Maximum,1.637490057
30,702,169.719,74.921,205.399,701.24,1.038709419,,Mean Length,1.017576103,,,,Sum,22.96620388
21,697,173.773,69.618,201.289,696.579,1.031805329,,Median Length,1.012902399,,,,Count,20
5,684,167.819,103.981,189.101,683.9,1.013024602,,Standard Deviation,0.174349636,,,,,0
32,684,157.958,57.955,181.906,683.735,1.012780196,,Maximum,1.637490057,,,,,
26,675,155.63,110.073,174.979,675.083,0.99996445,,,,,,,,
34,675,178.925,87.74,255,674.419,0.998980902,,,,,,,,
36,668,162.148,107.15,255,667.926,0.989363168,,,,,,,,
6,646,150.86,79.54,174.748,645.884,0.956713528,,,,,,,,
29,642,146.435,59.007,180.19,641.216,0.949799069,,,,,,,,
8,641,151.329,82.345,255,640.332,0.948489647,,,,,,,,
38,635,153.469,117.582,174.73,634.447,0.93977251,,,,,,,,
10,625,159.045,117,170.881,624.682,0.925308136,,,,,,,,
25,614,166.283,118.259,183.118,614.183,0.909756527,,,,,,,,
39,611,172.237,106.879,196.687,610.612,0.904466996,,,,,,,,
40,606,175.733,92,255,605.397,0.896742294,,,,,,,,
31,589,161.425,50.223,182.633,589.048,0.872525392,,,,,,,,
20,588,165.122,72.914,182.848,587.597,0.870376103,,,,,,,,
17,549,170.372,122.771,186.451,548.735,0.812811895,,,,,,,,
18,536,174.257,118.368,187.957,535.549,0.793280176,,,,,,,,
13,521,172.782,60.592,194.966,520.582,0.771110357,,,,,,,,
28,499,162.484,84.572,255,498.685,0.738675499,,,,,,,,
14,495,166.73,123.137,184.869,494.391,0.732315026,,,,,,,,
19,482,172.836,95.132,255,481.762,0.713608361,,,,,,,,
