 ,Area,Mean,Min,Max,Length,Length (mm),,,,,
7,1376,165.257,114.488,183.043,1377.795,2.040724283,,,,,
30,1182,176.561,155.89,203.534,1182.251,1.751093831,,,,,
40,1171,185.218,127.852,204.049,1170.405,1.7335481,,,,,
31,1099,182.837,138.554,202.979,1098.21,1.626616307,,,,,
39,1060,184.58,135.123,215.559,1059.677,1.569543065,,,,,
35,974,191.707,147.592,221.01,973.92,1.442523884,,Picture,No Tubes,Tubes,Total
3,953,188.387,145.833,205.313,952.637,1.411000518,,A,18,238,256
13,919,164.295,112.451,183.675,918.769,1.360836851,,,,,
11,907,176.763,137,196.249,906.848,1.343180034,,Length Conversion,675.15,,
1,880,182.897,144.587,206.259,879.827,1.303157817,,,,,
29,877,177.862,147.622,202.065,876.919,1.298850626,,,,,
9,867,186.902,123.523,215.097,866.576,1.283531067,,,,,
12,848,175.402,128.053,199.941,847.488,1.255258831,,Column1,,,
32,818,172.612,116.333,191.948,817.917,1.211459676,,,,,
36,812,185.174,130.274,204.896,811.084,1.201338962,,Mean,1.388128712,,
22,810,174.105,105.161,201.824,809.765,1.199385322,,Standard Error,0.053513401,,
10,808,170.082,118.788,188.763,808.064,1.196865882,,Median,1.301004222,,
38,808,174.694,141.479,189.495,807.791,1.196461527,,Mode,#N/A,,
37,791,181.125,146.457,203.934,790.445,1.170769459,,Standard Deviation,0.239319206,,
14,788,161.667,116.115,190.371,787.514,1.166428201,,Sample Variance,0.057273682,,
4,769,173.029,125.333,193.808,770.147,1.140705029,,Kurtosis,1.496023375,,
26,756,166.816,139.124,187.251,755.319,1.118742502,,Skewness,1.39848206,,
33,755,168.455,120.667,187.17,754.86,1.118062653,,Range,0.874296082,,
6,749,165.411,118.733,181.812,748.343,1.108409983,,Minimum,1.166428201,,
15,735,169.296,110.112,202.559,734.327,1.087650152,,Maximum,2.040724283,,
17,730,186.152,135.029,221.4,729.785,1.080922758,,Sum,27.76257424,,
24,708,164.398,129.667,190.762,707.234,1.047521292,,Count,20,,
2,707,172.096,127.466,189.665,706.282,1.046111235,,,0,,
23,638,169.024,124.204,198.604,637.736,0.944584166,,,,,
8,638,178.828,142.075,195.05,637.368,0.944039102,,,,,
34,604,176.102,144.366,201.725,604.141,0.894824854,,,,,
28,577,200.716,182.089,212.783,576.587,0.854013182,,,,,
5,567,174.33,54.511,196.666,566.561,0.839163149,,,,,
27,551,200.522,149.562,216.596,550.952,0.816043842,,,,,
20,543,166.185,129.963,189.279,543.141,0.804474561,,,,,
18,527,191.019,154.533,222.077,526.716,0.780146634,,,,,
25,520,169.199,111.667,189.205,519.407,0.769320892,,,,,
21,511,179.594,147.432,196.41,510.412,0.755997926,,,,,
16,496,166.122,126.116,188.643,495.407,0.733773236,,,,,
19,402,192.814,131.185,216.067,401.479,0.594651559,,,,,
