 ,Area,Mean,Min,Max,Length,Length (mm),,,
25,255,158.161,97.397,189.819,255.348,0.3773402,,Conversion,676.705
28,212,187.267,138,204.778,211.949,0.31320738,,,
13,208,155.235,122.667,184.575,207.556,0.306715629,,,
36,187,167.564,146.827,188.871,187.032,0.276386313,,,
11,185,186.142,161.219,219.484,185.928,0.274754878,,,
20,173,188.839,112.253,213.823,172.971,0.255607687,,Column1,
37,160,170.969,143.417,192.101,162.904,0.24073119,,,
6,154,160.631,121.093,182.767,153.521,0.226865473,,Mean,0.231849107
40,147,176.308,154.329,195.591,146.959,0.217168486,,Standard Error,0.011826253
1,138,156.032,102.159,181.696,138.2,0.204224884,,Median,0.203950761
31,138,179.557,111.667,199.354,137.829,0.203676639,,Mode,#N/A
24,136,173.605,141.884,205.122,136.837,0.202210712,,Standard Deviation,0.052888611
29,134,167.897,121.326,194.877,134.002,0.198021294,,Sample Variance,0.002797205
17,132,192.721,101,224.535,131.597,0.194467309,,Kurtosis,1.569343452
2,129,148.386,107.182,183.239,130.776,0.193254077,,Skewness,1.4394371
23,131,158.293,120.03,185.359,130.774,0.193251121,,Range,0.189704524
27,130,157.179,110.945,186.181,129.919,0.191987646,,Minimum,0.187635676
32,129,178.664,135.57,214.525,128.528,0.189932097,,Maximum,0.3773402
26,129,161.02,117.333,195.296,128.265,0.18954345,,Sum,4.636982141
9,127,165.204,126.814,195.771,126.974,0.187635676,,Count,20
10,127,155.719,104.838,196.351,126.324,0.186675139,,,0
19,124,159.737,110.518,187.03,124.391,0.183818651,,,
33,122,166.861,131.261,191.095,121.482,0.179519879,,,
38,120,166.996,124.879,201.865,119.53,0.176635314,,,
22,119,154.557,110.83,195.302,118.684,0.175385138,,,
18,117,147.719,114.448,194.618,117.067,0.172995618,,,
39,114,191.654,152,219.227,114.292,0.168894866,,,
5,111,135.922,100.886,165.26,110.745,0.163653291,,,
7,111,158.663,122.333,177.92,110.714,0.16360748,,,
21,110,190.857,132.087,215.202,109.511,0.161829749,,,
34,108,171.85,97.626,199.651,107.696,0.159147634,,,
4,107,150.326,115.446,170.696,106.627,0.157567921,,,
8,104,174.688,109.333,199.023,103.72,0.153272105,,,
30,102,160.224,122.875,198.932,102.163,0.15097125,,,
14,102,142.858,109.492,164.864,102.109,0.150891452,,,
3,100,146.542,112,171.423,99.555,0.147117282,,,
35,100,184.094,154.791,202.97,99.495,0.147028617,,,
16,98,166.264,138.671,185.89,97.624,0.144263749,,,
12,96,184.703,141.232,203.071,95.14,0.140593021,,,
15,92,136.416,104,178.074,91.509,0.135227315,,,
