 ,Area,Mean,Min,Max,Length,,Total pollen grains,,1 mm = 657.247
1,21,149.368,133.057,182.333,20.248,,215,,
2,24,140.646,122.841,157.232,23.022,,,,
3,19,152.49,135.556,169,17.692,,,,
4,22,130.066,115.667,149.333,21.095,,,,
