 ,Area,Mean,Min,Max,Length,mm,nm,,1 mm = ,667.167,,total pollen grains,
94,286,127.422,51.946,147.652,284.965,0.427,427.127,,,,,,
95,457,154.888,17.205,255,455.917,0.683,683.363,,,,,,
96,66,94.069,18.267,225.169,64.512,0.097,96.695,,,,,,
97,19,88.245,47.25,129.889,18.173,0.027,27.239,,,,,,
98,16,79.912,45.74,103.944,14.705,0.022,22.041,,,,,,
99,80,93.654,29.246,137.468,78.682,0.118,117.934,,,,,,
100,123,115.93,57.781,152.742,122.228,0.183,183.205,,,,,,
101,162,121.975,48.595,157.118,160.911,0.241,241.185,,,,,,
102,30,77.957,47.781,93.331,29.232,0.044,43.815,,,,,,
103,120,122.477,41.25,154.15,118.704,0.178,177.922,,,,,,
104,160,122.912,58.724,153.267,159.464,0.239,239.017,,,,,,
105,145,95.394,25.652,133.802,143.611,0.215,215.255,,,,,,
106,331,112.635,31.042,255,329.811,0.494,494.345,,,,,,
107,176,134.031,48.041,151.476,175.254,0.263,262.684,,,,,,
108,219,117.589,39.251,140.081,217.71,0.326,326.320,,,,,,
109,581,154.37,57.046,176.517,580.445,0.870,870.015,,,,,,
110,175,143.841,57.479,255,173.62,0.260,260.235,,,,,,
111,362,114.959,42.667,161.844,360.666,0.541,540.593,,,,,,
112,87,98.227,34.167,134.554,86.022,0.129,128.936,,,,,,
113,283,152.459,47.536,178.576,281.868,0.422,422.485,,,,,,
114,60,116.791,55.401,163.688,59.365,0.089,88.981,,,,,,
115,66,144.057,68.065,162.322,65.143,0.098,97.641,,,,,,
116,71,123.061,80.684,158.708,70.39,0.106,105.506,,,,,,
117,42,114.123,76.714,145.631,41.175,0.062,61.716,,,,,,
118,40,99.19,55.256,125.73,38.744,0.058,58.072,,,,,,
119,162,144.583,66.5,179.75,160.741,0.241,240.931,,,,,,
120,82,140.077,59.833,182.336,81.466,0.122,122.107,,,,,,
121,22,96.667,66.609,135.417,20.797,0.031,31.172,,,,,,
122,100,143.798,64.848,186.944,98.981,0.148,148.360,,,,,,
123,98,126.137,58.127,168.18,96.755,0.145,145.024,,,,,,
124,201,125.443,56.576,162.87,199.884,0.300,299.601,,,,,,
125,66,105.67,68.335,125.022,65.172,0.098,97.685,,,,,,
126,26,99.112,56.133,150.5,25.125,0.038,37.659,,,,,,
127,21,104.822,65.322,149.5,20.112,0.030,30.145,,,,,,
128,19,104.831,59.333,163,18.062,0.027,27.073,,,,,,
129,33,100.401,61.333,133.457,31.912,0.048,47.832,,,,,,
130,17,76.564,49.25,123.5,15.977,0.024,23.948,,,,,,
131,41,105.008,72.333,132.499,40.003,0.060,59.960,,,,,,
132,213,169.17,55,191.682,211.9,0.318,317.612,,,,,,
133,243,155.374,91.667,255,241.862,0.363,362.521,,,,,,
134,67,147.471,79.167,172.596,66.44,0.100,99.585,,,,,,
135,98,100.195,36.5,134.028,96.59,0.145,144.776,,,,,,
136,268,112.848,22.333,145.289,267.086,0.400,400.329,,,,,,
137,19,79.924,53.327,102.667,17.923,0.027,26.864,,,,,,
138,19,94.054,57.162,215.362,17.614,0.026,26.401,,,,,,
139,296,156.875,63.276,181.75,294.953,0.442,442.098,,,,,,
140,435,149.048,42.213,175.317,433.903,0.650,650.366,,,,,,
141,160,100.315,38.496,151.044,158.715,0.238,237.894,,,,,,
