 ,Area,Mean,Min,Max,Length,,total pollen grains,,1 mm = 657.247
1,17,158.417,148.406,169.667,16.401,,181,,
2,33,118.476,93.754,153.333,31.974,,,,
3,17,133.135,121.833,141.021,16.279,,,,
4,19,130.089,112.667,137.833,18.358,,,,
5,22,167.334,146.333,187.381,21.378,,,,
6,20,163.169,137.129,184.667,19.313,,,,
