,North,South,Placement
1,1,17,right
2,6,13,right
3,7,16,left
4,4,2,left
5,18,1,right
6,12,10,right
7,49,15,left
8,15,8,left
9,59,3,right
10,48,9,left
11,9,24,left
12,11,23,left
13,17,7,right
14,19,20,right
15,16,25,left
16,5,4,left
17,14,22,right
18,8,12,right
19,10,19,left
20,3,21,left
21,13,11,left
