 ,Area,Mean,Min,Max,Length,Length (mm),,,
4,1166,165.808,109.311,193.118,1165.973,1.744332658,,Conversion,668.435
39,1065,147.128,57.532,180.988,1064.284,1.592202682,,,
22,973,144.34,57.886,168.587,973.003,1.455643406,,,
3,969,185.183,89.575,217.359,968.893,1.449494715,,Column1,
16,939,159.882,84,186.507,938.608,1.404187393,,,
33,930,149.359,56.627,170.066,929.406,1.390420909,,Mean,1.297727079
38,921,141.812,60.667,172.85,920.738,1.377453305,,Standard Error,0.039058978
21,905,139.23,109.034,163.484,905.179,1.354176547,,Median,1.243916013
20,874,171.199,87.333,188.253,873.975,1.307494371,,Mode,#N/A
2,833,176.898,112.953,205.374,832.216,1.24502158,,Standard Deviation,0.174677058
26,831,145.094,104.001,168.136,830.738,1.242810445,,Sample Variance,0.030512075
34,817,144.856,107.542,162.967,816.599,1.221658052,,Kurtosis,0.805344473
32,811,137.839,77.526,165.375,811.374,1.213841286,,Skewness,0.950186952
12,808,155.953,84.45,180.065,807.661,1.20828652,,Range,0.669991847
23,785,147.715,95.401,174.556,784.828,1.174127626,,Minimum,1.074340811
8,784,165.133,74.667,180.664,783.931,1.172785686,,Maximum,1.744332658
40,758,153.123,30.885,169.631,757.811,1.133709336,,Sum,25.95454158
27,744,157.761,95.892,183.771,743.881,1.112869613,,Count,20
28,722,160.647,94.086,183.558,721.699,1.079684637,,,0
9,719,159.69,93.997,176.676,718.127,1.074340811,,,
24,707,150.385,89.849,171.052,707.654,1.05867287,,,
10,690,170.034,91,198.014,689.953,1.032191612,,,
7,674,159.811,101.56,180.991,673.493,1.007566929,,,
1,669,177.12,140.711,198.232,668.802,1.000549044,,,
19,666,167.09,95.898,184.66,665.695,0.995900873,,,
15,665,144.998,106.638,176.882,664.824,0.994597829,,,
29,644,157.563,97.667,181.6,643.506,0.962705424,,,
25,637,148.038,67.002,166.439,636.738,0.952580281,,,
37,612,143.169,93.23,161.268,611.998,0.915568455,,,
31,605,180.824,67.734,203.257,604.886,0.904928677,,,
17,592,171.283,137.409,191.164,592.06,0.885740573,,,
11,567,140.849,58.662,162.627,566.508,0.847513969,,,
18,566,164.789,97.249,186.422,565.106,0.845416533,,,
30,557,162.195,129.138,190.901,556.578,0.832658374,,,
36,555,144.709,95.939,168.642,554.663,0.829793473,,,
35,529,153.03,105.82,169.722,529.078,0.7915175,,,
13,517,159.259,123.287,176.181,516.604,0.772855999,,,
6,508,150.725,91.333,171.842,508.319,0.760461376,,,
5,507,159.962,98,173.22,506.831,0.758235281,,,
14,499,135.843,69.55,155.635,498.431,0.745668614,,,
