 ,Area,Mean,Min,Max,Length,Length (mm),,,
38,748,154.965,85.74,180.228,747.72,1.109488791,,Conversion,673.932
14,581,144.104,62.022,179.48,580.253,0.860996362,,,
36,574,143.987,90.299,168.295,573.142,0.850444852,,,
21,570,147.418,82.438,174.075,570.588,0.846655152,,,
30,563,132.952,60.165,164.153,562.887,0.835228183,,Column1,
16,550,145.662,65.917,177.091,549.46,0.815304808,,,
25,550,148.185,79.387,168.629,549.179,0.814887852,,Mean,0.787910724
29,532,154.367,66.747,182.518,531.673,0.788911938,,Standard Error,0.020389447
12,530,126.983,76.719,148.413,529.276,0.785355199,,Median,0.758914846
32,515,153.304,85.054,187.496,514.37,0.763237241,,Mode,#N/A
17,509,152.955,72.265,182.488,508.544,0.754592451,,Standard Deviation,0.091184379
27,504,147.942,89.077,174.867,503.121,0.746545646,,Sample Variance,0.008314591
2,498,145.886,57.284,179.138,497.135,0.737663444,,Kurtosis,7.886567081
9,496,183.467,82.691,212.938,496.165,0.736224129,,Skewness,2.445021385
11,496,130.315,75.688,166.667,496.019,0.73600749,,Range,0.40673243
35,494,154.383,74.846,189.372,493.797,0.732710422,,Minimum,0.702756361
22,483,161.408,118.243,181.838,482.891,0.71652778,,Maximum,1.109488791
39,480,155.047,95.935,185.5,480.462,0.712923559,,Sum,15.75821448
33,480,136.841,57.667,174.859,479.673,0.711752818,,Count,20
3,474,159.723,45.053,186.036,473.61,0.702756361,,,0
37,471,145.464,66.007,173.273,470.93,0.698779699,,,
40,463,180.599,98.483,209.487,462.808,0.686728038,,,
24,459,141.679,78.901,168.814,459.027,0.68111768,,,
26,459,143.314,78.119,179.582,458.585,0.680461827,,,
13,456,143.233,81.478,164.29,455.066,0.675240232,,,
31,442,172.084,98.333,196.694,441.761,0.655497884,,,
19,439,146.976,91.464,170.444,438.955,0.651334259,,,
18,439,156.488,58.676,173.768,438.602,0.650810468,,,
34,439,138.283,66.069,157.553,438.08,0.650035909,,,
28,436,146.68,81.077,171.468,435.318,0.645937572,,,
4,426,149.858,87.181,189.973,426.004,0.632117187,,,
6,419,168.403,89.416,208.978,419.159,0.621960376,,,
5,414,145.471,66.828,184.506,414.627,0.615235662,,,
20,415,153.345,73,177.754,414.382,0.614872124,,,
1,411,158.587,70.948,185.35,410.553,0.609190541,,,
7,392,155.128,76.897,197.355,391.726,0.581254489,,,
23,390,135.743,82.333,161.295,390.089,0.57882546,,,
15,387,147.826,69.383,171.855,386.623,0.573682508,,,
8,375,138.951,59.67,178.303,374.152,0.555177674,,,
10,367,161.472,68.641,209.574,366.726,0.544158758,,,
