 ,Area,Mean,Min,Max,Length,Length (mm),,,
16,52,161.158,137.667,193.05,53.783,0.078538718,,Conversion,684.796
21,52,140.793,108.093,168.205,51.735,0.075548046,,,
26,48,152.223,131.333,188.025,47.901,0.069949299,,,
12,40,147.931,130.972,171.23,39.59,0.057812838,,,
39,36,143.305,127.787,186.129,35.756,0.05221409,,,
11,32,106.486,99.468,118.508,31.846,0.04650436,,Column1,
29,32,148.49,136.124,172.333,31.241,0.045620886,,,
9,29,142.668,133.27,157.311,28.282,0.041299891,,Mean,0.043532307
25,26,133.612,114.795,167,25,0.036507223,,Standard Error,0.003432248
30,25,144.353,123.922,182.99,24.647,0.035991741,,Median,0.035767586
40,25,108.683,85.605,129.867,24.34,0.035543432,,Mode,#N/A
37,25,130.576,115.969,142.003,24.219,0.035366737,,Standard Deviation,0.015349481
13,25,113.179,101.673,138.73,24.207,0.035349213,,Sample Variance,0.000235607
36,24,144.041,120.738,158.828,23.268,0.033978002,,Kurtosis,0.66516741
24,23,132.266,119.577,143.544,22.077,0.032238798,,Skewness,1.368176884
23,22,123.011,112.755,135.198,21.932,0.032027056,,Range,0.04756161
17,22,129.82,115.314,147.333,21.84,0.03189271,,Minimum,0.030977109
14,22,126.461,111.784,156.866,21.75,0.031761284,,Maximum,0.078538718
15,22,135.298,123.707,162.333,21.588,0.031524717,,Sum,0.870646149
27,22,161.87,142.883,185.184,21.213,0.030977109,,Count,20
6,21,149.139,138.571,163,21.094,0.030803334,,,0
3,21,131.498,115.929,154.258,20.616,0.030105316,,,
2,21,145.255,127.492,161.168,20.554,0.030014778,,,
7,21,152.805,141.068,171.482,20.518,0.029962208,,,
5,21,127.477,117.58,136.679,20.434,0.029839543,,,
20,21,146.918,137.402,156.5,20.396,0.029784052,,,
8,21,166.573,154.73,181.7,20.1,0.029351807,,,
4,21,152.81,133.667,165.667,20,0.029205778,,,
19,21,157.339,135.013,172,20,0.029205778,,,
33,20,128.695,120.793,134.686,19.925,0.029096256,,,
18,20,130.802,118.343,138.569,19.849,0.028985274,,,
10,20,152.336,136.139,159.738,19.684,0.028744327,,,
35,20,136.769,127.893,143.08,19.209,0.02805069,,,
22,20,146.637,138.392,153.835,19.105,0.02789882,,,
34,19,134.218,119.742,151.749,19.088,0.027873995,,,
28,19,169.811,151.194,179.776,18.682,0.027281117,,,
32,18,136.074,126.533,145.945,17.692,0.025835431,,,
1,18,155.929,139.782,182.458,17.205,0.025124271,,,
38,18,158.561,147.226,172.333,17.029,0.02486726,,,
31,17,131.785,113.667,149.19,16.971,0.024782563,,,
