 ,Area,Mean,Min,Max,Length,Length (mm),,,,
105,43,110.634,57.981,255,42.024,0.064107297,,,,
106,43,115.316,74.551,166.611,42.202,0.064378835,,,,
107,176,107.815,80.827,126.098,175.71,0.268044288,,,,
108,250,104.956,64.526,145.941,249.273,0.380264093,,,,
109,246,116.683,81.452,164.612,245.668,0.374764693,,,,
110,73,142.586,57.246,189.048,73.022,0.111394514,,,,
111,101,111.828,70.548,150.206,100.957,0.154009147,,,,
112,82,131.703,62.381,159.562,81.538,0.124385608,,,,
113,76,115.696,86.967,134.641,75.657,0.115414186,,,,
114,131,116.573,59.59,134.825,130.992,0.199827314,,,,
115,385,125.048,72.675,164.22,384.85,0.587085791,,,,
116,306,137.287,59.333,159.691,305.89,0.466632902,,,,
117,14,104.952,63.383,157.501,13.601,0.020748224,,,,
118,360,141.356,58.714,255,359.448,0.54833523,,,,
119,268,133.042,79.156,255,267.585,0.408198912,,,,
120,13,74.644,56.247,120.105,12.649,0.019295955,,,,
121,85,127.584,44.667,255,84.862,0.129456345,,,,
122,21,88.232,57.669,133.756,20.248,0.030888172,,,,
123,158,131.632,44,255,157.248,0.239880645,,,,
124,234,148.891,91.753,255,233.943,0.356878293,,,,
125,51,120.97,68.4,255,50.521,0.077069407,,,,
126,74,111.641,59.045,135.733,73.903,0.112738473,,,,
127,104,96.112,72.122,118.69,103.282,0.157555917,,,,
128,26,90.084,45.96,118.333,25,0.038137313,,,,
129,48,87.918,61.982,114.274,47.983,0.073197707,,,,
130,61,102.775,66.171,131.312,61.101,0.093209118,,,,
131,36,79.061,54.333,94.943,35.218,0.053724795,,,,
132,55,78.998,57.35,104.232,55.635,0.084870776,,,,
133,15,62.662,48.931,83.06,14.318,0.021842002,,,,
134,48,100.435,56.659,123.719,47.691,0.072752263,,,,
135,82,107.083,71.04,131.758,81.897,0.12493326,,,,
136,15,79.799,57.164,109.549,14.036,0.021411813,,,,
137,17,85.646,77.104,98.217,16.763,0.025571831,,,,
138,51,103.248,80.667,120.842,50.289,0.076715493,,,,
139,72,143.336,86.649,169.656,72.004,0.109841562,,,,
140,38,98.573,68.18,112.787,37.557,0.057292922,,,,
141,138,120.714,67.886,152.947,138.035,0.210571358,,,,
142,41,125.515,69.833,166.514,40.795,0.062232467,,,,
143,32,129.676,80.094,163.788,31.385,0.047877582,,,,
144,54,122.158,92.254,155.531,53.724,0.081955559,,,,
145,173,158.578,97.799,182.354,172.932,0.26380647,,,,
146,402,159.532,113.996,196.488,401.945,0.613164085,,,,
147,23,122.332,110.88,147.667,22.627,0.034517319,,,,
148,25,126.373,81.3,157.625,24.187,0.036897087,,,,
149,103,173.866,71.619,199.447,102.017,0.155626169,,,,
150,25,112.328,84.641,133.044,24.99,0.038122058,,,,
151,118,134.244,75.549,162.82,118.017,0.180034049,,,,
152,22,115.081,83.644,127.121,21.213,0.032360273,,,,
153,25,109.07,81.42,149.82,24.971,0.038093073,,,,
154,34,125.768,77.039,151.365,33.522,0.05113756,,,,
155,340,155.549,96.289,185.347,339.779,0.518330318,,,,
156,15,87.236,49.137,118.107,14.422,0.022000653,,,,
157,10,73.533,57.333,96,9,0.013729433,,,,
