 ,Area,Mean,Min,Max,Length,Length (mm),,,
25,46,88.804,53.252,113.717,45.378,0.067731593,,Conversion,669.968
28,43,102.173,66.152,128.279,42.196,0.062982113,,,
8,41,104.282,82.382,119.422,40.571,0.060556624,,,
21,36,89.239,58.412,127.1,38.227,0.057057949,,Column1,
29,37,108.407,68.074,131.996,37.381,0.055795202,,,
30,36,108.061,80.773,126.702,35.821,0.053466733,,Mean,0.050694212
33,35,96.771,62.122,120.856,34.06,0.050838249,,Standard Error,0.001543031
24,34,102.684,51.301,118.866,33.838,0.05050689,,Median,0.048377684
15,34,99.93,81.04,122.667,33.745,0.050368077,,Mode,#N/A
18,33,111.948,91.8,132.12,32.815,0.048979951,,Standard Deviation,0.006900644
23,32,78.4,60.52,100.347,32.008,0.047775416,,Sample Variance,4.76189E-05
16,32,100.188,71.886,138.61,31.956,0.0476978,,Kurtosis,0.60559487
3,32,102.421,62.86,132.72,31.179,0.046538044,,Skewness,1.141957704
26,32,89.337,60.026,120.944,31.064,0.046366394,,Range,0.024651924
14,32,98.71,58.414,112.792,31.016,0.046294748,,Minimum,0.043079669
20,31,93.374,77.664,123,30.541,0.045585759,,Maximum,0.067731593
22,31,90.841,58.053,116.333,30.083,0.044902145,,Sum,1.013884245
9,30,123.712,78.509,156.707,29.374,0.043843885,,Count,20
39,30,98.651,69.042,111.769,29.155,0.043517004,,,0
13,29,91.926,71.665,128.633,28.862,0.043079669,,,
37,28,81.775,51.928,107,28.017,0.041818415,,,
5,28,89.887,48.26,114.596,27.962,0.041736322,,,
38,28,104.292,72.127,127.467,27.857,0.041579598,,,
36,28,85.726,55.225,125,27.717,0.041370633,,,
12,28,85.544,75.509,114,27.659,0.041284061,,,
27,27,104.455,68.671,136.011,26.428,0.03944666,,,
32,27,94.094,65.404,124.428,26.038,0.038864543,,,
11,26,99.172,82.211,127.986,25.71,0.038374967,,,
34,26,95.95,52.87,114.207,25.582,0.038183913,,,
10,26,113.801,76.008,144.366,25.232,0.0376615,,,
35,26,88.399,55.533,103.005,25,0.037315215,,,
7,25,108.915,82.416,126.213,24.815,0.037039082,,,
6,24,87.302,49.671,115.935,23.677,0.035340494,,,
19,23,86.764,72.558,101.187,22.825,0.034068791,,,
17,23,95.497,75.65,110.667,22.804,0.034037447,,,
31,23,92.346,59.591,128.667,22.804,0.034037447,,,
40,22,94.579,60.804,115.931,21.587,0.032220942,,,
2,22,106.47,70.167,140.602,21.474,0.032052277,,,
4,21,85.433,61.949,130.667,20.882,0.031168653,,,
1,21,92.286,74.333,120.333,20,0.029852172,,,
