,area,mean,min,max,length,mm,,,,,,,,
19,785,155.187,69.302,177.14,784.427,1.173110025,,,,,,,,
22,695,162.442,71.029,178.017,694.82,1.03910282,,,,,,,,
5,604,184.338,131.653,198.499,603.125,0.901973012,,,,,,,,
10,520,155.322,65.663,255,520.043,0.77772394,,,,,,,,
1,511,168.177,67.116,183.977,510.808,0.763913004,,,,,,,Statistics for Top 20,
31,483,167.058,135.838,180.552,482.549,0.721651689,,,,,,,,
3,436,160.832,84.554,255,435.165,0.650788951,,,,,,,Mean,0.649440534
2,430,154.937,83.85,166.935,429.606,0.64247547,,Picture,No Tubes,Tubes,,,Standard Error,0.044266157
4,421,161.252,77,178.602,420.288,0.628540408,,A,284,54,,,Median,0.598353007
34,408,147.669,46.106,255,407.905,0.61002164,,,,,,,Mode,#N/A
32,393,136.507,72.687,162.93,392.3,0.586684373,,,,,,,Standard Deviation,0.197964274
20,370,151.468,99.333,165.423,369.892,0.553173225,,,,,,,Sample Variance,0.039189854
27,354,155.397,65.933,169.81,353.805,0.529115128,,,,,,,Kurtosis,1.586730458
8,347,145.026,85.563,255,346.248,0.51781364,,,,,,,Skewness,1.409459569
11,343,154.205,107.34,168.323,343.008,0.512968222,,Length Conversion,668.673,,,,Range,0.732031949
23,341,157.932,99.087,173.175,341.334,0.510464756,,,,,,,Minimum,0.441078076
9,336,147.191,90.768,160.803,335.769,0.502142303,,Mean Length,0.450581462,,,,Maximum,1.173110025
33,319,133.247,67.748,158.375,319.05,0.47713905,,Median Length,0.445004509,,,,Sum,12.98881067
38,301,146.37,88.003,155.615,300.188,0.448930942,,Standard Deviation,0.266208899,,,,Count,20
6,295,155.862,85.333,171.65,294.937,0.441078076,,Maximum,1.173110025,,,,,0
12,285,142.968,99.921,158.076,284.425,0.425357387,,,,,,,,
7,280,135.125,100.959,155.923,279.092,0.417381889,,,,,,,,
21,274,156.191,103.087,168.887,273.599,0.409167112,,,,,,,,
18,241,155.348,90.946,172.149,240.754,0.360047437,,,,,,,,
25,224,161.152,125,190.036,223.712,0.334561138,,,,,,,,
28,146,139.949,88.276,162.968,145.548,0.217666931,,,,,,,,
30,143,119.441,65.94,151.386,143.027,0.213896778,,,,,,,,
13,142,166.668,123.994,195.074,141.844,0.212127602,,,,,,,,
26,135,171.546,117.513,187.277,135.02,0.201922315,,,,,,,,
24,133,153.115,121.279,175.293,132.965,0.198849064,,,,,,,,
35,129,168.131,123.667,178.29,128.664,0.192416921,,,,,,,,
29,120,155.94,105.503,173.912,119.746,0.179080059,,,,,,,,
37,114,150.207,100,166.082,113.376,0.169553728,,,,,,,,
36,107,154.336,112.9,180.009,107.016,0.160042353,,,,,,,,
14,98,148.321,130.632,165.284,97.191,0.145349072,,,,,,,,
16,80,134.941,92.667,151.921,79.171,0.118400175,,,,,,,,
15,61,146.359,111.634,170.892,60.607,0.090637726,,,,,,,,
17,58,126.853,96.527,152.304,58.059,0.086827194,,,,,,,,
