 ,Area,Mean,Min,Max,Length,Length (mm),,,
18,39,133.202,125.123,156.541,38.238,0.056581327,,Conversion,675.806
16,37,124.578,105.085,143.571,36.056,0.053352589,,,
20,34,139.751,125.105,157.263,34.16,0.05054705,,,
5,34,141.829,118.053,166.609,33.615,0.049740606,,,
12,33,121.559,107.36,147.744,32.614,0.048259412,,Column1,
10,32,153.326,134.458,167.333,31.379,0.046431964,,,
33,30,138.193,122.886,173.707,29.339,0.043413346,,Mean,0.039605079
35,29,135.511,117.244,165.487,28.751,0.042543274,,Standard Error,0.00194581
31,28,158.313,143.827,174.679,27.514,0.040712867,,Median,0.037418283
39,26,160.648,141.52,171.542,25.495,0.037725324,,Mode,#N/A
6,26,136.579,118.059,149.15,25.08,0.037111242,,Standard Deviation,0.008701928
7,25,137.139,114,160.326,24.207,0.035819451,,Sample Variance,7.57235E-05
13,23,139.016,121.14,153.028,22.361,0.033087898,,Kurtosis,-1.086422465
14,22,131.369,129.36,133.965,21.954,0.032485654,,Skewness,0.52472633
27,22,130.811,121.472,142.369,21.213,0.031389186,,Range,0.026655579
24,22,149.981,133.667,173.096,21.095,0.031214579,,Minimum,0.029925748
21,22,133.818,114.333,149,21,0.031074006,,Maximum,0.056581327
4,21,126.678,114.692,136.822,20.616,0.030505796,,Sum,0.792101579
23,21,116.779,103.782,135.876,20.396,0.030180259,,Count,20
9,21,123.967,107.433,134.624,20.224,0.029925748,,,0
17,21,117.552,109.055,142.182,20.145,0.02980885,,,
30,21,155.533,135.522,188.148,20.1,0.029742263,,,
15,20,129.443,116.944,139.733,19.925,0.029483313,,,
19,20,154.234,142.525,182.419,19.698,0.029147418,,,
32,20,137.213,118.784,159.644,19.351,0.028633957,,,
28,19,167.675,152,186.562,18.868,0.027919255,,,
29,19,152.122,132.537,173.581,18.868,0.027919255,,,
8,19,141.968,131.455,155.022,18.385,0.027204553,,,
3,19,130.609,110.587,152.47,18.028,0.026676295,,,
1,18,134.167,125.928,148.168,17.464,0.025841736,,,
40,18,143.06,134.484,150,17.464,0.025841736,,,
2,18,151.639,143.463,171.071,17.261,0.025541354,,,
11,17,145.394,130.606,155.502,16.492,0.024403453,,,
26,17,137.377,118.128,155.333,16.402,0.024270279,,,
25,17,151.463,131.202,180.205,16.125,0.023860398,,,
22,17,126.566,102.319,155.347,16.031,0.023721305,,,
38,16,136.428,125.968,146.333,15.811,0.023395767,,,
37,16,138.196,121.843,152.122,15.297,0.022635194,,,
36,15,131.62,114.638,145.067,14.56,0.021544644,,,
34,15,147.47,134.943,162.515,14.387,0.021288654,,,
