 ,Area,Mean,Min,Max,Length,Length (mm),,,
18,148,164.412,68.964,186.727,147.906,0.215124422,,Conversion,687.537
34,130,176.229,78.045,195.366,129.146,0.187838618,,,
32,127,165.757,75.177,180.174,126.906,0.184580612,,,
27,126,138.754,95.113,189.992,125.508,0.182547267,,,
14,121,165.425,108.333,181.93,120.387,0.17509894,,Column1,
15,106,151.511,77.223,186.536,105.804,0.153888445,,,
22,106,152.042,93.667,183.932,105.127,0.152903771,,Mean,0.14909554
19,104,128.972,69.652,177.195,103.78,0.150944604,,Standard Error,0.005916716
21,99,144.524,65.452,189.102,98.471,0.143222837,,Median,0.141345848
16,98,131.318,69.333,168.907,97.428,0.141705828,,Mode,#N/A
25,97,127.925,56.323,165.648,96.933,0.140985867,,Standard Deviation,0.026460357
2,96,127.537,61.129,187.76,95.142,0.138380916,,Sample Variance,0.000700151
12,93,163.611,118.481,186.82,92.523,0.134571667,,Kurtosis,0.418754679
3,90,142.31,61.667,180.044,89.23,0.129782106,,Skewness,1.098550291
4,88,151.431,83.347,204.693,87.758,0.127641131,,Range,0.093853858
9,87,145.365,81.346,192.937,86.922,0.126425196,,Minimum,0.121270564
39,87,139.804,79,187.602,86.844,0.126311748,,Maximum,0.215124422
24,86,116.949,39.333,167.37,85.704,0.124653655,,Sum,2.981910792
13,86,154.801,110.03,182.996,85.277,0.124032598,,Count,20
1,84,168.269,72.333,193.001,83.378,0.121270564,,,0
29,82,142.048,92,183.918,81.819,0.11900305,,,
26,82,108.387,73.041,134.665,81.702,0.118832877,,,
30,81,159.838,64.802,186.156,80.096,0.116497003,,,
31,79,142.919,69.616,179.13,79.414,0.115505056,,,
38,79,132.489,95.175,164.796,79.204,0.115199618,,,
10,78,147.946,64.207,171.028,77.945,0.113368444,,,
17,77,112.3,83.727,139.268,76.354,0.111054387,,,
20,77,163.223,121.031,182.597,76.237,0.110884214,,,
8,76,147.347,51.67,171.233,75.823,0.110282065,,,
36,76,132.697,66.577,186.804,75.781,0.110220977,,,
28,75,151.002,65.744,182.903,75.01,0.109099583,,,
40,75,145.377,89.584,197.891,74.917,0.108964318,,,
11,73,151.886,54.364,193.24,72.278,0.105125979,,,
35,71,152.195,68.161,174.74,70.676,0.102795922,,,
37,71,150.572,102.364,179.043,70.333,0.10229704,,,
7,70,147.845,75.267,201.543,69.892,0.10165562,,,
6,69,128.322,50.468,164.46,68.429,0.099527735,,,
5,69,163.77,82.226,189.822,68.163,0.099140846,,,
33,68,164.858,95.7,191.834,67.349,0.09795691,,,
23,65,146.322,73.168,173.248,65.267,0.094928709,,,
