ID,Iden,Region,Population,Treatment,Block,Number,style_length,stamen_length,ovule_number
OP2,OP2B,South,OP,Heat,B,2,,,
OP2,OP2B,South,OP,Heat,B,3,,,
OP3,OP3A,South,OP,Heat,A,1,,,
OP3,OP3A,South,OP,Heat,A,2,,,
OP3,OP3A,South,OP,Heat,A,3,,,
OP3,OP3B,South,OP,Control,B,1,,,
OP3,OP3B,South,OP,Control,B,2,,,
OP3,OP3B,South,OP,Control,B,3,,,
OP4,OP4A,South,OP,Heat,A,1,,,
OP4,OP4A,South,OP,Heat,A,2,,,
OP4,OP4A,South,OP,Heat,A,3,,,
OP4,OP4B,South,OP,Control,B,1,,,
OP4,OP4B,South,OP,Control,B,2,,,
OP4,OP4B,South,OP,Control,B,3,,,
OP5,OP5A,South,OP,Control,A,1,,,
OP5,OP5A,South,OP,Control,A,2,,,
OP5,OP5A,South,OP,Control,A,3,,,
OP5,OP5B,South,OP,Heat,B,1,,,
OP5,OP5B,South,OP,Heat,B,2,,,
OP5,OP5B,South,OP,Heat,B,3,,,
OP6,OP6A,South,OP,Heat,A,1,,,
OP6,OP6A,South,OP,Heat,A,2,,,
OP6,OP6A,South,OP,Heat,A,3,,,
OP6,OP6B,South,OP,Control,B,1,,,
OP6,OP6B,South,OP,Control,B,2,,,
OP6,OP6B,South,OP,Control,B,3,,,
OP7,OP7A,South,OP,Control,A,1,12,7.3,
OP7,OP7A,South,OP,Control,A,2,,,
OP7,OP7A,South,OP,Control,A,3,,,
OP7,OP7B,South,OP,Heat,B,1,,,
OP7,OP7B,South,OP,Heat,B,2,,,
OP7,OP7B,South,OP,Heat,B,3,,,
OP8,OP8A,South,OP,Heat,A,1,,,
OP8,OP8A,South,OP,Heat,A,2,,,
OP8,OP8A,South,OP,Heat,A,3,,,
OP8,OP8B,South,OP,Control,B,1,,,
OP8,OP8B,South,OP,Control,B,2,,,
OP8,OP8B,South,OP,Control,B,3,,,
OP9,OP9A,South,OP,Control,A,1,,,
OP9,OP9A,South,OP,Control,A,2,,,
OP9,OP9A,South,OP,Control,A,3,,,
OP9,OP9B,South,OP,Heat,B,1,,,
OP9,OP9B,South,OP,Heat,B,2,,,
OP9,OP9B,South,OP,Heat,B,3,,,
PI1,PI1A,North,PI,Control,A,1,12.7,8.2,
PI1,PI1A,North,PI,Control,A,2,13.1,8.4,
PI1,PI1A,North,PI,Control,A,3,11.2,7,
PI1,PI1B,North,PI,Heat,B,1,,,
PI1,PI1B,North,PI,Heat,B,2,,,
PI1,PI1B,North,PI,Heat,B,3,,,
PI10,PI10A,North,PI,Control,A,1,,,
PI10,PI10A,North,PI,Control,A,2,,,
PI10,PI10A,North,PI,Control,A,3,,,
PI10,PI10B,North,PI,Heat,B,1,8.6,6.3,
PI10,PI10B,North,PI,Heat,B,2,10.3,6.9,
PI10,PI10B,North,PI,Heat,B,3,10.7,7,
PI11,PI11A,North,PI,Control,A,1,12.8,8.8,
PI11,PI11A,North,PI,Control,A,2,13.8,8.6,
PI11,PI11A,North,PI,Control,A,3,13.3,8.6,
PI11,PI11B,North,PI,Heat,B,1,,,
PI11,PI11B,North,PI,Heat,B,2,,,
PI11,PI11B,North,PI,Heat,B,3,,,
PI12,PI12A,North,PI,Heat,A,1,10.7,7.1,96
PI12,PI12A,North,PI,Heat,A,2,10,7,105
PI12,PI12A,North,PI,Heat,A,3,,,
PI12,PI12B,North,PI,Control,B,1,11.9,7.3,
PI12,PI12B,North,PI,Control,B,2,12,7.2,
PI12,PI12B,North,PI,Control,B,3,12.2,7,
PI13,PI13A,North,PI,Heat,A,1,,,
PI13,PI13A,North,PI,Heat,A,2,,,
PI13,PI13A,North,PI,Heat,A,3,,,
PI13,PI13B,North,PI,Control,B,1,12.1,7.5,
PI13,PI13B,North,PI,Control,B,2,11.6,7.6,
PI13,PI13B,North,PI,Control,B,3,11.9,7.8,
