 ,Area,Mean,Min,Max,Length,Length (mm),,,
32,1149,143.207,41.851,171.033,1149.113,1.672636523,,Conversion,687.007
19,981,157.643,39.781,197.638,980.784,1.427618641,,,
4,967,135.954,35.585,176.363,966.413,1.406700368,,,
12,912,154.559,48.426,183.207,911.626,1.326953,,Column1,
6,867,119.643,54.902,163.781,866.452,1.261198212,,,
14,855,150.722,45,180.615,854.75,1.244164907,,Mean,1.092631953
15,852,138.394,53.712,183.365,851.398,1.239285771,,Standard Error,0.056523839
13,831,145.659,63.011,173.615,830.159,1.208370512,,Median,1.075261242
5,806,115.566,31.987,157.462,805.482,1.172450936,,Mode,#N/A
9,789,149.468,84.224,185.904,789.104,1.148611295,,Standard Deviation,0.252782295
2,689,137.169,66.556,172.365,688.32,1.001911189,,Sample Variance,0.063898888
17,667,133.837,66.136,161.198,666.812,0.970604375,,Kurtosis,-0.472288851
3,608,138.497,77.678,171.362,608.105,0.885151097,,Skewness,0.5867483
1,604,123.288,66.56,161.979,603.552,0.8785238,,Range,0.877199213
18,600,155.975,70.431,184.952,599.159,0.872129396,,Minimum,0.79543731
7,595,131.736,54.434,164.826,594.736,0.865691325,,Maximum,1.672636523
20,583,129.808,45.656,172.057,583.013,0.848627452,,Sum,21.85263906
11,563,149.111,52.788,187.222,562.564,0.818862108,,Count,20
39,555,127.098,67.502,170.194,554.903,0.807710838,,,0
16,547,124.62,59.862,164.622,546.471,0.79543731,,,
10,544,137.664,68.423,165.797,543.812,0.791566898,,,
8,539,122.914,51.783,164.507,538.249,0.783469455,,,
23,521,131.06,55.836,169.883,520.182,0.757171324,,,
31,474,127.95,78.359,168.806,473.928,0.689844499,,,
27,361,137.666,89.751,169.587,360.687,0.525012118,,,
28,353,122.55,78.29,174.219,352.509,0.513108309,,,
24,344,118.366,63.467,160.024,343.769,0.500386459,,,
30,341,111.302,63.394,152.767,340.366,0.495433089,,,
38,328,133.934,62.319,166.352,327.539,0.476762246,,,
33,324,131.986,77.58,159.141,323.804,0.47132562,,,
22,289,126.059,48.224,159.606,288.124,0.419390195,,,
37,276,105.171,45.837,130.885,275.225,0.40061455,,,
29,270,148.03,86.73,169.678,269.955,0.392943594,,,
21,266,109.48,35.764,149.432,265.957,0.387124149,,,
35,260,128.908,77.717,160.029,259.621,0.377901535,,,
25,249,124.164,52.89,152.854,248.397,0.361564002,,,
40,243,127.31,42.108,164.981,242.982,0.353681986,,,
34,238,123.687,75.7,158.867,239.313,0.348341429,,,
36,223,117.394,22.221,156.335,222.588,0.323996699,,,
26,222,114.81,66.613,149.886,221.189,0.321960329,,,
