 ,Area,Mean,Min,Max,Length,Length (mm),,,
5,1049,148.802,76.147,180.296,1049.329,1.55801219,,Conversion,673.505
22,987,153.854,89.621,192.608,986.357,1.464513255,,,
1,902,170.134,109.381,205.144,901.473,1.338480041,,,
33,864,155.395,80.71,188.992,864.003,1.28284571,,,
16,837,147.68,94.06,168.113,836.416,1.241885361,,Column1,
3,824,139.773,47.659,174.379,823.372,1.222518021,,,
36,798,172.461,90.606,216.06,798.185,1.18512112,,Mean,1.152795673
31,795,143.524,93.686,168.342,795.077,1.180506455,,Standard Error,0.036768255
32,793,146.887,83.317,185.096,792.72,1.177006852,,Median,1.12757886
25,786,153.485,75.972,182.341,785.275,1.16595274,,Mode,#N/A
9,734,159.107,95.252,197.186,733.585,1.08920498,,Standard Deviation,0.164432636
4,733,144.483,52.008,188.017,732.413,1.08746483,,Sample Variance,0.027038092
24,710,160.698,75.473,183.179,709.768,1.053842213,,Kurtosis,0.68543764
26,699,141.557,81.642,173.142,698.801,1.037558741,,Skewness,1.020422322
29,697,182.264,110.895,214.251,696.974,1.034846066,,Range,0.603798042
17,690,151.606,76.98,178.411,689.289,1.023435609,,Minimum,0.954214148
7,679,159.01,70.402,188.909,678.445,1.007334764,,Maximum,1.55801219
15,664,148.244,55.092,169.743,663.151,0.984626692,,Sum,23.05591347
35,651,147.349,68.843,187.914,650.972,0.966543678,,Count,20
23,643,138.756,82.333,166.57,642.668,0.954214148,,,0
8,643,132.896,58.198,163.918,642.481,0.953936496,,,
14,634,138.569,76.694,170.851,633.148,0.940079138,,,
34,594,139.719,103.308,182.206,593.176,0.880729913,,,
37,580,185.212,112.048,219.329,579.899,0.861016622,,,
6,579,141.947,38.816,191.162,578.306,0.858651383,,,
2,563,144.045,14.122,174.83,563.123,0.836108121,,,
38,562,162.069,49.606,197.746,561.855,0.834225433,,,
12,556,146.635,74.011,168.893,555.431,0.82468727,,,
27,547,157.177,115.434,180.122,546.965,0.812117208,,,
20,543,163.397,119.756,191.466,542.216,0.805066035,,,
40,542,135.87,77.684,161.477,541.302,0.803708955,,,
39,539,157.386,73.112,180.055,539.031,0.800337043,,,
21,537,160.182,78.052,192.836,536.459,0.796518214,,,
13,536,135.084,41.23,167.913,535.179,0.794617709,,,
19,534,146.856,56.243,170.177,533.153,0.791609565,,,
11,533,150.024,73.848,170.089,532.542,0.79070237,,,
10,528,167.976,64.027,206.591,527.284,0.78289545,,,
28,512,153.074,83.334,176.499,511.988,0.760184408,,,
18,506,135.859,44.841,172.436,505.336,0.750307719,,,
30,499,157.065,65.046,197.253,498.625,0.740343427,,,
