 ,Area,Mean,Min,Max,Length,Length (mm),,,
34,1020,169.104,100.379,192.506,1019.55,1.500883262,,Conversion,679.3
31,904,166.811,59.667,195.954,903.98,1.330752245,,,
6,849,159.729,64.618,183.407,849.13,1.250007361,,,
18,848,190.647,111.672,213.511,847.914,1.248217282,,,
13,813,191.586,143.747,213.749,813.499,1.197554836,,Column1,
23,808,171.761,118.763,203.899,807.717,1.189043133,,,
17,777,170.082,55.098,203.559,776.851,1.143605182,,Mean,1.091849919
3,755,166.378,75.017,204.753,754.353,1.110485794,,Standard Error,0.034853524
32,742,174.15,118.835,195.789,741.805,1.092013838,,Median,1.061274842
7,727,161.267,94,186.083,726.484,1.069459738,,Mode,#N/A
40,716,171.731,54.615,192.926,715.364,1.053089946,,Standard Deviation,0.155869698
8,691,180.283,85.263,212.686,690.914,1.017097012,,Sample Variance,0.024295363
16,688,162.926,85.532,178.389,687.87,1.012615928,,Kurtosis,0.880587361
5,655,158.699,96.41,174.779,654.91,0.964095392,,Skewness,1.062256357
37,652,172.955,123.001,200.255,651.854,0.959596644,,Range,0.576514059
19,649,182.969,131.059,213.533,648.522,0.954691594,,Minimum,0.924369204
39,647,174.199,50.979,197.582,646.696,0.952003533,,Maximum,1.500883262
38,635,162.983,99.856,183.302,634.461,0.933992345,,Sum,21.83699838
1,634,168.227,74.632,205.532,634.075,0.933424113,,Count,20
28,628,177.593,89.29,191.855,627.924,0.924369204,,,0
24,612,145.683,47.067,186.807,613.177,0.902660091,,,
12,593,167.004,64.878,194.656,593.014,0.872978066,,,
9,577,182.735,114.574,205.233,576.925,0.84929339,,,
33,564,164.214,103.474,183.629,563.37,0.829339025,,,
36,555,166.578,91.667,201.908,554.996,0.81701163,,,
35,553,166.074,74.067,203.137,552.783,0.813753864,,,
15,547,151.333,58.22,175.237,546.597,0.804647431,,,
4,543,149.263,100.17,168.578,542.168,0.798127484,,,
11,519,176.822,65.838,195.333,518.081,0.762668924,,,
20,512,158.621,94.104,176.867,511.32,0.752716031,,,
14,510,170.443,115.473,195.657,509.525,0.750073605,,,
21,472,169.679,85.396,200.606,472.121,0.695011041,,,
22,471,162.899,57.852,199.99,470.379,0.692446636,,,
2,454,159.432,85,187.891,453.786,0.668020021,,,
10,439,153.072,84.645,187.174,438.958,0.646191668,,,
26,404,160.582,105.91,192.276,405.454,0.596870308,,,
25,360,138.734,100.348,168.759,359.637,0.529422935,,,
29,309,184.224,132.694,213.05,308.649,0.454363315,,,
27,298,144.657,96.122,173.658,297.471,0.437908141,,,
30,294,157.228,82.644,196.443,293.726,0.432395113,,,
