 ,Area,Mean,Min,Max,Length,Length (mm),,,
17,1251,144.604,82.019,179.143,1250.715,1.849825328,,Conversion,676.126
20,1139,142.492,56.236,189.071,1138.359,1.683649201,,,
16,997,148.766,59.71,196.918,996.196,1.473388096,,,
14,896,143.685,30.333,188.612,896.003,1.32520122,,,
18,849,146.945,66.667,184.276,848.249,1.254572373,,Column1,
15,803,150.497,99.767,195.872,802.921,1.187531614,,,
19,748,137.432,67.223,174.213,747.701,1.105860446,,Mean,1.129139909
31,740,163.319,20,199.899,739.796,1.094168838,,Standard Error,0.06024145
12,718,168.322,32,202.118,717.593,1.061330285,,Median,1.05511103
5,715,130.822,34.99,175.695,714.271,1.056416999,,Mode,#N/A
32,713,146.653,35.053,178.831,712.505,1.05380506,,Standard Deviation,0.269407953
4,697,150.09,83.948,172.944,697.055,1.03095429,,Sample Variance,0.072580645
11,691,175.852,40.667,203.068,690.774,1.021664601,,Kurtosis,1.917572365
7,662,156.889,57.667,188.621,661.195,0.977916838,,Skewness,1.541942933
34,637,152.812,31,180.165,636.674,0.941649929,,Range,0.96685529
33,616,148.743,24.538,187.546,615.59,0.910466392,,Minimum,0.882970038
35,611,135.838,80.856,158.771,610.54,0.90299737,,Maximum,1.849825328
13,599,159.402,67.793,186.001,598.081,0.884570332,,Sum,22.58279818
1,598,152.76,82.908,180.848,597.6,0.883858926,,Count,20
37,597,170.274,93.501,189.83,596.999,0.882970038,,,0
39,574,162.155,27,187.393,573.422,0.848099319,,,
3,551,148.03,78.725,178.982,550.598,0.814342297,,,
21,539,172.521,118.957,191.847,538.262,0.796097177,,,
40,537,163.739,46.004,195.442,536.362,0.79328705,,,
6,526,130.03,46.556,166.224,525.067,0.776581584,,,
36,525,143.308,93.815,163.666,524.973,0.776442557,,,
9,514,154.44,60.333,183.694,513.522,0.759506364,,,
22,508,149.736,113.667,171.545,507.421,0.750482898,,,
38,503,129.311,18.088,176.585,502.194,0.742752091,,,
27,486,145.189,83,168.004,485.549,0.718133898,,,
8,481,157.757,95.611,186.532,480.939,0.711315642,,,
26,449,138.681,70.475,171.374,448.921,0.663960564,,,
10,446,168.57,102.734,197.682,445.539,0.658958537,,,
30,444,145.152,44.083,169.009,443.752,0.656315539,,,
2,433,129.268,32.173,172.854,432.32,0.639407448,,,
23,340,142.191,80.219,162.748,339.253,0.501760027,,,
28,331,127.926,39.116,164.155,330.098,0.488219651,,,
24,322,137.282,61.506,158.799,321.16,0.475000222,,,
25,304,118.112,86.591,160.251,303.455,0.448814274,,,
29,276,122.429,62.333,153.988,275.288,0.407154879,,,
