 ,Area,Mean,Min,Max,Length,Length (mm),,,
8,1097,151.069,53.25,178.386,1096.652,1.604744645,,Conversion,683.381
19,961,166.157,75.291,191.985,960.153,1.405003944,,,
23,955,154.9,75.649,191.964,955.583,1.398316605,,,
5,921,170.069,100.333,193.357,920.847,1.34748698,,,
20,900,162.558,51.39,185.757,900.227,1.317313475,,Column1,
18,898,159.501,92.333,187.229,897.289,1.313014263,,,
4,858,171.417,43.846,198.822,857.935,1.25542706,,Mean,1.139982235
36,807,166.935,36.16,187.863,806.725,1.180490824,,Standard Error,0.044382923
39,751,176.445,67.688,207.175,750.81,1.098669703,,Median,1.050240642
2,724,153.935,77.1,178.063,724.536,1.060222628,,Mode,#N/A
37,711,145.513,50.264,183.214,710.893,1.040258655,,Standard Deviation,0.198486467
24,707,140.411,74.454,176.657,707.106,1.03471709,,Sample Variance,0.039396877
9,706,184.01,100,204.156,705.62,1.032542608,,Kurtosis,-0.331630873
33,695,143.306,74.43,175.603,694.457,1.01620765,,Skewness,0.815175702
14,673,148.338,77.604,171.858,672.823,0.984550346,,Range,0.675516293
15,652,157.2,72.012,183.515,651.4,0.953201801,,Minimum,0.929228351
11,647,180.631,63.373,204.373,647,0.946763226,,Maximum,1.604744645
16,644,164.651,83.078,190.934,643.753,0.94201185,,Sum,22.79964471
7,642,151.279,66,176.176,642.018,0.939473003,,Count,20
21,633,167.142,89,200.396,635.017,0.929228351,,,0
10,628,165.036,68.778,191.813,628.063,0.919052476,,,
3,628,155.581,91.745,173.685,627.467,0.918180342,,,
1,628,150.622,56.911,176.512,627.363,0.918028157,,,
12,616,174.975,76.839,197.874,615.953,0.901331761,,,
38,610,166.395,86.33,195.238,609.911,0.892490426,,,
30,601,173.206,95.667,199.688,600.231,0.878325561,,,
22,587,170.102,96.867,190.021,586.434,0.858136237,,,
31,582,165.905,69.36,190.102,581.408,0.850781628,,,
28,567,181.096,112.685,200.644,566.706,0.829268007,,,
32,563,165.19,76.259,201.336,562.952,0.823774732,,,
17,556,173.25,43.319,198.661,557.93,0.816425976,,,
13,547,156.295,108.267,177.169,546.572,0.799805672,,,
6,531,146.57,31.016,171.208,530.332,0.776041476,,,
35,529,151.519,47.504,169.381,528.483,0.773335811,,,
34,528,160.339,99.544,174.541,527.312,0.771622272,,,
29,526,163.958,80.674,186.8,526.008,0.769714113,,,
40,523,176.784,77.102,198.655,522.616,0.764750556,,,
26,518,154.805,63.55,185.238,517.709,0.757570082,,,
25,501,165.846,67.251,195.444,500.652,0.732610359,,,
27,500,175.013,85.807,196.824,499.37,0.730734393,,,
