 ,Area,Mean,Min,Max,Length,,,
1,213,181.442,109,196.362,212.58,,,
2,234,152.594,97.15,180.788,233.511,,Pollen Grains,238
3,250,169.407,120,185.355,249.613,,px/mm,630
4,260,165.535,123.907,189.383,259.513,,,
5,128,166.767,109.41,191.439,127.671,,,
6,276,174.277,102.333,187.792,275.843,,,
7,286,162.781,123.034,191.772,285.577,,,
8,112,147.217,103.542,174.114,111.155,,,
9,162,164.97,104.77,195.04,161.775,,,
10,359,175.33,153.164,191.849,358.954,,,
11,314,174.82,137.667,193.101,313.957,,,
12,413,174.457,129.912,188.121,413.933,,,
13,191,175.861,106.639,190.618,190.882,,,
14,223,180.673,107,200.394,222.195,,,
15,473,178.203,94.537,203.781,472.77,,,
16,132,164.569,128.667,182.935,131.392,,,
17,166,185.957,129.837,200.099,165.284,,,
18,205,178.751,158.586,192.021,205.267,,,
19,57,165.788,112.667,183.887,56.009,,,
20,277,175.119,142.059,186.756,276.747,,,
21,365,178.921,94.403,200.932,364.68,,,
22,286,173.482,135,186.303,285.684,,,
23,442,164.954,121,177.504,441.498,,,
24,517,163.61,119.084,181.25,516.128,,,
25,452,172.856,80.333,184.001,451.48,,,
26,269,164.046,130.802,178.846,268.989,,,
27,169,150.719,95.333,167.018,168.644,,,
28,343,169.352,90.608,190.913,342.803,,,
29,423,171.782,142.667,186.797,423.05,,,
30,353,169.296,142.836,179.812,352.801,,,
31,163,166.515,149.176,181.45,162.376,,,
32,121,150.746,97.333,167.916,120.325,,,
33,492,168.176,64.531,190.064,491.246,,,
34,340,178.9,141.667,192.336,339.659,,,
35,138,167.38,142.667,176.799,137.406,,,
36,310,181.793,129.333,193.292,309.446,,,
37,90,163.578,130,175.641,89.913,,,
38,392,171.423,131.844,181.357,391.15,,,
39,223,165.898,112.199,178.651,222.616,,,
40,96,162.862,122.478,174.361,95.589,,,
41,175,193.04,168.032,206.924,176.128,,,
42,309,175.241,129.333,200.623,308.477,,,
43,269,180.908,130.667,206.855,268.091,,,
44,82,168.273,119.348,188.333,81.541,,,
45,93,160.63,116.788,182.601,92.281,,,
46,234,158.118,84.348,183.633,233.605,,,
47,358,154.121,110,176.605,357.234,,,
48,105,169.61,113,191.257,104.448,,,
49,143,157.893,103.432,178.498,142.566,,,
50,401,168.343,100.333,185.004,401.194,,,
51,321,166.495,105.675,184.544,320.721,,,
52,593,163,129.555,178.548,592.678,,,
53,96,155.53,113.333,171.294,95.612,,,
54,356,164.43,137.943,184.134,355.571,,,
55,361,169.293,135.36,186.913,360.702,,,
56,131,169.466,104.506,194.139,130.742,,,
57,411,165.575,42.36,186.077,410.364,,,
58,174,180.835,117.333,193.717,173.794,,,
59,458,175.339,103.912,195.805,457.935,,,
60,233,167.69,114.092,191.81,232.908,,,
61,258,186.178,89.333,208.622,257.678,,,
62,269,159.44,74.51,195.391,268.565,,,
63,137,158.125,109.253,187.705,136.593,,,
64,190,142.987,74,186.633,189.652,,,
65,101,151.793,115.736,165.137,100.959,,,
66,192,170.072,160.049,180.156,191.398,,,
67,110,149.59,107.155,162.959,109.651,,,
68,145,146.761,129.393,161.476,145.11,,,
69,109,166.903,89,195.984,108.759,,,
70,59,156.474,110.333,182.453,58.822,,,
71,85,157.983,147.339,169.142,84.571,,,
72,136,154.03,113.893,176.217,135.282,,,
73,227,175.147,121.333,192.967,226.167,,,
74,508,183.833,138.646,204.646,507.617,,,
75,404,182.907,144.741,201.333,403.862,,,
76,119,181.977,108.072,201.341,118.612,,,
77,477,176.103,134.333,195.063,477.146,,,
78,526,178.265,146.706,206.494,525.59,,,
79,208,197.074,140.982,226.174,207.126,,,
80,704,181.347,138.53,201.541,703.46,,,
81,481,165.567,91.376,186.568,480.056,,,
82,253,166.474,121.333,184.005,252.693,,,
83,232,156.39,129.438,177.135,231.75,,,
84,103,164.805,135.234,183.168,102.87,,,
85,676,178.289,149.667,202.154,675.871,,,
86,252,191.324,166.133,211.998,251.948,,,
87,76,157.816,135.667,169.75,75.617,,,
88,472,173.114,149.614,185.899,471.717,,,
89,340,170.627,114.333,183.02,340.477,,,
90,513,163.501,110.994,185.608,512.565,,,
91,201,158.377,110.522,178.282,200.96,,,
92,212,185.238,140.56,205.673,211.254,,,
93,568,183.743,113.383,204.219,567.886,,,
94,97,186.854,152.333,199.562,96.67,,,
95,222,174.439,92.194,199.075,221.497,,,
96,235,178.174,131.703,198.122,234.345,,,
97,43,170.356,150.667,200.038,42.265,,,
98,44,140.019,117.667,154.432,44.094,,,
99,153,184.072,123.667,219.305,152.094,,,
100,121,172.388,115,209.438,120.86,,,
101,102,158.498,131.716,177.68,101.414,,,
102,172,178.478,81.641,205.277,172.558,,,
103,417,178.627,152.227,194.282,416.192,,,
