 ,Area,Mean,Min,Max,Length,,,
1,368,150.667,59.667,165.691,368.149,,,
2,284,159.68,104.734,186.733,284.246,,Pollen Grains,155
3,132,123.586,90.15,147.561,132.678,,px/mm,630
4,168,137.194,63.194,164.335,167.332,,,
5,606,166.469,125.894,185.508,605.821,,,
6,503,164.162,83.424,179.221,502.785,,,
7,189,169.352,99.667,187.741,188.262,,,
8,174,147.461,117,164.852,173.79,,,
9,33,124.444,83.493,169.216,32.558,,,
10,287,165.172,144.49,173.887,286.38,,,
11,203,147.24,103.645,164.68,202.827,,,
12,148,149.073,99.766,175.205,147.693,,,
13,112,141.161,116,158.743,111.541,,,
14,200,156.385,143.52,167.08,199.121,,,
15,247,148.838,115.723,174.401,246.712,,,
16,45,123.267,82.147,147.1,45.37,,,
17,166,143.217,85.846,159.81,165.937,,,
18,179,145.716,109.476,169.104,178.485,,,
19,183,155.405,98.248,183.851,182.822,,,
20,513,157.831,118.396,171.175,512.9,,,
21,33,127.521,116.267,138.084,32.455,,,
22,144,138.667,102,159.47,143.855,,,
23,484,166.12,126.667,179.397,483.591,,,
24,143,146.68,92.625,169.106,142.911,,,
25,68,128.765,81.598,153.534,67.235,,,
26,67,143.359,111.322,163.806,66.391,,,
27,85,152.736,113.52,177.973,84.099,,,
28,202,147.561,95.799,178.166,201.862,,,
29,36,102.75,77.333,128.333,36,,,
30,99,148.158,109.043,162.63,98.431,,,
31,70,139.962,110.863,163.224,69.746,,,
32,70,139.962,110.863,163.224,69.746,,,
33,71,116.761,85.031,140.409,70.75,,,
34,63,107.35,85.138,122.846,62.924,,,
35,249,148.882,111.642,197.097,248.824,,,
36,632,157.57,103.97,176.254,631.525,,,
37,777,157.327,90.393,176.277,776.603,,,
38,580,158.324,134,169.671,580.019,,,
39,90,140.112,125.384,158.083,89.262,,,
40,265,151.444,105.013,163.913,264.722,,,
41,66,113.251,81.814,137.302,66.14,,,
42,36,121.334,99.667,136.469,35.616,,,
43,36,140.961,99.667,255,35.616,,,
44,753,160.95,133.407,179.076,752.336,,,
45,250,150.388,126.37,165.512,249.613,,,
46,537,148.378,119.378,165.638,536.037,,,
47,34,123.403,94.776,144.913,33.385,,,
48,105,136.726,103.989,159.964,104.986,,,
49,23,115.581,85.962,143.577,22.023,,,
50,121,140.641,108.417,160.765,120.365,,,
51,570,165.707,104.329,255,570.08,,,
52,513,170.002,94.333,190.393,512.116,,,
53,295,164.094,86.333,192.558,294.299,,,
54,302,178.5,146.174,191.392,302.163,,,
55,452,181.318,144.941,201.14,451.636,,,
56,49,138.915,108.667,157.935,48.514,,,
57,240,166.133,120.463,179.098,240.015,,,
58,206,157.684,81.333,178.536,205.631,,,
59,77,154.617,79.544,190.846,76.147,,,
60,366,172.624,128.333,185.227,365.259,,,
61,365,180.821,123.333,196.899,364.112,,,
62,365,171.765,105.667,193.801,364.955,,,
63,343,175.53,148.375,193.302,342.49,,,
64,88,189.486,173.642,199.029,87.524,,,
65,503,164.97,124.204,185.614,502.17,,,
66,398,172.546,144.27,185.092,397.914,,,
67,110,158.079,92,171.966,109.793,,,
68,366,174.247,159.939,186.281,366.673,,,
69,187,167.688,135.277,191.6,186.479,,,
70,243,161.647,103.667,181.596,242.569,,,
71,17,109.506,101.283,118.853,16.643,,,
72,387,156.202,82.995,170.361,386.989,,,
73,101,186.603,162.639,195.069,100.286,,,
74,227,158.727,80.9,185.203,226.206,,,
75,77,126.394,77,151.941,76.836,,,
76,305,168.289,135.784,190.645,304.899,,,
77,361,160.41,106.72,194.817,360.159,,,
78,112,163.295,125.504,171.599,111.358,,,
79,75,172.356,125.317,189.361,74.19,,,
