 ,Area,Mean,Min,Max,Length,,,
1,86,146.595,84.334,163.858,85.147,,,
2,134,181.19,103.01,207.312,133.748,,Pollen Grains,126
3,478,183.302,90.849,198.851,477.687,,px/mm,630
4,520,175.99,111.502,197.266,519.321,,,
5,631,170.766,127.293,187.681,630.228,,,
6,428,167.984,134.951,193.634,428.013,,,
7,580,162.676,124.457,185.924,580.022,,,
8,218,177.322,139.666,197.053,217.421,,,
9,612,164.361,80.929,179.049,611.806,,,
10,160,159.559,95.333,175.249,159.6,,,
11,255,156.672,114.791,172.833,254.638,,,
12,51,123.707,98.218,143.423,50.341,,,
13,40,132.113,98.845,142.412,39.845,,,
14,105,144.347,102.594,167.457,104.068,,,
15,181,167.346,133.651,183.936,181.384,,,
16,23,110.393,72.19,138.678,22.204,,,
17,151,152.116,117.665,169.354,150.92,,,
18,75,142.771,89.014,176.95,74.121,,,
19,99,162.772,105.975,189.654,98.494,,,
20,69,147.723,105.136,174.964,68.741,,,
21,74,144.378,106.39,163.242,73.437,,,
22,384,160.248,144.874,173.401,387.671,,,
23,571,157.219,77.219,175.218,570.146,,,
24,573,169.184,129.333,183.652,573.619,,,
25,151,141.241,97.757,177.075,151.393,,,
26,76,148.752,129.794,171.879,75.493,,,
27,34,106.206,61.215,131.369,35.482,,,
28,841,179.803,128.004,202.411,840.582,,,
29,647,166.27,118.069,193.474,646.773,,,
30,248,169.592,144.197,187.068,247.091,,,
31,566,159.167,129.685,174.265,565.745,,,
32,78,158.706,112.583,175.959,77.481,,,
33,115,176.459,125.213,193.344,115.484,,,
34,31,168.534,124.333,200.333,30,,,
35,597,175.102,129.805,196.247,596.168,,,
36,943,194.634,145.084,220.285,942.679,,,
37,346,173.944,96.839,189.506,346.209,,,
38,80,171.609,146.045,197.333,79.321,,,
39,88,171.467,133.264,200.959,87.171,,,
40,181,158.863,105.014,179.243,180.463,,,
41,21,117.835,88.951,136.45,20.518,,,
42,269,168.682,122.396,183.785,268.656,,,
43,518,175.325,114.89,188.561,517.77,,,
44,25,113.699,92.596,131.479,24.413,,,
45,126,165.129,122.012,181.436,125.998,,,
46,17,108.022,82.812,129.11,16.125,,,
47,111,160.482,101.571,178.952,113.268,,,
48,16,110.284,80.3,141.665,15.033,,,
49,688,165.208,116.923,255,687.469,,,
50,107,149.65,110.906,170.715,106.664,,,
51,84,150.361,118.235,174.99,83.398,,,
52,65,140.216,120.295,156.621,64.8,,,
53,467,161.076,125.805,255,466.157,,,
54,182,167.804,126.667,183.679,181.128,,,
55,73,149.058,106.101,170.16,72.938,,,
56,40,107.071,69.031,131,39.959,,,
57,957,164.442,140.302,180.03,957.006,,,
58,230,187.286,136.075,208.89,229.974,,,
59,254,178.536,113.95,198.485,253.574,,,
60,21,102.259,76.233,129.333,20.809,,,
61,17,100.266,76.876,131,16.125,,,
62,617,191.194,150,217.01,616.461,,,
63,487,182.341,129.676,214.824,488.353,,,
64,136,182.555,120.199,208.019,135.593,,,
65,47,123.211,101.744,159.232,46.672,,,
66,162,137.29,85.044,167.369,162.28,,,
