 ,Area,Mean,Min,Max,Length,Length (mm),,,
15,944,142.964,57.449,183.527,944.025,1.387001321,,,
35,883,153.855,53.384,189.021,882.413,1.296478373,,Conversion,680.623
11,865,161.285,109.021,185.587,864.204,1.269724943,,,
36,864,141.272,51.513,184.287,863.652,1.268913922,,Column1,
37,854,154.439,30,189.005,853.476,1.253962913,,,
40,848,151.262,102.189,183.642,847.862,1.245714588,,Mean,1.18385582
6,833,128.831,46.667,168.579,833.022,1.223911034,,Standard Error,0.02056963
26,833,137.536,41.209,172.696,832.277,1.222816449,,Median,1.199335021
8,829,123.383,66.689,163.906,828.858,1.21779311,,Mode,#N/A
10,827,140.347,71.936,182.866,826.9,1.214916334,,Standard Deviation,0.091990182
3,806,148.518,61.52,185.004,805.69,1.183753708,,Sample Variance,0.008462194
13,797,151.617,106.785,180.156,796.671,1.170502613,,Kurtosis,-0.523688382
30,787,169.724,112.552,196.897,786.517,1.155583928,,Skewness,0.244427332
16,758,152.001,62.186,184.082,757.528,1.112992068,,Range,0.328384436
14,751,136.881,36.22,188.345,750.323,1.102406178,,Minimum,1.058616885
7,747,138.959,60.579,168.841,746.229,1.096391101,,Maximum,1.387001321
2,728,144.063,64.968,182.381,727.51,1.068888357,,Sum,23.67711641
24,727,168.075,110.678,214.398,726.099,1.066815256,,Count,20
31,721,156.701,31.441,196.931,721.415,1.059933326,,,0
38,721,143.061,78.073,194.18,720.519,1.058616885,,,
17,716,168.961,81.832,196.955,715.169,1.050756439,,,
9,714,167.11,89.515,204.462,713.231,1.047909048,,,
5,696,136.544,30.166,165.431,695.702,1.022154702,,,
33,693,136.297,86.287,178.214,692.966,1.018134856,,,
25,683,129.149,71.793,182.657,683.118,1.003665759,,,
12,675,164.217,114.307,199.156,675.009,0.991751675,,,
20,672,131.995,64.687,174.384,672.009,0.987343948,,,
4,656,133.72,63.237,178.242,655.507,0.963098514,,,
1,641,134.162,69.048,172.693,640.364,0.94084978,,,
18,630,130.596,56.199,166.492,629.374,0.924702809,,,
32,627,152.976,74.709,180.35,626.931,0.92111345,,,
19,623,152.953,89.667,175.601,622.232,0.914209482,,,
21,611,163.11,61.456,201.612,610.956,0.897642307,,,
28,604,148.466,86.15,172.648,603.391,0.88652749,,,
29,603,165.645,98.667,196.575,602.825,0.885695899,,,
39,589,141.573,36.529,175.784,588.647,0.864864984,,,
34,566,156.366,88.892,184.027,565.887,0.831425033,,,
27,561,146.865,41.277,190.075,560.516,0.823533733,,,
22,550,152.972,86.654,188.059,549.311,0.807070875,,,
23,499,155.117,77.597,189.977,498.947,0.733073963,,,
