 ,Area,Mean,Min,Max,Length,Length (mm),,,
3,144,127.379,32.06,145.71,143.483,0.215008631,,,
30,140,147.628,76.427,161.729,140.003,0.209793867,,Conversion,667.336
37,139,142.056,57.53,162.736,139.072,0.208398768,,,
2,139,139.346,70.015,167.679,139.02,0.208320846,,Column1,
14,137,129.11,47.783,150.614,136.273,0.204204479,,,
36,135,149.695,89,172.888,134.91,0.202162029,,Mean,0.189678213
8,134,131.932,79.965,153.031,133.495,0.200041658,,Standard Error,0.003281886
4,130,141.027,75.333,162.499,129.76,0.194444777,,Median,0.18820729
18,129,167.83,80.333,190.464,128.579,0.192675054,,Mode,#N/A
6,126,140.188,65.632,171.346,125.721,0.188392354,,Standard Deviation,0.014677038
20,125,140.183,83.744,166.925,125.474,0.188022226,,Sample Variance,0.000215415
28,122,114.4,66.889,132.212,121.253,0.181697076,,Kurtosis,-1.437742938
17,120,111.809,72.765,145.14,120.176,0.180083196,,Skewness,0.285185994
29,119,126.009,77.298,145.667,118.458,0.177508781,,Range,0.044436386
15,118,154.511,97.333,169.034,117.689,0.176356438,,Minimum,0.170572245
12,117,141.672,85.469,156.873,117.239,0.175682115,,Maximum,0.215008631
13,116,134.633,80.603,147.223,116.193,0.174114689,,Sum,3.793564261
16,116,135.157,90.651,157.637,115.731,0.173422384,,Count,20
19,115,135.907,41.474,163.205,115.224,0.172662647,,,0
23,114,123.91,85.453,158.764,113.829,0.170572245,,,
9,111,132.123,38.333,151.599,110.624,0.165769567,,,
38,111,142.998,63.886,158.484,110.38,0.165403934,,,
32,110,144.333,83.848,157.733,110.035,0.164886953,,,
31,110,171.676,94.819,189.367,109.752,0.164462879,,,
1,110,146.631,89.887,167.579,109.563,0.164179664,,,
22,109,180.715,87.641,202.572,109.257,0.163721124,,,
7,109,129.037,73.737,167.163,109.088,0.163467878,,,
34,108,168.963,115.152,185.965,107.154,0.160569788,,,
10,107,154.944,95.333,169.069,106.056,0.15892444,,,
5,104,139.129,81.343,159.484,104.278,0.156260115,,,
11,103,132.244,48.667,156.945,102.257,0.153231655,,,
24,101,139.853,64.571,158.611,100.327,0.150339559,,,
25,101,152.867,50.414,171.862,100.244,0.150215184,,,
35,98,125.536,66.333,167.296,98.529,0.147645264,,,
26,96,124.09,78.575,152.093,95.489,0.143089838,,,
33,93,119.494,64.282,149.527,92.235,0.138213733,,,
27,89,117.327,52.091,147.147,88.999,0.133364602,,,
39,87,129.561,75.973,155.911,86.088,0.129002482,,,
21,82,157.415,82.633,189.44,81.731,0.122473537,,,
40,81,126.163,48.333,158.132,80.972,0.121336178,,,
