 ,Area,Mean,Min,Max,Length,,,
141,45,85.705,47.474,107.419,44.995,,,
142,261,143.53,44.368,255,260.796,,,
143,407,131.011,47.694,255,406.924,,,
144,63,134.358,28.647,255,62.412,,,
145,59,107.116,52.561,129.303,59.081,,,
146,250,146.372,105.178,178.357,249.593,,,
147,182,154.568,112.888,255,182.352,,,
148,266,134.004,67.535,158.662,265.121,,,
149,53,131.95,99.082,158.665,52.965,,,
150,348,145.736,105.271,171.195,347.112,,,
151,85,138.733,94.906,166.967,84.464,,,
152,391,173.742,106.827,255,390.125,,,
153,139,123.662,106.294,144.514,138.515,,,
154,318,174.796,107.223,195.932,317.987,,,
155,544,164.753,87,255,543.099,,,
156,229,124.248,83.999,153.413,229.009,,,
157,78,100.926,53.619,135.804,77.225,,,
158,73,95.568,49.931,130.053,72.772,,,
159,453,145.448,107.412,172.55,452.484,,,
160,79,95.894,59.397,142.3,79.79,,,
161,373,173.053,127.531,189.558,372.696,,,
162,92,125.979,98.24,143.397,91.598,,,
163,136,138.829,63.859,255,136.013,,,
164,163,153.689,99.036,177.077,162.72,,,
165,197,162.696,99.548,185.833,196.245,,,
166,48,145.837,113.071,255,47.011,,,
167,66,126.69,91.689,160.735,65.702,,,
168,88,146.526,102.026,255,87.556,,,
169,300,180.658,105.934,194.467,299.585,,,
170,17,88.841,65.223,109.912,16.643,,,
171,18,77.149,39.131,103.987,17,,,
172,17,73.813,62.463,91.997,16.031,,,
173,16,67.794,40.165,85.389,15.652,,,
174,28,83.89,62.752,133,27.459,,,
175,30,117.677,100.333,126.802,29.275,,,
176,32,87.201,49.699,140.11,32.031,,,
177,425,140.401,44.676,174.658,424.582,,,
