 ,Area,Mean,Min,Max,Length,,,
142,101,122.434,87.233,147.083,101.921,,,
143,224,110.97,73.303,158.225,223.9,,,
144,61,107.123,78.839,150.356,60.66,,,
145,50,73.453,45.121,110.27,49.446,,,
146,41,107.94,50.333,255,40.352,,,
147,116,89.734,48.552,125.913,116.481,,,
148,141,108.223,33.477,132.526,141.158,,,
149,357,133.722,52.956,163.849,356.584,,,
150,112,94.216,51.367,127.893,111.435,,,
151,54,96.096,41.455,255,53.608,,,
152,182,128.96,78.486,157.086,181.693,,,
153,88,134.758,94,162.5,87.528,,,
154,51,100.022,53.404,127.333,50.932,,,
