 ,Area,Mean,Min,Max,Length,,,
1,17,90.906,67.372,118.74,16.155,,,Pollen Grains
2,23,103.352,78.354,128.667,22.577,,,606
3,43,98.464,71.248,119.354,42.638,,,
4,27,123.647,80.478,150.66,26.926,,,
5,17,109.524,83.725,141.007,16.279,,,
6,24,90.245,53.167,115.68,23.77,,,
7,23,90.234,58.96,115.096,22.204,,,
8,15,105.189,71.925,136.667,14.213,,,
9,15,98.42,54.144,129.667,14.142,,,
10,18,103.426,48.333,255,17,,,
11,16,107.331,69.907,128.867,15,,,
12,21,104.218,71.08,128.667,20,,,
13,14,132.705,58.932,255,13.038,,,
14,19,95.169,60.637,127.434,18.248,,,
15,16,94.247,73.416,109.938,15.556,,,
16,24,112.609,88.39,145.713,23.854,,,
17,22,112.863,88.806,146.72,21.932,,,
18,28,115.178,77.688,144.493,27.514,,,
19,20,123.098,94.405,149.197,19.416,,,
20,23,95.123,53.025,121.333,22.627,,,
21,19,99.548,76.96,124.132,18.692,,,
22,23,110.254,94.465,126.334,22.601,,,
