 ,Area,Mean,Min,Max,Length,Length (mm),,,
6,36,93.963,61.461,126.863,35.683,0.052889326,,Conversion,674.673
27,35,95.757,69.053,126.333,34.655,0.051365625,,,
4,35,93.924,66.888,109.432,34.627,0.051324123,,,
17,34,108.258,83.597,137.718,33.634,0.049852299,,Column1,
35,34,91.222,66.084,130.98,33.392,0.049493607,,,
10,33,105.281,86.698,118.275,32.253,0.047805381,,Mean,0.041595855
18,32,116.146,62.274,136.406,31.195,0.046237214,,Standard Error,0.001539837
39,31,112.484,98.523,137.328,30.456,0.045141869,,Median,0.038917372
40,28,112.571,90.983,122.795,27.803,0.041209593,,Mode,#N/A
22,27,103.622,64.416,141.942,26.571,0.039383524,,Standard Deviation,0.006886359
32,26,112.566,83.26,128.16,25.942,0.03845122,,Sample Variance,4.74219E-05
15,26,120.184,104.935,140.559,25.71,0.03810735,,Kurtosis,-1.507506237
13,25,93.439,67,113.083,25.03,0.037099454,,Skewness,0.388232861
3,25,91.606,71.307,128.667,24.34,0.036076736,,Range,0.019745862
1,25,106.657,70.595,139.588,24.083,0.035695811,,Minimum,0.033143464
21,25,105.053,74.88,122.085,24.042,0.035635041,,Maximum,0.052889326
14,25,107.2,90,129.667,24,0.035572789,,Sum,0.831917092
19,23,123.641,99.485,145.61,22.934,0.033992764,,Count,20
16,23,119.115,107.333,129.424,22.561,0.033439903,,,0
11,23,63.147,43.149,82.511,22.361,0.033143464,,,
38,23,116.757,98.404,129.635,22.204,0.032910758,,,
20,22,102.512,82.791,117,21.96,0.032549102,,,
34,22,109.79,86.46,132.2,21.932,0.0325076,,,
2,22,92.784,60.333,117.191,21.213,0.031441899,,,
12,22,101.363,82.253,127.144,21.213,0.031441899,,,
28,22,112.484,88.668,132.58,21.095,0.031266999,,,
5,22,81.085,61.324,125.333,21.062,0.031218086,,,
9,21,93.958,70.865,117.668,20.616,0.030557025,,,
37,21,110.482,83.04,140.76,20.518,0.03041177,,,
33,21,106.481,90.936,126.072,20.125,0.029829265,,,
25,20,120.946,89.764,135.305,19.698,0.029196366,,,
23,19,117.246,91.653,129.826,18.868,0.027966141,,,
8,19,124.619,93.665,176.016,18.439,0.027330277,,,
36,19,89.493,72.209,108.673,18.028,0.026721093,,,
24,18,103.601,85.506,126.716,17.493,0.025928116,,,
29,18,100.167,79,123.333,17,0.025197392,,,
31,18,98.02,67.131,124.458,17,0.025197392,,,
26,17,97.057,55.793,120.216,16.971,0.025154408,,,
30,17,97.808,67.434,132,16.763,0.024846111,,,
7,15,87.189,76.59,105.408,14.422,0.021376282,,,
