,area,mean,min,max,length,mm,,,,,,,,
31,564,126.022,21.333,154.755,563.381,0.819934362,,,,,,,,
22,509,133.371,67.587,164.03,508.373,0.739876729,,,,,,,,
6,460,113.814,21,157.552,459.363,0.668548475,,,,,,,,
28,457,124.876,60.098,152.969,456.299,0.664089186,,,,,,,,
4,445,127.576,65.614,161.783,444.972,0.647604078,,,,,,,Column1,
5,389,122.381,46.796,150.332,388.98,0.566114349,,,,,,,,
32,362,112.794,60.834,151.137,361.498,0.526117551,,,,,,,Mean,0.502836029
3,360,102.824,14.133,155.587,359.164,0.52272069,,Picture,No Tubes,Tubes,,,Standard Error,0.031297747
25,335,121.068,37.706,158.89,334.621,0.487001259,,A,215,42,,,Median,0.460484933
2,332,114.238,37.848,161.283,331.532,0.482505585,,,,,,,Mode,#N/A
29,301,117.689,70.713,153.178,301.271,0.438464281,,,,,,,Standard Deviation,0.139967782
9,302,110.784,53.51,150,301.213,0.438379869,,,,,,,Sample Variance,0.01959098
11,299,127.433,59.761,152.47,298.355,0.434220388,,,,,,,Kurtosis,-0.194585024
8,290,115.224,47.855,159.978,289.709,0.421637159,,,,,,,Skewness,0.830721463
33,289,141.544,49,176.025,288.288,0.419569061,,Length Conversion,687.105,,,,Range,0.481029828
36,259,108.896,32.333,141.709,259.584,0.377793787,,,,,,,Minimum,0.338904534
7,249,114.623,67.091,137.672,248.853,0.362176087,,Mean Length,0.367414273,,,,Maximum,0.819934362
30,248,105.151,43.667,147.372,248.405,0.361524076,,Median Length,0.339221807,,,,Sum,10.05672059
35,234,109.398,57.508,153.603,233.299,0.339539081,,Standard Deviation,0.18326014,,,,Count,20
24,233,111.058,68.844,131.73,232.863,0.338904534,,Maximum,0.819934362,,,,,0
1,229,120.647,39.874,160.116,228.049,0.331898327,,,,,,,,
27,217,126.928,86.815,153.115,216.184,0.314630224,,,,,,,,
26,200,97.88,24.196,141.602,199.193,0.289901835,,,,,,,,
34,194,93.849,33.318,166.197,194.056,0.282425539,,,,,,,,
13,193,101.742,39.725,153.941,192.34,0.279928104,,,,,,,,
21,173,116.401,46.043,155.473,172.949,0.251706799,,,,,,,,
15,170,118.303,71.24,145.671,169.2,0.246250573,,,,,,,,
10,166,107.277,42.489,151.3,165.378,0.240688104,,,,,,,,
37,161,99.893,25.993,168.781,160.665,0.233828891,,,,,,,,
12,154,105.154,77.656,139.333,154.053,0.224205907,,,,,,,,
23,148,90.142,40.667,128.499,147.085,0.214064808,,,,,,,,
38,146,85.962,21.253,128.607,145.503,0.211762394,,,,,,,,
19,144,103.331,56.364,139.32,143.224,0.20844558,,,,,,,,
39,141,140.205,65.667,166.502,140.736,0.20482459,,,,,,,,
40,133,94.158,57,113.565,133.006,0.19357449,,,,,,,,
17,118,108.41,62.735,147.995,117.916,0.171612781,,,,,,,,
14,83,109.052,66.114,156.463,82.944,0.120715175,,,,,,,,
18,73,98.093,24,135.961,72.73,0.105849906,,,,,,,,
16,64,83.727,45.025,128.099,63.841,0.092913019,,,,,,,,
20,58,113.678,76.206,133.437,57.85,0.084193828,,,,,,,,
