,area,mean,min,max,length,mm,,,,,,,,
33,1166,149.283,84.832,170.761,1166.248,1.689639036,,,,,,,,
4,761,164.601,74.693,178.747,761.207,1.102822952,,,,,,,,
12,737,151.362,109,164.294,736.463,1.066974291,,,,,,,,
13,737,183.925,116.333,201.279,736.158,1.066532413,,,,,,,,
14,734,160.963,88.774,181.4,734.032,1.063452302,,,,,,,Stats for 20 longest,
2,724,149.291,66.808,177.357,724.227,1.049246996,,,,,,,,
34,707,165.507,107.484,182.846,707.012,1.024306215,,Picture,No Tubes,Tubes,,,Mean,0.951136932
30,655,167.254,135.64,255,654.731,0.948562446,,A,159,29,,,Standard Error,0.046159893
11,632,169.877,129.936,182.859,632.157,0.915857643,,,,,,,Median,0.874496367
23,607,140.657,22.568,172.552,606.558,0.878770274,,,,,,,Mode,#N/A
27,601,150.705,67.731,255,600.658,0.87022246,,,,,,,Standard Deviation,0.206433317
35,595,149.066,106.667,162.117,594.812,0.861752881,,,,,,,Sample Variance,0.042614714
17,580,150.379,65.762,255,579.366,0.839374995,,,,,,,Kurtosis,8.514570012
15,576,180.198,115.536,255,575.811,0.834224576,,Length Conversion,690.235,,,,Skewness,2.556466653
32,575,145.727,119.965,157.636,574.402,0.832183242,,,,,,,Range,0.951532449
1,574,176.04,76.963,192.12,573.722,0.83119807,,Mean Length,0.779285277,,,,Minimum,0.738106587
3,562,166.13,73,255,561.727,0.813819931,,Median Length,0.796546104,,,,Maximum,1.689639036
36,552,141.58,82.451,152.099,551.598,0.799145219,,Standard Deviation,0.254966019,,,,Sum,19.02273863
22,550,157.487,97.475,171.963,549.804,0.796546104,,Maximum,1.689639036,,,,Count,20
16,510,157.732,98.956,255,509.467,0.738106587,,,,,,,,0
8,507,178.828,115.04,196.105,506.612,0.733970314,,,,,,,,
7,500,182.111,108.32,193.523,499.722,0.723988207,,,,,,,,
18,478,159.763,89.58,178.416,477.897,0.692368541,,,,,,,,
6,468,177.828,156.203,187.022,469.242,0.679829333,,,,,,,,
24,469,143.365,117.504,158.186,468.127,0.678213942,,,,,,,,
25,460,154.992,116.856,166.812,459.859,0.666235413,,,,,,,,
10,450,155.546,100.51,168.316,449.501,0.651228929,,,,,,,,
40,440,152.096,92.583,177.623,439.989,0.637448115,,,,,,,,
38,427,159.661,91.49,179.643,426.732,0.618241613,,,,,,,,
31,413,169.995,56.667,183.527,412.098,0.597040139,,,,,,,,
5,407,158.751,132.764,170.178,406.689,0.589203677,,,,,,,,
28,397,163.871,139.704,178.718,396.262,0.574097228,,,,,,,,
29,396,160.858,52.912,185.405,395.509,0.573006295,,,,,,,,
37,391,151.562,94.632,168.354,391.122,0.566650489,,,,,,,,
39,386,144.896,99.255,158.615,386.054,0.559308062,,,,,,,,
41,369,155.866,53.02,172.166,368.438,0.533786319,,,,,,,,
26,365,145.846,111.376,156.394,364.666,0.528321514,,,,,,,,
20,302,166.286,89.276,180.749,301.693,0.437087369,,,,,,,,
21,287,161.544,143.61,169.94,286.663,0.415312176,,,,,,,,
9,261,165.296,127.554,178.888,260.618,0.377578651,,,,,,,,
19,226,169.149,98.018,181.956,225.489,0.32668439,,,,,,,,
