 ,Area,Mean,Min,Max,Length,Length (mm),,,,
107,133,123.486,57.714,255,133.078,0.197749062,,,,
108,84,160.471,81.16,255,83.695,0.124367722,,,,
109,30,92.843,69,116.146,29.833,0.044330752,,,,
110,402,136.082,71.072,255,401.948,0.597280092,,,,
111,448,148.711,68.752,255,448.057,0.665796387,,,,
112,63,104.904,47.965,120.069,62.281,0.092547298,,,,
113,232,139.72,95.961,255,231.345,0.343770246,,,,
114,270,139.661,71.989,164.21,269.488,0.400449355,,,,
115,528,149.643,42.847,255,528.117,0.784762632,,,,
116,202,164.497,59,255,201.097,0.29882282,,,,
117,197,158.994,108.65,175.936,196.698,0.292286066,,,,
118,179,146.039,107.758,161.282,178.735,0.265593702,,,,
119,159,164.198,133.739,186.324,158.08,0.234901124,,,,
120,360,165.403,99.143,255,359.432,0.534102864,,,,
121,153,151.787,87.21,168.279,152.569,0.226711979,,,,
122,273,149.78,81.94,255,272.739,0.405280223,,,,
123,185,158.227,104.068,255,184.879,0.274723462,,,,
124,268,171.319,135.171,184.647,267.303,0.397202525,,,,
125,126,160.528,116.095,177.606,125.963,0.187176431,,,,
126,264,152.74,100.761,177.036,263.271,0.39121112,,,,
127,234,130.952,90.882,159.516,234.169,0.347966607,,,,
128,114,126.146,63.667,142.172,114.16,0.169637603,,,,
129,46,87.358,57.558,108.794,45.094,0.067008042,,,,
130,64,129.028,87.107,162.828,64.013,0.095120987,,,,
131,167,149.712,110.091,170.099,166.621,0.247592739,,,,
132,94,160.708,115.268,178.652,93.154,0.138423452,,,,
133,120,142.687,106.433,255,119.62,0.177750964,,,,
134,138,137.153,103.111,152.658,137.594,0.204459674,,,,
135,319,176.037,117.911,191.303,318.918,0.473900536,,,,
136,157,161.198,124.333,178.703,156.488,0.23253547,,,,
137,182,169.933,104.333,182.917,181.139,0.269165958,,,,
138,94,121.445,83.264,164.905,93.945,0.139598849,,,,
139,194,144.178,94.799,255,194.098,0.28842256,,,,
140,45,89.799,74.006,139.667,44.848,0.066642495,,,,
141,110,156.406,101.306,255,109.283,0.162390559,,,,
142,204,146.598,77.953,255,203.621,0.302573392,,,,
143,174,173.79,89.297,255,173.096,0.257214353,,,,
144,414,144.976,79.651,255,413.537,0.614500924,,,,
145,102,126.169,72.333,158.703,102.142,0.151779293,,,,
146,61,125.483,84.793,255,60.46,0.089841359,,,,
147,279,160.935,78.249,255,279.023,0.414618018,,,,
148,543,163.843,91.77,185.321,542.265,0.805786045,,,,
149,236,166.224,114.392,212.518,235.264,0.349593738,,,,
150,310,158.06,97.024,255,309.996,0.460642768,,,,
151,165,148.194,97.333,179.613,164.84,0.244946238,,,,
152,239,173.396,116.755,198.063,238.893,0.354986299,,,,
153,164,125.24,85.915,152.216,163.789,0.24338449,,,,
154,406,149.406,57.283,192.026,405.221,0.602143651,,,,
155,405,158.846,69.002,255,404.386,0.600902871,,,,
156,504,162.823,68.422,255,503.152,0.747665551,,,,
157,198,127.39,62.916,155.663,197.594,0.293617489,,,,
158,162,147.741,96.082,179.413,162.112,0.240892529,,,,
159,245,125.138,88.2,139.28,244.466,0.363267574,,,,
160,121,174.584,132.017,255,120.348,0.178832746,,,,
161,359,146.366,52.889,186.502,358.244,0.53233754,,,,
162,300,157.434,80.81,191.299,299.977,0.445754899,,,,
163,22,107.935,69.394,143.773,21.378,0.03176693,,,,
164,38,112.459,68.608,155.191,37.161,0.055219893,,,,
165,81,142.931,86.734,174.959,80.693,0.11990686,,,,
166,51,127.898,78.443,165.848,50.466,0.074990638,,,,
167,67,100.314,75.679,255,66.43,0.098712561,,,,
168,48,100.309,72.934,110.947,47.822,0.071061751,,,,
169,70,105.765,64.333,255,69.892,0.103856967,,,,
170,98,152.519,85.737,255,97.135,0.144339073,,,,
171,110,161.121,123.947,178.471,109.808,0.16317069,,,,
