 ,Area,Mean,Min,Max,Length,Length (mm),,,,
106,442,170.652,62.758,255,441.206,0.660651209,,,,
107,13,79.48,55.486,113.05,12.806,0.019175395,,,,
108,468,144.801,63.862,255,467.237,0.699629399,,,,
109,118,117.676,58.003,255,117.469,0.175895244,,,,
110,17,130.497,85.156,255,16.553,0.024786062,,,,
111,59,105.46,66.107,186.708,58.704,0.087901952,,,,
112,45,101.631,38.481,255,44.036,0.065938443,,,,
113,32,141.367,47.046,255,31.868,0.047718374,,,,
114,119,155.603,68.048,255,118.829,0.177931675,,,,
115,41,136.623,41.371,255,40.674,0.060904265,,,,
116,111,161.681,53.975,255,110.033,0.164760757,,,,
117,132,128.752,53.416,154.167,131.711,0.19722087,,,,
118,80,154.688,77.473,196.847,79.56,0.119131223,,,,
119,235,148.503,45.049,183.745,234.142,0.350598576,,,,
120,232,157.511,75.222,202.352,232.019,0.347419647,,,,
121,13,113.972,95.958,124.141,12.53,0.018762119,,,,
122,22,107.742,76.02,134.667,21.617,0.032368774,,,,
123,14,104.45,70.698,125.824,13,0.019465886,,,,
124,17,103.132,71.637,137,16.155,0.024190107,,,,
125,31,123.134,71.648,169.863,30.907,0.046279395,,,,
126,557,156.432,71.333,195.129,557.027,0.834078777,,,,
127,14,95.005,65,136.333,13,0.019465886,,,,
128,52,128.938,83.847,165.046,51.693,0.07740385,,,,
129,50,89.681,66.132,117.632,49.741,0.074480972,,,,
130,41,136.503,103.85,162.277,40.689,0.060926726,,,,
131,107,125.745,55.696,156.844,106.506,0.159479512,,,,
132,77,122.865,82.667,146.622,76.7,0.114848728,,,,
133,92,93.75,51.106,142.214,91.611,0.137176099,,,,
134,23,89.793,78.667,100.615,22.868,0.034241991,,,,
135,179,150.786,87.378,194.9,178.967,0.267980864,,,,
136,80,146.613,53.284,255,79.751,0.119417221,,,,
137,573,145.615,80.681,255,574.538,0.860299325,,,,
138,25,103.295,51.417,126.667,24.083,0.036061303,,,,
139,17,40.6,33.079,50,16.505,0.024714188,,,,
140,426,164.907,46,206.139,425.382,0.636956733,,,,
141,177,197.902,153.574,255,176.642,0.264499465,,,,
142,214,171.568,74.333,255,213.244,0.319306416,,,,
143,26,81.17,61.252,97.971,25.318,0.037910562,,,,
144,15,63.788,35.963,129.477,14.651,0.021938054,,,,
145,525,137.743,70.534,184.211,525.81,0.787335195,,,,
146,49,115.722,90.798,142.788,48.429,0.072516415,,,,
147,270,174.474,108.541,205.249,269.611,0.403709,,,,
148,386,179.664,51,206.391,385.522,0.577271332,,,,
149,19,97.95,85.879,105.333,18.18,0.027222293,,,,
